[00000.00-00005.76] 好了,我们终于走到了整个迷法当中的最后一篇就是青权责任
[00005.76-00014.24] 咱们之前没来讲了民法物责和头,那在整个,我们要讲解的这种当中,还有一个呢,就是我们常说的叫做青权责任
[00014.24-00025.36] 那说到青权责任呢,同时就会相对来说,有一点点的就是李伯斯,你说老师,你又讲,武权又讲和头,周讲青权,他们在这里面只要强调什么问题呢
[00025.36-00028.16] 那大家需要知道的就是整个亲权责任
[00028.16-00029.50] 这一个偏张
[00029.50-00031.50] 就是迷法典当中的亲权责任偏
[00031.50-00037.00] 他主要调整是亲害老百姓民事权异的民事法律关系
[00037.00-00039.84] 你说所谓的什么叫亲害老百姓的民事权异呢
[00039.84-00040.72] 我发来写的这
[00040.72-00043.96] 只要是一个行为亲害道理你的民事权异
[00043.96-00046.08] 这有时候都可以向他主张什么
[00046.08-00046.92] 亲权责任
[00046.92-00049.28] 而民事权异呢分成两个部分
[00049.28-00052.16] 第一个呢就是我们所说的叫做民事权异
[00052.16-00054.52] 第二个就叫做民事利益
[00054.52-00058.40] 民視權利,我們其實講了很多,你比如說我們講到了
[00058.40-00063.76] 武權,講到了債權,其實我們在整個民視權力當中,
[00063.76-00067.28] 還有我們所說的人生權,對吧,這個我們沒有給大家去講,
[00067.28-00071.60] 還有我們所說的支持產權,這是支持產權法當中的,
[00071.60-00075.58] 這些權益,如果受到侵害,你可以向行為人主張,
[00075.58-00079.60] 侵權,對吧,那除了權利,我們所說的,
[00080.00-00084.48] 是侵權責任篇所調整的這個範圍之外,
[00084.48-00086.12] 还包括一些利益
[00086.12-00087.76] 这些利益咱们也讲过
[00087.76-00089.36] 比如说像我们所说的什么
[00089.36-00090.32] TAR的利益
[00090.32-00093.76] 我们说了一个人的民事权利能力和民事行为能力
[00093.76-00095.76] 这个地方我们在讲自然的所说了
[00095.76-00097.20] 民事权利能力
[00097.20-00099.40] 使于出生中于死了
[00099.40-00102.68] 那就考察就是生前和死后的问题
[00102.68-00104.48] 在生前就是TAR利益
[00104.48-00107.28] TAR利益如果遭到了損害
[00107.28-00110.16] 是否可以主张行为人承担亲现责任
[00110.16-00112.28] 我之前给大家讲过说运富
[00112.28-00114.12] 我会把他去医院去就医
[00114.12-00115.36] 结果的医院
[00115.36-00116.48] 物给他开了什么药
