[00000.00-00005.44] 我们接下来看一下第四个案就是我们所说的这款合同
[00005.44-00006.64] 这款合同的话呢
[00006.64-00008.64] 它其实内行还是比较多的
[00008.64-00011.48] 你比如说我因为要买房子没有钱了
[00011.48-00012.72] 我可以向谁见呢
[00012.72-00014.12] 我选择的方式很多
[00014.12-00015.56] 我可以向我的家里人见
[00015.56-00017.12] 我向我的家里人见的话
[00017.12-00019.72] 他就属于自然人之间的这款合同
[00019.72-00020.84] 我还可以找谁见
[00020.84-00023.28] 我还可以找金融金融机构
[00023.28-00024.16] 金融机构可以吧
[00024.16-00025.60] 比如说小的信代公司
[00025.60-00028.44] 又或者我可以去找銀行去见
[00028.44-00030.96] 那这时候我们之间的这个计划合团
[00030.96-00033.20] 它就可以分成这么几种形势
[00033.20-00035.56] 就是从大的分类上是两种形势
[00035.56-00038.48] 第一个就是我们所提到的叫做商业階代
[00038.48-00039.92] 或者叫商势階代
[00039.92-00042.12] 一般情况下是有金融机构参与的
[00042.12-00043.96] 另外一个就是没有金融机构
[00043.96-00045.60] 而是我们所说的
[00045.60-00046.76] 企业和企业之间
[00046.76-00048.00] 自然而和企业之间这种
[00048.00-00051.44] 它就属于我们所提到的叫做民间階代
[00051.44-00052.80] 民间階代合通的话
[00052.80-00056.88] 它分成有说两个企业之间互相借款可不可以也可以
[00056.88-00059.12] 他就可以分成企业之间的
[00059.12-00062.32] 又或者说企业把前几个人可不可以
[00062.32-00065.44] 可以它是企业与个人之间的
[00065.44-00067.04] 最常见的就是什么
[00067.04-00068.64] 就是自然人之间的
[00068.64-00070.64] 我朝你接了一万块钱
[00070.64-00071.20] 对不对
[00071.20-00073.80] 这个就是自然人之间的计划合同
[00073.80-00077.20] 这个是我们所说的整个计划他的类型
[00077.20-00079.24] 而我们要给大家去讲解了重点
[00079.24-00081.80] 其实自然人之间的计划合同
[00081.80-00082.64] 我们来看一下
[00082.64-00083.96] 计划合同
[00083.96-00085.28] 咱們來看一下定義
[00085.28-00087.16] 定義咱們簡單了解即可
[00087.16-00089.24] 說今晚合同是當時約定
[00089.24-00091.80] 一方將一定種類和樹兒的貨幣
[00091.80-00092.96] 轉一給另一方
[00092.96-00094.32] 就是我把錢給到你
[00094.32-00094.76] 對吧
[00094.76-00096.96] 其中提供貨幣的一方
[00097.36-00098.96] 叫做代款人
[00098.96-00101.16] 領受貨幣的一方叫做
[00101.16-00101.96] 戰權人
[00101.96-00103.32] 你把錢借給我
[00103.32-00104.16] 你就是代款人
[00104.16-00105.96] 我就是借款人
[00105.96-00107.76] 我們說了這個借款合同
[00107.76-00110.16] 它其實大部分情況之下是
[00110.16-00111.36] 諾承性合同
[00111.36-00112.56] 也就是不需要什麼
[00112.56-00114.10] 不需要交付貨幣的
[00114.10-00116.14] 那这个时候就成立了一诺机程
[00116.14-00117.18] 找诺程序合同
[00117.18-00120.12] 所以借款合同它叫做诺程序合同
[00120.12-00122.02] 但是在借款可能当中有一个例外
[00122.02-00124.08] 这个例外就是自然人之间的借代
[00124.08-00126.14] 你看后面这一话需要通过去话了
[00126.14-00128.68] 说自然人之间的借款合同数约
[00128.68-00130.48] 实件行合同
[00130.48-00133.28] 实件行合同就是必须要交付
[00133.28-00136.62] 相应的标地才能成立合同
[00136.62-00137.90] 就要做实件合同
[00137.90-00139.94] 所以在这里我们同时需要记得第一个点
[00139.94-00141.88] 就是要知道自然人之间的借款合同
[00141.88-00143.84] 他属于实现和同
[00143.84-00145.36] 咱们在讲实现和同的时候
[00145.36-00147.76] 其实给大家讲过一个
[00147.76-00150.84] 在那儿同你们来快速的翻语一下
[00150.84-00152.76] 你现在比较混乱的大脑
[00152.76-00153.64] 同你们来想一下
[00153.64-00155.36] 我们之前在哪里还讲过
[00155.36-00157.00] 我们所说的这个实现和同
[00158.20-00161.36] 之前在定经等中
[00161.36-00163.48] 我们说了定经它也是实现和同
[00163.48-00166.96] 定经和同之焦复定经识成立
[00166.96-00167.44] 对吧
[00167.44-00169.20] 所以在这里面借话和同也是
[00169.20-00170.20] 咱们之间
[00170.20-00172.72] 你问我借钱或者我问你借钱吧
[00172.72-00173.92] 我问你借钱的时候
[00173.92-00175.88] 什么时候咱俩的借款合同成立
[00175.88-00177.76] 并不是签定合同书的时候
[00177.76-00181.48] 而是你把借款打到我的银行招呼的时候
[00181.48-00183.68] 你把借款交到我手里的时候
[00183.68-00185.32] 这个时候借款合同才什么啊
[00185.32-00185.92] 成立
[00185.92-00188.72] 所以自然之间的借带它属于实现性合同
[00188.72-00190.92] 所以它如果说它属于弄成性合同
[00190.92-00192.12] 这说话就不对了
[00192.12-00193.08] 所以这是第一个点
[00193.08-00194.52] 需要我们去掌握的
[00194.52-00196.60] 借款合同干净当中出现出来的
[00196.60-00197.68] 第一个考订
[00198.20-00199.64] 我们说了借钱
[00200.20-00201.74] 我们现在最怕的是什么
[00201.74-00203.02] 借钱不还的这个事
[00203.02-00205.32] 所以我们就说有借有还在借不难
[00205.32-00207.88] 所以借款它就会适到另外一个问题就是
[00207.88-00209.16] 还款的问题
[00209.16-00211.98] 那还款同一门都比较关系什么问题呢
[00211.98-00213.78] 比如说我们你借了一万块钱
[00213.78-00216.08] 这一万块钱的数字的话数个并不少
[00216.08-00217.62] 那我问你借了一万块钱之后
[00217.62-00218.90] 你比较担心第一个
[00218.90-00220.68] 就是什么时候我把钱还给你
[00220.68-00222.48] 这涉及到还款的期限
[00222.48-00224.52] 第二个就是还款的时候
[00224.52-00226.06] 我要不要复你利息呢
[00226.06-00228.10] 那这涉及到还款利息的问题
[00228.10-00229.12] 那第三个就是
[00229.12-00234.74] 如果期限到了,你们我要钱,但是我没有还款给你,那这个时候应该怎么办
[00234.74-00238.52] 那他就会涉一道于期还款的问题,对不对
[00238.52-00242.24] 我们就来看一下这几个点吧,谁第一个,我们来在这里
[00242.72-00249.08] 简单的标助一下,第一个就是还款的期限,还款当中最关心的一个问题就是还款的期限
[00249.08-00252.62] 还款的期限呢,它有两种情况,第一个,同一个标助一下
[00252.62-00254.62] 就是第一个约定期限的
[00254.62-00255.82] 标注全一
[00255.82-00257.22] 第一种就是约定期限
[00257.22-00258.62] 我问你接了一万块钱
[00258.62-00260.82] 约定一年之后
[00260.82-00261.62] 把钱还给你
[00261.62-00262.82] 我们的还换期限就是什么
[00262.82-00264.22] 就是一年
[00264.22-00266.42] 这是第一个叫做约定换换期限的
[00266.42-00269.22] 我们所说的按照期限来换换借款
[00269.22-00270.62] 很多情况之下不用说
[00270.62-00272.02] 十人之间的借款
[00272.02-00274.22] 你看现在在网上大家都讨论这个问题
[00274.22-00276.22] 所以如果朋友问你借钱
[00276.22-00277.62] 你到底借不借的问题
[00277.62-00279.02] 不借呢
[00279.02-00280.62] 会商集到朋友的感情
[00280.62-00282.86] 切了呢 也会上级到旁的感情
[00282.86-00285.74] 就是 你不知道怎么张嘴去把这个钱要回来
[00285.74-00289.26] 对吧 所以在这个时候一般情况下我们把钱借给旁边的时候
