[00000.00-00004.74] 稍分大家好,今天我們接著來學習民法的內容
[00004.74-00010.44] 我們在前兩天給大家講了民法的該數以及物權這兩個張景的內容
[00010.44-00012.68] 今天我們要來學習一下合同
[00012.68-00017.00] 合同在整個民法考試當中,戰比相對來說會比較大
[00017.00-00022.28] 而且考察的內容也比前兩個我們所說的張景,考察內容要多
[00022.28-00024.56] 合同我們要給大家講兩個部分
[00024.56-00026.80] 第六部分就說合同的基本原理
[00026.80-00029.44] 咱們要去了解一下到底什麼是合同
[00029.44-00031.64] 合同它是如何成立的
[00031.64-00033.32] 那合同一旦签訂了
[00033.32-00036.24] 就約是如何通雙方當時
[00036.24-00038.76] 那這個合同什麼時候才算是旅行完畢
[00038.76-00040.92] 合同什麼時候才終止和消滅
[00040.92-00043.28] 以及如果在签訂合同當中
[00043.28-00044.32] 一方不聽話
[00044.32-00045.44] 對吧它應該做的事
[00045.44-00046.20] 它沒有去做
[00046.20-00047.96] 那我們就說它構成了違約
[00047.96-00050.88] 那針對於這種違約跳成的什麼樣的責任
[00050.88-00051.72] 那這些內容
[00051.72-00053.52] 我們都要在合同的基本原理
[00053.52-00054.96] 卻大家卻講解
[00054.96-00056.68] 但是合同的基本原理
[00056.68-00060.00] 只是让我们从红官的概念上了解了合同
[00060.00-00061.16] 大概是怎么回事
[00061.16-00065.96] 但是我们在日常生活当转能够见到的合同的类型还是多种多样的
[00065.96-00067.80] 比如说我去超市买听水
[00067.80-00072.52] 那我去超市买水的时候可能就会超市之间有一个满卖合同在
[00072.52-00076.28] 那又或者说我现在有一块特别好看的玉账或者是手表
[00076.28-00078.64] 我觉得有不错你人不错
[00078.64-00079.92] 然后我就跟你说
[00079.92-00082.44] 我说你如果这一次成功上的话
[00082.44-00084.32] 我就把这个玉账送给你
[00084.32-00088.16] 这个时候是不是又形成了一个副条件的总理合同啊
[00088.16-00089.92] 又或者我们经常看到的
[00089.92-00092.56] 你每个月都要给你家冲水飞冲地飞
[00092.56-00094.92] 那是不是还会睡到公水供电合同
[00094.92-00096.76] 所以在整个合同当中
[00096.76-00099.28] 合同的内容是非常非常多的
[00099.28-00101.32] 而根据我们的民法典当中
[00101.32-00102.96] 我们就把合同
[00102.96-00105.60] 而是我们所说的法定的合同分成了十几类
[00105.60-00110.36] 这些就是在日常生活当中比较长见的就做点形合同
[00110.36-00113.20] 所以我们除了要掌握合同的基本原理之外
[00113.20-00114.52] 还要去了解一下
[00114.52-00115.76] 我们所说的这个
[00115.76-00116.92] 典型河痛
[00116.92-00118.52] 在日常生活当中比较常见的
[00118.52-00120.76] 比如说买卖,增于保证
[00120.76-00121.84] 像这些河痛
[00121.84-00123.32] 还有什么样的特点
[00123.32-00124.68] 它如何定力
[00124.68-00126.12] 以及在考试当中
[00126.12-00127.44] 它如何考察
[00127.44-00129.68] 就是学习我们所说的这个民法
[00129.68-00131.56] 对我们日常生活当中的帮助
[00132.56-00133.64] 还是很大的
[00133.64-00136.92] 因为它其实就是在规范我们的日常生活
[00136.92-00138.04] 掌握一些法律
[00138.04-00139.96] 支持其实对咱们的生活也是有意识
[00139.96-00141.52] 就是能够更进一步的
[00141.52-00143.06] 去帮助大家为全
[00143.06-00143.60] 好
[00143.60-00146.60] 这个就是在整个河统这一招当中
[00146.60-00149.04] 我们要从两个角度去讲解它
[00149.04-00151.24] 那既然从这两个角度去讲解它
[00151.24-00152.76] 我们接下来就先看一下
[00152.76-00156.44] 第一个部分就是河统的基本原理
[00156.44-00158.04] 在河统的基本原理当中
[00158.04-00160.68] 我们首先来看一下到底什么叫河统
[00160.68-00162.00] 就是河统这个概念
[00162.00-00164.96] 它在法律业层面想如何定义的
[00164.96-00166.36] 那小提到河统
[00166.36-00168.36] 其实我们就不得不提另外一个概念
[00168.36-00169.76] 另外一个概念叫什么呢
[00169.76-00170.60] 就说债
[00170.60-00172.84] 我们之前在讲到误权的时候
[00172.84-00175.52] 经常给大家说的一个黄金大原则就是
[00175.52-00177.44] 去分原则去分原则去分原则
[00177.44-00179.44] 我说误债两分
[00179.44-00181.04] 你说老师啥就误债两分呢
[00181.04-00182.16] 咱们在前面说了
[00182.16-00184.60] 说举说我们说所有全都取得了
[00184.60-00185.00] 对吧
[00185.00-00187.28] 我把我的房子卖给你
[00187.28-00189.04] 咱们两个签订了买卖合同
[00189.04-00190.16] 我之前给大家说了
[00190.16-00192.16] 我说买卖合同之产是什么效利
[00192.16-00193.56] 买卖合同之产生
[00193.56-00194.60] 债全效利
[00194.60-00197.32] 那你什么时候取得房子的所有全
[00197.32-00199.40] 我說要進行過戶登記
[00199.40-00202.12] 所以在這時候登記發生污全效率
[00202.12-00203.32] 我說一馬規矢
[00203.32-00205.00] 我們提到了污戰兩分
[00205.00-00206.48] 到底什麼是戰?
[00206.48-00207.68] 什麼是戰權呢?
[00207.68-00209.96] 我們來看一下他從法律層面上
[00209.96-00211.40] 是如何定義的
[00211.40-00212.16] 在這裡呢?
[00212.16-00213.40] 他給到了一個概念
[00213.40-00216.00] 這個概念的同學們指消去了了解就行了
[00216.00-00217.32] 他不是一個考點
[00217.32-00219.32] 因為我們所說的這個戰
[00219.32-00222.48] 他本身他的一個具體體現就是合同
[00222.48-00225.40] 我們之所以要在這裡面把戰拿出來說一說
[00225.40-00229.36] 就是为了方便同学们更好的去理解合同道的是怎么回事
[00229.36-00231.76] 也是记忆不要给同学们去说明
[00231.76-00233.64] 咱们说的这个合同也好
[00233.64-00234.24] 战也好
[00234.24-00235.64] 我们在民法当中
[00235.64-00237.12] 我们在作体当中
[00237.12-00238.24] 不能说在民法当中
[00238.24-00239.88] 作体当中就把它当成一回事
[00239.88-00240.96] 就可以了
[00240.96-00243.24] 来看一下这个战也他说的是啥呢
[00243.24-00244.76] 他说战也是按照啥
[00244.76-00247.60] 你看他说了是按照合同的约定
[00247.60-00249.20] 会依照法律的规定
[00249.20-00250.32] 反正不管是什么
[00250.32-00252.64] 就是按照相应的一句
[00252.64-00256.64] 當時人直接產生的特定的權利物關係
[00256.64-00258.00] 也說說白了這個債
[00258.00-00260.28] 就是根據相應的依據
[00260.28-00261.84] 在咱們雙方之間
[00261.84-00265.04] 或者是在多方之間形成的權利物關係
[00265.04-00266.52] 那享有權利的人
[00266.52-00268.44] 就被稱之來債權人
[00268.44-00270.56] 比如說我問你借錢
[00270.56-00271.60] 你把錢借給我
[00271.60-00272.60] 你就是什麼
[00272.60-00274.56] 你就是債權人
[00274.56-00275.92] 而我就是什麼
[00275.92-00276.84] 債務人
[00276.84-00277.56] 明白了吧
[00277.56-00279.00] 所以在這個理所謂的債
[00279.84-00281.24] 他其實就是什麼
[00281.24-00283.80] 就是花芬战权人和战务人
[00283.80-00285.28] 战的课题是啥呢
[00285.28-00287.28] 战的课题就是启富行为
[00287.28-00288.92] 这个就是我们所说的战
[00288.92-00290.76] 这个战的形式有特别的多
[00290.76-00292.56] 比如说单方远诺之战
[00292.56-00294.76] 比如说我们所说的无音管理之战
[00294.76-00296.68] 无音管理也成为准合同
[00296.68-00298.92] 或者叫不当得例之战等等
[00298.92-00301.24] 所以我们把这种产生特定权力
[00301.24-00302.72] 一无关系的这种
[00302.72-00304.60] 我们就把的称之呗战
[00304.60-00305.56] 而我问一下大家
[00305.56-00308.24] 合同它会会产生权力无关系呢
[00308.24-00310.76] 合同其实也会产生权力无关系的
[00310.76-00313.44] 比如说我去抄示满粒平水
[00313.44-00315.04] 我去抄示满粒平水
[00315.04-00317.24] 这个时候形成了全力武关系是吗
[00317.24-00319.72] 我的音武就在于富钱
[00319.72-00322.04] 然后抄示的音武就在于给我水
[00322.04-00325.00] 我的权力就在于我拿到水
[00325.00-00326.64] 抄示的权力就在于什么
[00326.64-00327.84] 在于他拿到钱
[00327.84-00330.52] 所以在我去抄示满水的过程当中
[00330.52-00332.76] 是不是也产生了债权债武关系
[00332.76-00334.28] 而我去抄示满水
[00334.28-00335.96] 说又成立了满粒合同
[00335.96-00337.68] 所以我们说了债
[00337.68-00340.66] 他其实会合同之间是我一定的关系的
[00340.66-00344.16] 我们把合同认为是债了一种形式
[00344.16-00346.44] 所以我们经常听到什么买买合同之债
[00346.44-00347.70] 对吧等等这些力
[00347.70-00349.84] 所以大家就在债的概念里面
[00349.84-00353.24] 你就知道原来债是产生特定权力武关系
[00353.24-00355.60] 花分出了债权人和债务人就行了
[00355.60-00359.64] 而债他的一个具体应用和表现就是我们所说的合同
[00359.64-00360.36] 明白了吧
[00360.36-00362.00] 所以在这里大家要注意一下
[00362.00-00363.44] 这是我们所说的债
[00363.44-00365.12] 我们做提的手怎么办
[00365.12-00366.08] 做提的时候
[00366.08-00368.64] 我说了紧线于我们考试作体
[00368.64-00369.84] 你就在考试作体当中
[00369.84-00372.32] 你就把债和合同等同就行了
[00372.32-00374.24] 所以在这里面大家要注意一下
[00374.24-00376.88] 我们知道了什么是合同什么是债
[00376.88-00378.64] 接下来我们就进入到看
[00378.64-00380.40] 进入到合同的学一当中
[00380.40-00382.20] 来看一下合同
[00382.20-00384.00] 它到底是怎么成立的
[00384.00-00385.56] 咱们也天天看电视
[00385.56-00387.60] 包大小时候有没有这样的梦想
[00387.60-00389.20] 反正我是有这样的梦想的
[00389.20-00390.64] 我小时候梦想就跟我妈说
[00390.64-00392.32] 说长大了之后我要开一家
[00392.32-00393.08] 大公司
[00393.08-00396.32] 对吧 我要成为一个大公司的什么老板
[00396.32-00398.88] 然后天天看电影就我看人的钱什么
[00398.88-00400.12] 那个电视经常演
[00400.12-00401.72] 说你这个事情怎么做的
[00401.72-00403.20] 这是几千万的大河头
[00403.20-00404.56] 你给我出这么一个披露
[00404.56-00404.92] 对吧
[00404.92-00407.72] 我们经常看电视当中就提到了这种河头
[00407.72-00409.20] 就感觉好高大上
[00409.20-00409.52] 对吧
[00409.52-00412.28] 但其实河头它有那种标的一个很大的
[00412.28-00414.36] 它有和我们生活相貼近的
[00414.36-00416.56] 我们就来看看河头
[00416.56-00419.00] 它到底是怎么成立的
[00419.00-00421.32] 又或者说我们常见的这些河头
[00421.32-00423.68] 到底是怎么形成的
[00423.68-00426.80] 我们来看一下有关于合同的定力
[00426.80-00428.88] 首先我们来看一下合同的定力
[00428.88-00429.92] 合同的定力
[00429.92-00435.00] 首先第一个点效同们掌握的就是合同定力的形式
[00435.00-00437.44] 当时定力合同同的话一下
[00437.44-00441.68] 可以采取出面形式把书面画出来
[00441.68-00443.28] 可以采取我们所说的
[00443.28-00447.80] 书面形式也可以是扣头或者是其他形式
[00447.80-00450.80] 所以这里面第一个考察点效同们去注意的
[00450.80-00453.36] 就是合同定力的形式有很多
[00453.36-00454.64] 第一种叫做書面
[00454.64-00455.64] 但是这个書面呢
[00455.64-00456.56] 同样注意一下
[00456.56-00460.08] 你要做广易或者叫做擴大的理解
[00460.08-00462.08] 我们想一上任为書面要是啥呢
[00462.08-00463.72] 就是我们在电视上看到的
[00463.72-00464.36] 我说了
[00464.36-00466.08] 咱们两家公司合作对吧
[00466.08-00467.76] 一个几千亿的大单子
[00467.76-00470.12] 然后你就把指质版的材料拿给我
[00470.12-00471.28] 然后让我去越多
[00471.28-00473.52] 然后后面就在越多后面就说
[00473.52-00475.32] 说柳总如果没有问题的话
[00475.32-00476.24] 就可以签字了
[00476.24-00479.20] 那你看这种是我们经常在天视上看到的
[00479.20-00481.20] 所谓的書面合同
[00481.20-00484.38] 但是这种書面它强烈的是有指示版的正品证
[00484.38-00486.24] 但在法律上的書面
[00486.24-00489.30] 可比我们在电视上看到这种書面合同要
[00489.30-00490.46] 款犯很多
[00490.46-00491.54] 我们来看一下
[00491.54-00493.10] 在法律层面当中
[00493.10-00495.60] 我们所说的这个書面到底是啥意思
[00495.60-00498.10] 它的書面形式是合同書
[00498.10-00498.84] 我刚才说了
[00498.84-00499.68] 这几千亿的
[00499.68-00500.64] 就流泽你没有问题
[00500.64-00501.36] 千个字对吧
[00501.36-00502.24] 合同書
[00502.24-00503.20] 信件
[00503.20-00505.04] 电报 传真懂
[00505.04-00505.88] 可以
[00505.88-00510.88] 画后面叫做可以有行的展现所在内容的形式
[00510.88-00512.38] 那这种就叫做什么
[00512.38-00514.68] 就叫做输面合同
[00514.68-00515.68] 又或者它说了
[00515.68-00518.08] 说电子数据交换电子有点方式能够
[00518.08-00520.08] 有行的表现所在内容
[00520.08-00523.88] 比如随时可以掉去到数据电源
[00523.88-00526.38] 也被称为什么输面形式
[00526.38-00528.68] 随所谓的输面同时就注意一下
[00528.68-00530.48] 它是有行的就可以了
[00530.48-00532.98] 这种有行可以是咱们打出来的指制板
[00532.98-00535.22] 可以是电子有件的这种形式
[00535.22-00536.26] 现在都有有箱
[00536.26-00538.94] 或者我们常见的什么数据电源
[00538.94-00541.78] 这个数据电源就电子数据交换
[00541.78-00544.86] 比如说我把这个核通说发到了什么
[00544.86-00546.30] 发到了你的微信上
[00546.30-00547.70] 这个时候你可以随时查看
[00547.70-00549.90] 我发给你的PBS版本
[00549.90-00552.06] 它是不是说面形式是的
[00552.06-00553.50] 又或者大家经常买保险
[00553.50-00555.38] 不知道大家没有注意到这个问题
[00555.38-00556.62] 你再去买保险的时候
[00556.62-00558.02] 什么人受到平安
[00558.02-00558.58] 对不对
[00558.58-00560.10] 你经常会看到什么
[00560.10-00561.58] 你经常会在你的那个
[00561.58-00564.66] 我比如说我用的PCC对吧就是人售
[00564.66-00569.82] 你看我经常会在这个人售的APP里面去进入到我的定单
[00569.82-00571.66] 它是不是有一个有效的保单呢
[00571.66-00573.74] 那你去点击那个有效的保单
[00573.74-00577.02] 是不能看到你的保险的这样的一个数据
[00577.02-00577.70] 不能数据
[00577.70-00579.50] 就是保险的一个文字的呈现
[00579.50-00583.58] 那你在点击APP当中掉取的数据电了
[00583.58-00584.94] 它是不是也是说了
[00584.94-00587.18] 头报人是谁被保险是谁发了发达达达的
[00587.18-00588.74] 那它属不属于合同
[00588.74-00590.46] 它也属于树面合同
[00590.46-00592.18] 所以这里面同一们注意
[00592.18-00594.28] 它所为的書面形式
[00594.28-00595.64] 你做广易的理解就行了
[00595.64-00597.84] 只要它是有在体的
[00597.84-00599.28] 它就是属于什么
[00599.28-00599.90] 書面
[00599.90-00600.72] 明白这个意思吧
[00600.72-00601.84] 所以这里面你说
[00601.84-00603.86] 老师那我需要被何同说
[00603.86-00604.76] 电报
[00604.76-00606.02] 然后传织不用
[00606.02-00608.00] 你就知道有形展现的
[00608.00-00609.56] 就叫做書面合同
