[00000.00-00004.26] 那么了解了科技发展的昨天也就是科技发展史
[00004.26-00008.68] 我们接下来来看一下科技发展的今天了解一下基础科学
[00008.68-00012.08] 那在基础科学当中我们要给同学们讲四节的内容
[00012.08-00017.24] 这四节分别是物理知识化学知识生物一学知识一节生活知识
[00017.24-00023.20] 而这四节的内容它在整体的考察上它其实只有两个大的考察角度
[00023.20-00027.32] 第一个大的考察角度考什么呢?考察一些基本原理
[00027.32-00031.52] 那像這些基本原理的話 老網比如說在物理學知識當中
[00031.52-00033.12] 它的基本原理就變成長的
[00033.12-00035.48] 就說考一些基本的概念
[00036.48-00038.72] 那如果是放在化學知識裡面
[00038.72-00041.40] 它的這個基本原理王王就是考察這個事物的
[00041.40-00043.04] 化學性質
[00043.40-00047.20] 那如果是放在我們所說的這個生物醫學長事當中
[00047.20-00049.40] 它的這個基本原理也是測同在什麼
[00049.40-00050.68] 基本概念的考察
[00050.68-00052.72] 所以在考試當中的第一步
[00052.72-00055.52] 我們要掌握著這些基本原理它大概是什麼
[00055.52-00057.36] 比如说他给你相应的定义
[00057.36-00058.40] 你能够选出来
[00058.40-00060.00] 相这样的一个考试方式
[00060.00-00062.44] 在何北市的单位其实考察过了
[00062.44-00064.80] 当然在山东前进来的时候有考察
[00064.80-00066.44] 就是给你一句话
[00066.44-00067.36] 然后问这句话
[00067.36-00069.00] 他是属于哪一个概念
[00069.00-00070.92] 当时考的是牛顿第一定律
[00070.92-00071.36] 对吧
[00071.36-00072.32] 所以第一点呢
[00072.32-00073.92] 他都会考察一些基本原理
[00073.92-00076.44] 那第二个他在考察当中会考察一些
[00076.44-00078.88] 这些基本原理的一些应用
[00078.88-00079.96] 那这些应用呢
[00079.96-00081.00] 大家一定要注意
[00081.00-00084.12] 他其实和我们在以前的粗糕中所学的
[00084.12-00087.58] 或者是大家在大學當中所學的什麼物理化學生物醫學
[00087.58-00089.82] 你的真業客有些不太一樣
[00089.82-00093.96] 這個應用它往往是特縱和生活城市相結合
[00094.96-00100.76] 所以它會撤重生活城市來考察我們所說的這些應用
[00100.76-00102.60] 也就是給你一個生活現象
[00102.60-00105.76] 然後讓你去對應出來它背後的原理是什麼
[00105.76-00108.96] 那像這種一般考察的就會比較簡單一點
[00108.96-00110.76] 像這種簡單的這種考察
[00110.76-00111.88] 比如說它就說了
[00111.88-00115.46] 比如考到一个我们所说的热胶冷缩
[00115.46-00116.74] 在考热胶冷缩的时候
[00116.74-00120.08] 它就会给到你说以下关热胶冷缩缩缩缩缩缩缩缩缩缩缩缩缩
[00120.08-00122.62] 是给你ABCD色的选项
[00122.62-00125.46] 然后这色的选项都是热胶冷缩的现象
[00125.46-00127.50] 让你判断哪一个是正确的
[00127.50-00130.60] 这种其实就是测证在我们所说的基本原理
[00130.60-00132.88] 它的一个和生活厂时的对应
[00132.88-00134.54] 这种考的表检单
[00134.54-00138.80] 而这种考察表检单的一般是多建在是一单位和三支衣服
[00138.80-00140.54] 这样的考试当中
[00140.54-00143.76] 那他在英文当中也会考的相当来说不着副杂一点
[00143.76-00145.10] 那在在考的副杂的时候呢
[00145.10-00147.90] 他就会出综合性的这样的一个题目
[00147.90-00149.64] 那这种综合性的题目
[00149.64-00153.26] 往往记考查我们所说的生活现象
[00153.26-00155.90] 又考察这个原理的一些细节
[00155.90-00156.94] 那这样的呢
[00156.94-00159.18] 就是考的相当来说副杂很多
[00159.18-00160.24] 而这种副杂的
[00160.24-00162.38] 泡泡芒是出现在哪些考试里面
[00162.38-00165.58] 出现在国神考选调生
[00165.58-00170.14] 我们所说的全国同考是一单为连考的这种考试里面
[00170.14-00172.54] 他会考得相对来说复杂一点
[00172.54-00173.54] 这种情况之下
[00173.54-00176.42] 我们就不单单要能够去掌握这个原理
[00176.42-00178.78] 他对用的基本生活长手生活现象
[00178.78-00183.42] 高把一些重点的知识点的背后的细节去给他挖酒出来
[00183.42-00184.98] 一会我们再去做题的时候
[00184.98-00188.26] 或者是在讲到知识点的时候会涉到一些题目
[00188.26-00190.98] 这里面我们就能够看到他这种综合性
[00190.98-00192.34] 其实就能够体现出来
[00192.34-00195.42] 他把这个知识点身发的非常地细致
[00195.42-00198.02] 这个是我们所说的整个基础科学
[00198.02-00202.54] 他在進行考試的時候考察的兩種初題的角度
[00202.54-00204.98] 那我們既然了解了他怎麼去考
[00204.98-00206.98] 我們接下來就來看一下
[00206.98-00208.90] 整個紀錄科學當中這些內容
[00208.90-00210.54] 怎麼應該如何掌握
[00210.54-00213.38] 首先先來看一下第一節的內容
[00213.38-00214.74] 就是物理知識
[00214.74-00215.94] 說到物理知識
[00215.94-00217.38] 我們大概有一個基本概念
[00217.38-00218.50] 就知道物理知識
[00218.50-00221.26] 泡王的包括生光、電、例、熱
[00221.26-00222.86] 對吧 那這麼多的方面
[00222.86-00226.70] 就主意從這些方面來給同學做一個簡單的接收
[00226.70-00228.62] 首先我们来看一下低点
[00228.62-00230.38] 就是经典利学
[00230.38-00234.06] 经典利学在最开使给大家讲科技的过去的时候
[00234.06-00235.50] 是比我们给大家提到过
[00235.50-00237.22] 经典利学它和使用关
[00237.22-00239.02] 其实经典利学我们所说的
[00239.02-00243.50] 它的创建者有很多比如说像是加利率等等
[00243.50-00245.66] 但是自于突出和典型的人物
[00245.66-00247.66] 其实就是我们所说的扭顿
[00247.66-00248.06] 对吧
[00248.06-00250.46] 所以我们在前面讲到扭顿这个人的时候
[00250.46-00253.10] 我们说了它创建了经典利学体系
[00253.10-00255.78] 那在经典地学这个点当中的第一个考点
[00255.78-00257.18] 咱们来简单的回顾一下
[00257.18-00258.42] 咱们再讲科技史当中
[00258.42-00261.74] 其实给它说过经典地学它的适用范围
[00263.62-00265.02] 标注在旁边
[00265.02-00266.58] 经典地学它的适用范围
[00266.58-00269.54] 其实是用在我们所说的红官世界
[00269.54-00272.82] 也就是我们能够肉眼灌得到的
[00272.82-00274.74] 这些我们所说的物质
[00274.74-00276.46] 它的一些运动的基本情况
[00276.46-00279.02] 那它是用于我们所说的经典地学
[00279.02-00282.02] 所以它在这里面是用在红官世界上
[00282.02-00283.78] 为什么要在这里给大家去分呢
[00283.78-00286.84] 因为我们要把经典力学和后面我们去讲的
[00286.84-00288.50] 量子力学去分开
[00288.66-00289.74] 量子力学呢
[00289.74-00290.42] 大家注意一下
[00290.42-00292.92] 它是用的范围是我们所说的
[00292.92-00293.98] 微观世界
[00294.14-00295.68] 当年在考试的时候
[00295.68-00297.48] 出现世界单位考试的时候
[00297.48-00298.78] 出了一个判断体
[00298.78-00300.58] 当时的判断体说的是啥呢
[00300.58-00301.52] 给到的说
[00301.52-00303.14] 量子力学的提出
[00303.14-00306.12] 它其实是丰富了经典力学体系
