[00000.00-00003.58] 那我们就正式进入到人的历史厂时的一个学习当中来
[00003.58-00007.32] 首先第一个就是来讲解一下我们所说的这个时间时代
[00007.32-00008.64] 那学习历史的话呢
[00008.64-00010.20] 其实就要去了解一下
[00010.20-00012.94] 我们的历史就是从人开始的嘛
[00012.94-00013.38] 对吧
[00013.38-00017.92] 那人到底是从哪儿来的文化到底是从和汽然的
[00017.92-00021.66] 那这个呢就会设议到我们所说的时间历史的内容啊
[00022.74-00026.24] 那我想很多同学的其实在日常生活当中都思考过一个问题
[00026.24-00028.36] 就是我是谁我从哪里来对吧
[00028.36-00030.30] 如果蘇聯道人類的文明的話
[00030.30-00032.04] 之前在負擔大學
[00032.04-00035.34] 現在有一個現在人類學的研究中心
[00035.34-00036.90] 他們當時搞了一個實驗
[00036.90-00039.36] 就是找了一萬兩千多名中國人
[00039.36-00041.70] 然後把他們的外的人設體經分析
[00041.70-00045.06] 然後發現中國人和世界上的其他人類一樣
[00045.06-00049.46] 都是來自於6萬多年前的非洲的制人
[00049.46-00051.16] 而這些非洲的制人
[00051.16-00053.06] 三萬多年前來到中國的境內
[00053.06-00056.00] 像中國的北辨序座跨上開來
[00056.00-00058.12] 在中國的大地上就變步了
[00058.12-00060.94] 后来就好了我们现在这样的一些人
[00060.94-00063.50] 这个就是从世界的角度来看
[00063.50-00065.04] 我们要去了解一下
[00065.04-00066.06] 我们所说的
[00066.06-00066.82] 人类
[00066.82-00068.36] 我们它的一个发展
[00068.36-00071.18] 所以使钱我们所说的这样一个时代
[00071.18-00072.34] 它其实是历史神话
[00072.34-00074.00] 有浪漫并存的一个时代
[00074.00-00075.78] 我们就来看一下人类的曲言
[00075.78-00077.06] 就因为合吧
[00077.06-00079.10] 我们说的其实说到人类的曲言
[00079.10-00082.44] 它其实也是我们在考试过程当中
[00082.44-00083.98] 比较长线的一个点
[00083.98-00086.54] 虽然它在考试过程当中的战笔不单
[00086.54-00090.02] 但是为了尽量的覆盖的执点相当的受表全面
[00090.02-00091.74] 我们就把人类的取援
[00091.74-00093.58] 也给同你们去进行一个介绍
[00093.58-00095.54] 一会儿坐体的时候就知道这个点
[00095.54-00096.86] 他怎么考了
[00096.86-00098.90] 首先在人类的起源当中
[00098.90-00101.14] 其实就会涉及到人类的计划
[00101.14-00104.46] 人类的计划其实是分成两种大的形态的
[00104.46-00106.34] 这样的大的形态一种
