[00000.00-00003.58] 大家好 我是杰瑞 今天我们来学为温温当中的最后一个部分
[00003.58-00006.40] 就是物质和意识的变政关系
[00006.40-00010.50] 那说到物质意识变政关系呢 他其实为温温当中的最后一个环节
[00010.50-00012.30] 咱们来简单的回顾一下
[00012.30-00016.38] 咱们再讲到变政为物质意的时候我们讲变政为物质意第一个
[00016.38-00021.50] 现在搞定为物质 以后我们在为温当中讲了物质 从物质当中
[00021.50-00023.50] 引出来了运动
[00023.50-00026.74] 禁止以及我们所说的时空
[00026.74-00028.82] 那讲完我们所说的物质之后
[00028.82-00030.54] 有说到我们接触事务之后
[00030.54-00033.42] 会对这些事务产生观点看法想法
[00033.42-00036.42] 它是外部投射到我们脑海当中的
[00036.42-00038.42] 我们把冲的围教组关印象
[00038.42-00040.58] 于是在这里就产生了意识
[00040.58-00042.74] 这两个基本概念都讲完了之后
[00042.74-00046.50] 那既然我们就来看一看物质和预示之间的变政关系
[00046.50-00050.50] 这个变政关系本身是一个两星期的理解形的之事点
[00050.50-00052.30] 在物质于是变政关系当中
[00052.30-00055.86] 我们要掌握一个反作用和一个规律
[00055.86-00058.58] 这两个地方是比较喜欢出理解形题目的
[00058.58-00060.06] 好,我们来看一下
[00060.06-00062.42] 想要搞定物质意识的变政关系
[00062.42-00066.10] 我们来看一下这个关系当中讲了哪些内容
[00066.10-00069.22] 全第一个讲了物质和意识变政关系到底是什么
[00069.22-00071.30] 我们把的称之为叫做原理
[00071.30-00072.10] 两句话
[00072.10-00073.78] 一个叫物质决定意识
[00073.78-00076.38] 一个叫意识对物质具有反作用
[00076.38-00079.10] 除了原理,原理告诉我们是什么
[00079.10-00080.64] 那么懂了道理之后
[00080.64-00083.46] 他总归会对我们的生活产生一定的直到作用
[00083.46-00083.70] 对吧
[00083.70-00086.02] 我们把的称率叫做方法论
[00086.02-00088.32] 所以在物质和于是变成关系当中
[00088.32-00089.62] 一共是四句话
[00089.62-00091.34] 第一句话叫物质决定于是
[00091.34-00091.98] 第二句话
[00091.98-00093.82] 于是对物质具有反作用
[00093.82-00094.58] 第三句话
[00094.58-00095.82] 一切从十一出发
[00095.82-00096.62] 第四个
[00096.62-00097.86] 这是充分发挥
[00097.86-00098.82] 主观能够性
[00098.82-00100.94] 那四句话分别都是什么意思
[00100.94-00102.54] 他又在考试当中怎么考
[00102.54-00103.94] 咱们主意来看
[00103.94-00105.98] 那首先咱们先来看一下第一个
[00105.98-00108.82] 就是物质和于是关系当中的原理
[00108.82-00110.46] 它的原理啊一共是两句话
[00110.46-00112.06] 第一句话呢叫做物质
[00112.06-00113.14] 决定意识
[00113.14-00116.50] 咱们在第一节课物质当中的时候给它说过了
[00116.50-00118.90] 说我们看到物质不要去想概念说
[00118.90-00122.58] IG开于有同学背说是标志课关时代的哲学饭籌
[00122.58-00124.78] 这个呢它其实不太厉害我们做体
[00124.78-00127.30] 于是我们就把物质去想话了
[00127.30-00128.98] 抽象出来了一个打历计小
[00128.98-00130.06] 我们当时咱说了
[00130.06-00132.86] 文说物质就代表课关实际情况
[00132.86-00135.30] 你只要看到课关实际情况
[00135.30-00137.46] 在事故的发言到那种起到决定作用
[00137.46-00139.50] 比如说外部经济的发展
[00139.50-00142.14] 决定了人们的精神文化水平
[00142.14-00143.82] 外部经济的发展
[00143.82-00146.30] 决定了国家的方征政策等等
[00146.30-00146.70] 对吧
[00146.70-00148.50] 你只要看到外部
[00148.50-00150.50] 客观实际情况起到决定作用
[00150.50-00151.58] 都叫做什么
[00151.58-00152.98] 都叫做物质
[00152.98-00154.18] 决定用作用
[00154.18-00155.22] 所以在这里面
[00155.22-00157.62] 物质决定意识这一个点
[00157.62-00159.82] 它本身在我们的考试当中
[00159.82-00161.54] 咱们其实是和前面
[00161.54-00163.54] 单纯讲物质机巧的时候
[00163.54-00165.06] 是跟它挂的上的
[00165.06-00166.82] 咱们当时给到的机巧是上
[00166.82-00171.14] 这客观实际情况
[00174.82-00177.94] 起到决定作用
[00179.30-00181.42] 那这种情况之下就叫做物质
[00181.42-00182.18] 决定一是
[00182.18-00183.14] 那我们当说了
[00183.14-00184.94] 除了可以选物质决定一时之外
[00184.94-00185.78] 还可以选啥
[00185.78-00187.46] 还可以选一切
[00187.46-00189.62] 从实际出发
[00191.22-00192.30] 货质的叫做什么
[00192.30-00194.42] 或者叫做世界物质
[00194.42-00195.42] 统一声原理
[00196.82-00201.58] 世界物质 同一性原理
[00201.58-00203.94] 咱们当时讲的那个暗力 同一名应该还记得
[00203.94-00206.54] 叫做巧富呢 为5米之粹
[00206.54-00208.74] 对吧 它其实对于我们日常生活
[00208.74-00210.58] 有非常大的这样的一个意义
[00210.58-00211.98] 这是我们再去做什么事的时候
[00211.98-00213.78] 我们就总会省事一下什么
[00213.78-00215.30] 除了自身主文因素之外
[00215.30-00217.54] 还要去省这一下外部客观条件
[00217.54-00219.86] 国家发展如此 古代行军打账的时候
[00219.86-00220.86] 是不是也是这样
[00220.86-00223.38] 这个叫做物质 决定意识
[00223.38-00226.02] 那么说了 既然是外部客观实际情况
[00226.02-00227.70] 都要起到决定作用对吧
[00227.70-00229.06] 叫物质决定意识
[00229.06-00231.14] 那意识是不是完全被动的呢
[00231.14-00232.42] 是为意识一点
[00232.42-00233.54] 做用都不起呢
[00233.54-00234.34] 其实不是的
[00234.34-00235.54] 在这里面他说了
[00235.54-00237.14] 说意识对物质具有什么
[00237.14-00238.66] 具有反作用
[00238.66-00239.38] 大家注意一下
[00239.38-00241.78] 这个是我们要在这里面掌握的
[00241.78-00243.94] 新学的第一个内容
[00243.94-00246.26] 物质对意识叫意识对物质
[00246.26-00247.22] 具有反作用
[00247.22-00249.22] 它其实有两层考察方式的
[00249.22-00250.34] 第一种考察方式
[00250.34-00253.06] 就是在这里单纯考察一个判断题
[00253.06-00254.90] 或者是判断的选项
[00254.90-00257.14] 在判定体判定想当中他会说
[00257.14-00258.72] 说但反应是意识
[00258.72-00261.56] 都能对物质起到推动作用
[00261.56-00264.38] 然后让判判判判正说法是对还错
[00264.38-00265.26] 大家要注意
[00265.26-00266.10] 我们的意识呢
[00266.10-00268.90] 他其实是有正确和错误之分的
[00268.90-00271.22] 就是你脑海当中的这种想法
[00271.22-00273.34] 他有对的他也有错的
[00273.34-00275.70] 那同于们应该本能的知道什么样的
[00275.70-00277.38] 想法什么样的观点
[00277.38-00279.42] 什么样的看法什么样的理念
[00279.42-00281.54] 能够对数发展起推动作用呢
[00281.54-00282.70] 是对的还是错的
[00282.70-00283.86] 只能是对的
[00283.86-00287.78] 所以在这里叫正确的意识能够促进15的发展
[00288.66-00292.50] 而促的意识则会促爱15的发展
[00292.50-00292.86] 对吧
[00292.86-00295.34] 所以在这里面他在这里就会给到
[00295.34-00297.62] 把正确或错误在选项当中
[00297.62-00299.18] 或判论提当中拿掉
[00299.18-00300.34] 那正确法都不对
[00300.34-00301.46] 他只要给到说
[00301.46-00303.46] 但反意是都能促进
[00303.46-00305.10] 或但反意是都能促
[00305.10-00305.82] 一定错了
[00305.82-00306.42] 大助一下
[00306.42-00307.82] 这里有中午之分
[00307.82-00309.98] 但这个点本身考察起来
[00309.98-00311.18] 难度不大
[00311.18-00314.52] 它只是做一个判断体考到是书上的内容
[00314.52-00316.10] 考得比较难的是什么呢
[00316.10-00319.18] 就是一直对物质它的这种反作用
[00319.18-00321.78] 它到底是什么样的作用
[00321.78-00325.12] 这个地方它会考理解行的题目
[00325.12-00327.58] 这个地方是比较难的一个地方
[00327.58-00328.50] 那小了理解
[00328.50-00329.74] 一直对物质的反作用
[00329.74-00331.34] 就要从它的概念入手
[00331.34-00333.30] 然后从它的具体表现入手
[00333.30-00336.50] 再从它的具体表现推倒出来按立
[00336.50-00338.82] 然后去回后到题目当中
[00338.82-00340.78] 它会如何设题
[00340.78-00342.38] 那麼在這裡來看一下
[00342.38-00344.58] 什麼叫做藝術對物質的反作用呢
[00344.58-00346.18] 這個點同學沒掉作為
[00346.18-00347.74] 兩千級的直點掌握
[00347.74-00348.78] 咱們來看一下
[00348.78-00351.26] 說藝術對物質就反作用啊
[00351.26-00354.86] 是指這種反作用就是藝術的能動作用
[00354.86-00358.78] 藝術的能動作用是指藝術能動的反應世界
[00358.78-00361.78] 和通過實踐改造世界能能力合作用
[00361.78-00364.78] 如果老師他在說了些傻呀這亂糟糟的
[00364.78-00367.58] 在這裡同一邊首先先搞定一個詞
[00367.58-00370.22] 就是我們要知道藝術他其實對我們上升
[00370.22-00371.64] 生活当中会起到一个人的作用
[00371.64-00373.56] 比如说当你心情特别好的手
[00373.56-00375.30] 你的身体是我最会健康
[00375.30-00378.30] 那你的心情其实是代表了一种情绪
[00378.30-00379.34] 一种情感
[00379.34-00380.46] 那这种情绪的情感
[00380.46-00382.30] 其实会对你自身产生影响
[00382.30-00383.78] 那这个就叫做什么
[00383.78-00384.70] 意识的作用
[00384.70-00386.64] 当你有一个继续向上的观念的时候
[00386.64-00387.80] 你会发现事情
[00387.80-00390.30] 都会变得相对来说容易一些
[00390.30-00393.26] 那这些都叫做意识的反作用
[00393.26-00394.10] 所以在这里
[00394.10-00395.30] 同没有掌握的第一点
[00395.30-00398.54] 就是意识对物质具有反作用
[00398.54-00402.84] 我們把這種反作用也被稱為叫意識的能動作用
[00405.02-00406.90] 而除了意識的能動作用之外
[00406.90-00408.70] 我還經常會聽到一話
[00408.70-00412.46] 叫做沙呢叫做充分發揮主彎能動性
[00413.90-00415.10] 把它寫的旁邊
[00415.10-00418.02] 只要充分發揮主彎能動性
[00418.02-00419.06] 那這三句話
[00419.06-00422.54] 同學要知道它的含義其實是動同的
[00422.54-00423.10] 動同的
[00423.10-00424.74] 我們在做體道中是把它動同的
[00424.74-00425.98] 就是意識的反作用
[00425.98-00427.14] 就是意識的
[00427.14-00430.70] 能弄作用就是人的主观能动性
[00430.70-00433.18] 所以但反正在提案当中看到这三个
[00433.18-00435.54] 就要把他们三个和病为一个知识点
[00435.54-00436.70] 那这是在这里
[00436.70-00438.58] 那说老师这种反作也好
[00438.58-00439.70] 这种能动作也好
[00439.70-00441.18] 这种主观能动性也好
[00441.18-00442.82] 他具体指的是什么呢
[00442.82-00445.34] 在初上给了我们一个概念来看一下
[00445.34-00447.06] 他说意识的能动作用
[00447.06-00450.90] 是指意识能够能动的反应世界
[00450.90-00454.14] 并且能够通过时间改造世界
[00454.14-00455.54] 这个点同一名注意一下
[00455.54-00459.38] 他是一个医生级的判断体经常会考判断
[00459.38-00460.90] 我们的大脑
[00460.90-00462.86] 他昨天人就是具备这样的功能
[00462.86-00464.90] 你接触外部事务之后你会发现
[00464.90-00467.82] 他会按照你自身的一些成长环境
[00467.82-00471.30] 你自身的一些想法去反应你对这个事务的看法
[00471.30-00473.62] 比如说我看到一种一种花
[00473.62-00476.18] 那我觉得这种花好美也好香
[00476.18-00477.66] 那如果你是学生物的
[00477.66-00479.46] 你看过这种花的本能反正什么
[00479.46-00480.90] 去解构这个花
[00480.90-00482.38] 他是有几个组成的
[00482.38-00483.90] 他属于什么物种等等
[00483.90-00484.22] 对吧
[00484.22-00487.42] 那你看每個人的想法他是研究而異的
[00487.42-00490.58] 所以在這裡面叫做什麼能動的反應世界
[00490.58-00491.70] 所以的能動
[00491.70-00494.06] 他是一定會經過加工和改造的
[00494.06-00497.14] 他不是那種直白的那種反應
[00497.14-00498.54] 比如說你看到椅子
[00498.54-00500.86] 你就會想到椅子是可以做的
[00500.86-00504.14] 你看到桌子你就知道桌子是可以輸寫的
[00504.14-00507.02] 這種就叫做能動的反應世界
[00507.02-00509.30] 你說老師能動的反應世界對應的
[00509.30-00512.54] 那就是直白的直接的消息的反應世界
[00512.54-00515.36] 它是一点都不会去身优或者一点
[00515.36-00517.40] 而不会去探究这个事物背后
[00517.40-00518.68] 它可能还会有什么
[00518.94-00520.74] 比如说能动的作用我看到桌子
[00520.98-00522.26] 我觉得桌子可以说写
[00522.52-00523.80] 这个叫做能动的作用
[00524.06-00525.08] 能动的反应
[00525.34-00528.42] 如果说是直摆的反应就是我看到桌子我的反应就是
[00528.92-00529.94] 它是一个桌子
[00530.20-00532.00] 这种就叫做直摆的反应
[00532.26-00533.28] 而意识是什么
