[00000.00-00007.80] 我们了解完了整个行政法的基本原则之后,我们来看一下第三个大问题,就叫做行政主体
[00007.80-00013.80] 这个行政主体其实就是在整个最开始,这个法律模块开机鞋给大家强调的
[00013.80-00023.60] 我们说了行政法调整的是官民之间的关系,和为行政法上的官,而行政法上的官,它就是我们所说的行政主体
[00023.60-00026.52] 所以同時可以在行政主體旁邊寫上一個字
[00026.52-00028.60] 這是關管民當中的官
[00028.60-00031.04] 當然這個官他其實是廣義上的
[00031.04-00032.68] 那什麼叫做行政主體呢
[00032.68-00035.64] 咱們來看一下第一個以關行政主體的概念
[00035.64-00038.72] 他們行政主體是只能夠同一話一下
[00038.72-00040.96] 叫做以爺自己的名義
[00040.96-00045.60] 實施國家行政管理只能並成為一定法律後果的
[00045.60-00050.00] 什麼呢 壞下國家行政機關和社會組織
[00050.00-00053.56] 那这里面其实就给我们寄定了所谓行政主体
[00053.56-00056.00] 所以行政法层面上的关
[00056.00-00058.04] 它其实是一个广易上的概念
[00058.04-00060.76] 它不单单包括我们常熟悉的
[00060.76-00063.24] 比如说政府、机关单位
[00063.24-00066.12] 比如说教育部等等这系列的国家行政机关
[00066.12-00069.20] 它也可能包括一部分什么社会组织
[00069.20-00071.20] 那学习行政主体它什么意义呢
[00071.20-00074.56] 大家注意一下这个行政主体对整个行政法来说
[00074.56-00075.96] 非常非常重要
[00075.96-00077.96] 明确行政主体是什么
[00077.96-00079.24] 其实就明确了
[00079.24-00081.36] 在整个群政运行当中
[00081.36-00082.84] 我们所说的这个官
[00082.84-00084.44] 他到底是什么
[00084.44-00085.44] 这个没有问题吧
[00085.44-00086.16] 那第二个
[00086.16-00087.40] 你明白了这个官
[00087.40-00088.40] 你可以解决什么问题啊
[00089.36-00090.12] 我们前面说了
[00090.12-00093.00] 说行政法叫做官管民
[00093.00-00094.44] 但是管你不一定服啊
[00094.44-00095.48] 他外管错了呢
[00095.48-00097.68] 那这个时候你说要明高官呢
[00097.68-00099.80] 那你明高官你高谁
[00099.80-00103.00] 那这个时候你假如要提起行政诉讼
[00103.00-00104.24] 去高这个官的话
[00104.24-00105.36] 你就必须要明确
[00105.36-00106.56] 你高的是谁
[00106.56-00107.76] 那这有情况之下
[00107.76-00110.48] 行政主体其实就解决了什么问题
[00110.48-00113.68] 行政主体其实他从本身上就解决了
[00113.68-00116.12] 行政诉讼当中的什么
[00116.12-00117.04] 被告
[00117.04-00118.72] 所以在这里面带着要注意
[00118.72-00120.00] 行政主体是什么呢
[00120.00-00122.68] 行政主体一般情况就是行政副一当中的
[00122.68-00123.84] 被申请人
[00123.84-00126.20] 还有我们所说的行政诉讼当中
[00126.20-00127.96] 民宝官你告的那个什么
[00127.96-00129.72] 行政诉讼当中的被告
[00129.72-00132.84] 所以了解行政主体是什么
[00132.84-00134.84] 他对于我们学习后面的诉讼法
[00134.84-00136.20] 就非常重要的
[00136.20-00137.20] 一个意义
[00137.20-00140.54] 所以在这里大家先做红官的概念上知道形正主体掏什么用
[00140.54-00145.60] 你就知道形正主体是自己的名义是世界国家形正观的一致呢
[00145.60-00148.60] 并且承担法律后果的国家机关和社会组织
[00148.60-00152.32] 你最起码在这里第一步你要知道民宝官当中的这个官
[00152.32-00155.72] 它不单包括一般情况之下我们认为的雅门口
[00155.72-00157.72] 对吧它也包括一些社会组织
[00157.72-00163.04] 那这是第一个我们从形正主体的概念当中去了解了形正主体是什么
[00163.04-00165.28] 形正主体就是民宝官当中的官
[00165.28-00168.30] 就是官管民黨中的這個官
[00168.30-00169.44] 那我們來看一下
[00169.44-00170.40] 那形容主體呢
[00170.40-00172.40] 他既然包括兩個方面的內容
[00172.40-00172.96] 第一個呢
[00172.96-00174.90] 他包括國家行政局官
[00174.90-00175.64] 那在這裡呢
[00175.64-00179.68] 同學們就需要對國家行政局官有所了解
[00179.68-00181.64] 我們常體到的國家行政局官
[00181.64-00182.32] 大家注意一下
[00182.32-00184.84] 我們要從這三個圍度去掌握他
[00184.84-00186.84] 關行政局官包括三個圍度呢
[00186.84-00188.84] 你在書上做一個簡單的補充
[00188.84-00191.96] 這個概念是一定要掌握的
[00191.96-00193.04] 首先第一個
[00193.04-00197.54] 在国家行政机关当中,我们最常提到的一个就是一般行政机关
[00199.84-00203.78] 就是一般行政机关
[00205.04-00206.54] 就是一般行政机关
[00206.54-00208.44] 一般行政机关指的是什么呢?
[00208.44-00210.94] 就是我们所说的各级政府
[00212.24-00214.54] 也就是我们经常在管理学当中提到的
[00214.54-00217.24] 行政管理当中提到的综合管理部门
[00217.24-00219.04] 对吧,就是我们常提到的政府
[00219.04-00220.84] 而我们国家的政府有几几样
[00220.84-00222.54] 比如说中央最高的几角什么
[00222.54-00223.30] 中央一高一
[00223.56-00225.36] 我起来这把这个试一徒也放在这
[00225.62-00226.68] 头人把这个学好了
[00226.68-00227.90] 你学公文当中
[00227.90-00228.78] 你写公文的时候
[00228.78-00230.80] 它的整体上各个关系
[00230.80-00231.76] 你就搞清楚了
[00232.02-00232.60] 无说了
[00232.70-00234.14] 如果说到一般形狀几个
[00234.14-00234.96] 最高一几的话
