[00000.00-00006.92] 好,那说完了前科的这个文实机之后,我们就来进入到科技革命的时期的学习。
[00006.92-00012.16] 科技革命时期其实是分三次,大家都知道第一次第二次以及第三次的科技革命。
[00012.16-00021.36] 那需要我们掌握的就是每一次科技革命,它发生的大概时间有哪些,第二个就是这一次科技革命之限,它的标志有哪些,
[00021.36-00023.20] 第三个就是要我们去掌握
[00023.20-00027.52] 这一次可以我们之下它的科技发明成就和理论成就有
[00028.52-00031.60] 那些那首先我们来看一下第一次可以的面大多知道
[00031.84-00034.16] 第一次可以的面实期发生在画下
[00034.40-00037.36] 10,8世纪60年代到十有十多年的
[00037.52-00040.56] 他们看到十有十多年代其实是难免
[00041.32-00042.32] 1846年
[00042.52-00044.60] 而1946年对中国来说是什么
[00044.80-00048.80] 对中国来说他其实是近的历史的开端
[00048.80-00050.76] 也就是我们所说的第一次
[00050.76-00052.76] 押骗战争时期
[00052.76-00056.12] 这里面它其实和英国的公寓革命有巨大的关系
[00056.12-00060.52] 大家都知道到了18世纪60年代到12世纪40年代的时候
[00060.52-00064.16] 英国它的生产力发展修理就极大的体生了
[00064.16-00066.12] 它体生的原因只要修两个
[00066.12-00067.08] 第一个就是在这
[00067.08-00069.56] 我们来看一下它有一个标志
[00069.56-00072.08] 第一次公寓革命的标志同的坏下
[00072.08-00074.28] 这裏做真尼仿杀机的发明
[00074.28-00076.44] 同时在真尼仿杀机上面写上
[00076.44-00079.00] 这是第一次公益革命开始的标志
[00081.04-00083.36] 第一次公益革命从什么时候开始
[00083.60-00086.68] 就是从我们所说的征理绊杀机开始
[00086.92-00089.24] 而征理绊杀机很明显放杀
[00089.24-00091.80] 它是处在轻放之公益的对不对
[00092.04-00096.00] 也就是当时我们所说的征理绊杀机的发明者
[00096.00-00097.44] 它就是征理的父亲
[00097.68-00098.84] 征理的父亲
[00098.96-00101.00] 它就是有一个工厂
[00101.00-00102.80] 就是直部绊杀的一个工厂
[00102.80-00104.60] 它这个直部绊杀的工厂
[00104.60-00108.36] 他就想着说,怎么能工厂的效率提升都快一点
[00108.36-00111.52] 就是你值得不多,我说卖了就多,真的钱就可能多一些
[00111.52-00114.48] 所以他真你的父亲叫哈哥李夫斯
[00114.48-00117.40] 哈哥李夫斯,他其实每一天都会去考虑
[00117.40-00119.60] 这个支付,怎么样值得更快
[00119.60-00123.80] 然后有一天他回家的时候,他不小心把他妻子的支付击打翻了
[00123.80-00125.84] 这不击打翻了,之后大家都看到
[00125.84-00129.04] 像欧洲的那边的支付击,比如说税美人
[00129.04-00133.72] 对吧,他里面就说,这个小姑娘找到多少的,所以就被支付击上的房针
[00133.72-00136.08] 炸一下然后就永远承税下去
[00136.24-00137.40] 然后在那个电影里面
[00137.40-00139.48] 它其实给我们展示了那种直部机
[00139.48-00141.48] 那个直部机是下面有一个脚踏板
[00141.48-00144.24] 然后呢车上有一个人之后把那个
[00144.24-00146.28] 那个房杀传刹刮在那个真上
[00146.28-00147.40] 然后有手要鲁儿
[00147.40-00148.84] 然后就不停了一遍不停的踩
[00148.84-00149.96] 它就不停了直部
[00149.96-00152.36] 然后当时呢这个哈哥李夫斯他回家的时候
[00152.36-00154.24] 他把他妻子的直部机打翻了
[00154.24-00155.80] 他发现了一个神奇的现象
[00155.80-00158.24] 这那个直部机的手鲁鲁一直在转
[00158.24-00159.80] 那直部机的手鲁鲁一直在转
[00159.80-00161.88] 就因为人机器一直在直部
[00161.88-00163.86] 于是他又提高了一个大胆的想法
[00163.86-00165.26] 什么想法呢 就是在想
[00165.26-00168.40] 说那我可不可以把这个支部机
[00168.40-00170.84] 于是他所说的支部机上面
[00170.84-00174.60] 如果只有一个啥给你把一个我们所说的那个啥线的话
[00174.60-00175.96] 他的支部效率是一
[00175.96-00178.64] 那我如果在这个支部机上把10个啥线
[00178.64-00181.44] 然后用这个手轮赚动让他去支部
[00181.44-00183.24] 那支部的效率是不是是实啊
[00183.24-00185.24] 于是他又做了一个这样大胆才想
[00185.24-00187.72] 结果去进行改进的时候发现果然
[00187.72-00193.10] 你知不及上面知陷出現場的東西
[00194.12-00198.48] 上面不都是查現場的東西越多
[00198.48-00200.64] 它知不的效率就會越快
[00200.64-00202.82] 從那個時候就開始想
[00202.82-00204.62] 我們要想方釋法提高什麼
[00204.62-00205.64] 生產效率
[00205.64-00207.36] 所以在這裡我們說了第一個點
[00207.36-00208.46] 同标主一下
[00208.46-00211.78] 只針你放下幾公億革命開始的標誌
[00211.78-00213.58] 從秋訪之工業開始
[00213.58-00216.14] 其他的領域也在去探索
[00216.14-00219.82] 也在去探索去提高生产效率的问题
[00219.82-00221.52] 但是在提高生产效率当中
[00221.52-00223.06] 遇到另外一个问题
[00223.06-00225.86] 就是有一些问题是人类可以解决的
[00225.86-00228.16] 比如说刚才我们所说的直部机
[00228.16-00230.64] 直部机就是你掛时刻刷电
[00230.64-00233.54] 也是掛时刻访知的线扯
[00233.54-00235.34] 我刚才画的东西
[00235.34-00236.62] 掛时的线扯
[00236.62-00238.66] 你用人手还能有起来
[00238.66-00240.46] 对吧你就靠着个个位利量就把这个
[00240.46-00241.74] 放下机就有动了嘛
[00241.74-00243.78] 但是如果掛一百个
[00243.78-00248.12] 关于天阁,这种情况之下,你单纯的靠人去搅这个机器
[00248.12-00250.18] 让这些沙纯全都赚起来
[00250.18-00251.20] 可能吗?
[00251.20-00251.72] 不可能
[00251.72-00253.52] 这还只是轻放之工业啊
[00253.52-00256.32] 如果说是在我们所说的工业呢?
[00256.32-00257.74] 我们所说的那种说
[00257.74-00261.96] 轮传、航空、那那种轮传、火车
[00261.96-00262.48] 对吧
[00262.48-00265.16] 或者是这种需要大致量运速的这种情况
[00265.16-00267.84] 你确实是可以通过一些方法提高上的销里
[00267.84-00270.40] 但是如果没有足够动力的话
[00270.40-00272.20] 你这个销里提升就会怎么样
[00272.20-00273.22] 非常地慢
[00273.22-00276.30] 比如说意味者在提高生产消率这种路上
[00276.30-00279.02] 你人自身的力量是不够的
[00279.02-00281.26] 也认说人力是限制了什么
[00281.26-00283.34] 是限制了生产率的提升
[00283.34-00284.42] 那这种情况之下
[00284.42-00287.38] 其实改革最关键的一个因素就在于什么
[00287.38-00289.74] 改革最关键的一个因素就在于
[00289.74-00291.14] 不是你有没有方法
[00291.14-00292.94] 而是你没有足够大的动力
[00292.94-00295.62] 能够让人力从生产当中解放出来
[00295.62-00299.58] 找一个更有力量的东西来替代人力推动生产的发展
[00299.58-00300.74] 于是就了谁
[00300.74-00303.26] 就了马特的蒸汽机
[00303.26-00305.34] 所以蒸汽机的广泛运用是什么呢
[00305.34-00308.78] 同一标注一下是第一次工业革命的主要标志
[00308.78-00310.22] 所以在蒸汽机上面
[00311.06-00312.14] 给他写清楚
[00312.14-00314.50] 它是我们所说的主要标志
[00314.50-00315.98] 原因我刚才也说了
[00315.98-00318.98] 我们所说的科丽革命是从轻放日工业开始
[00318.98-00320.46] 所以它是开始的标志
[00320.46-00322.10] 但是问题就在于
[00322.10-00325.06] 你有没有一个更大的动力可以替代人力提高生产效率
[00325.06-00327.98] 这个时候就有了我们所说的蒸汽机
[00327.98-00329.74] 所以这个点非常重要
[00329.74-00332.10] 考试的时候当时考卫学乡
[00332.10-00335.54] 说第一次工业得面是在亲访之工业开始的
[00335.54-00336.82] 对不对对呀
[00336.82-00338.82] 因为就是真理访杀其他的发明
[00338.82-00343.06] 那第二个就是第一次工业革命的主要动力来自于争计机
[00343.06-00346.26] 所以争计机的应用是主要标志对不对
[00346.26-00346.98] 也对
[00346.98-00348.50] 所以这两个点大助一下
[00348.50-00352.14] 它是细节上的区分非常非常重要
[00352.14-00354.46] 所以在第一次工业革命的概况当中
[00354.46-00356.34] 我们就掌握了两个方面
[00356.34-00362.46] 第一个他大概的时间大家就知道是从18世纪60年代到10月40年代
[00362.46-00367.30] 你要记得在这个时期之内的主要成就又说了他考时期和成就的对应
[00367.30-00372.74] 而我们所说的这个蒸气集他的应用或者说蒸气动力他的一个推广
[00372.74-00376.42] 其实就是让人力得到了进一步的解放
[00376.42-00379.14] 这个时候就有了一个自然自力来替来人力
[00379.14-00380.66] 那生产效率自然就高了
[00380.66-00382.80] 生產小旅高半水的問題是啥呢
[00382.80-00384.90] 半水的問題就是它支出來的部
[00384.90-00386.26] 在國內賣不出去
[00386.26-00388.46] 那支水的部在國內賣不出去
[00388.46-00390.66] 那它就想方式把它把這些部怎麼樣
[00390.66-00391.46] 比小海外
[00391.46-00393.60] 全都能去消爆中國來
[00393.60-00396.16] 結果當時的這個英國來到中國之後
[00396.16-00397.18] 就看人賣它的部
[00397.18-00398.32] 但是它錯了
[00398.32-00399.02] 它錯在哪
[00399.02-00401.02] 這是它這個部咱們買不買
[00401.02-00402.86] 咱們只領部買的看不上
[00402.86-00404.46] 第一個是它機器值得部
[00404.46-00405.56] 那機器值得部
[00405.56-00407.76] 那我們說能高味到哪裡去呢
[00407.76-00408.26] 對吧
[00408.26-00410.62] 那第二個就是中國以前
[00410.62-00412.62] 是自己自足的小龙经济
[00412.62-00414.42] 我自己就是惨不得
[00414.42-00416.62] 你来把不卖给我
[00416.62-00417.66] 那你觉得你卖得出去
[00417.66-00418.62] 卖不出去
[00418.62-00421.42] 反而它来卖不得这个一屠没有实现
[00421.42-00423.22] 但是它在中国的市场当中
[00423.22-00424.50] 买走了很多东西
[00424.50-00426.22] 比如说它买走了很多的此气
[00426.22-00427.22] 它没有见过
[00427.22-00427.58] 对吧
[00427.58-00428.66] 它没有见过此气
[00428.66-00429.34] 长什么样
[00429.34-00430.90] 它没见过私仇长长
[00430.90-00432.94] 在中国的市场上买走了很多东西
[00432.94-00434.70] 结果一盘算下来发现
[00434.70-00435.22] 哇
[00435.22-00436.02] 因为我吃虧了
[00436.02-00437.62] 没在中国赚到钱
[00437.62-00438.70] 对方反而从中国
[00438.70-00439.94] 买走了很多东西
[00439.94-00441.14] 所以當時英國就說
[00441.14-00443.46] 那這種貿易逆差的底位他接受不了
[00443.46-00446.34] 於是當時以美國的議會為主
[00446.34-00448.34] 就是發起了我們所說的事
[00448.34-00449.62] 在中國
[00449.62-00452.94] 原選亞裴亞片的這樣一個心思
[00452.94-00453.94] 就是為了牛轉
[00453.94-00455.22] 他不賺錢的這個場景
[00455.22-00456.82] 後來就把亞片放在中國
[00456.82-00459.06] 殘事的中國人身體
[00459.06-00460.10] 然後在這種情況之下
[00460.10-00461.90] 還讓中國大量白銀
[00461.90-00462.42] 外流
[00462.42-00463.50] 所以才有了
[00463.50-00465.14] 我們所說的紀念運動
[00465.14-00466.50] 才有了後面的地色
[00466.50-00467.26] 亞片真正
[00467.26-00468.74] 所以他這個點是後中國
[00468.74-00470.02] 看他这个时间节点
[00470.02-00471.82] 全是和我们国家的
[00471.82-00473.86] 第一次亚民战争结合在块了
[00473.86-00475.66] 所以这是第一次科技革命
[00475.66-00476.86] 因为第一次科技革命
[00476.86-00477.86] 他的主要动力是
[00477.86-00478.58] 争气动力
[00478.58-00479.94] 所以他还被称的为较作
[00479.94-00481.54] 争气时代
[00482.06-00483.38] 所以这是第一个点
[00483.38-00484.46] 他的基本情况
[00484.46-00485.98] 那了解他基本情况之后
[00485.98-00487.02] 咱们就来看一下
[00487.02-00488.10] 第一次公月革命
[00488.10-00490.34] 他要哪些具体的成就
[00490.34-00491.62] 大致一下他之所以就
[00491.62-00492.82] 科技革命
[00492.82-00493.78] 就科技革命
[00493.78-00494.90] 本身是两个
[00494.90-00497.30] 一个是科学理论革命
[00497.30-00500.14] 一个是我们所说的什么技术革命
[00500.14-00503.42] 所以科学代表的是理论技术代表的就是发明
[00503.42-00505.42] 所以科技就是科学技术
[00505.42-00507.66] 它在这里就把它给我们分开了
[00507.66-00509.50] 我们先来看一下它的技术方面
[00509.50-00511.18] 让它发明方面的成就
[00511.18-00512.94] 在发明方面的成有当中
[00512.94-00514.46] 第一个它提到了就是
[00514.46-00516.14] 蒸气机搭住一下
[00516.14-00518.66] 这个蒸气机身上有一些烤点
[00518.66-00519.78] 烤点是啥呢
[00519.78-00520.74] 同标注意一下
[00520.74-00522.58] 蒸气机标注意一下是
[00522.58-00524.46] 1875年时间不用管
[00524.46-00526.90] 就知道是把特成功的改良
[00526.90-00531.82] 化到这就像是瓦特言之城改良的蒸气机投入工厂使用
[00531.82-00535.54] 而我们刚才说了瓦特改良的蒸气是不是提供了蒸气动力
[00535.54-00539.30] 所以蒸气机它预示着第一次工业革命的星期
[00539.30-00543.74] 我建议同学把第一次工业革命的星期写在前面的标志上
[00543.74-00551.70] 这蒸气机的我们所说的成功方面是第一次工业革命星期
[00551.70-00555.24] 搭住一下,他叫做星期,而不见开始,什么叫星期
[00555.24-00558.88] 星期就是,如雨后春暴,的推广开来
[00558.88-00561.72] 也就是广泛应用的意思
[00561.72-00565.34] 所以在这里他们说的,或者考察的点都是同一个
[00565.34-00567.42] 就是我们所提到的,蒸泣机
[00567.42-00569.50] 所以把特使改良的蒸泣机
[00569.50-00571.86] 把特改良的蒸泣机搭来看一下
[00571.86-00574.32] 这是我给大家展示的土事,这个样子
[00574.32-00577.50] 这个土事的样子,这边有一个高约锅
[00577.50-00579.34] 然后这边的有一个橫着
[00579.34-00581.22] 然后这边有很多的带子,对吧
[00581.22-00583.46] 那它的运行闪到高压锅
[00583.46-00584.94] 它产生的大量的水晶
[00584.94-00586.06] 它下面有水香
[00586.06-00588.90] 水香的水被烧开了之后
[00588.90-00590.34] 如果产生大量的蒸气
[00590.34-00592.82] 蒸气就会推动上面这个很稿运动
[00592.82-00595.66] 很稿运动带子就会拉着这个轮子转动
[00595.66-00597.66] 所以就把我们所说的什么
[00597.66-00600.50] 就把我们所说的蒸气的动力
[00600.50-00603.06] 转化成了机械的动力
[00603.06-00605.06] 所以大家注意下的旁标主一下
[00605.06-00608.14] 又把特改良蒸气机它的一个原理
[00609.02-00610.02] 我们标主一下
[00610.02-00612.02] 是把蒸汽动力
[00614.50-00617.06] 是把中取动力变成了机写进行动力
[00617.06-00618.54] 变成了我们所说的
[00618.54-00620.06] 变成了机写动力
[00621.42-00623.34] 也是我们所说的让它开运作
[00623.34-00625.34] 把蒸汽动力变成了机写动
[00625.34-00626.66] 让机写开运作
[00626.66-00630.54] 这个是我们所提到的一个蒸汽机的原理
[00630.54-00631.34] 大家注意一下
[00631.34-00632.06] 这是在这
[00632.82-00633.78] 这是瓦特
[00633.78-00636.26] 但这里它是成功概量
[00636.26-00638.70] 而不是它延置的低台蒸汽机
[00638.70-00652.60] 另外吧,大主意下,世界上第一台政器接,如果说到政器机的原形方式,话的话呢,是在古西了,有一个人叫做女科门,他那时候搞出来一个气赚球,就是一种政器赚,就是气赚球这个。
[00652.60-00655.72] 然后那个时候就是说
[00655.72-00657.32] 蒸气原来可以做动力
[00657.32-00658.28] 所以大家在这里
[00658.28-00660.00] 你只要记得一个点就行了
[00660.00-00663.60] 就是它是不是第一个人搞出来蒸气气的
[00663.60-00664.20] 就知道吧
[00664.20-00666.28] 特别不是第一个人搞出蒸气气的就行了
[00666.28-00667.56] 所以在这里大家注意一下
[00667.56-00668.92] 这是第一个蒸气气
[00668.92-00671.08] 这个点就非常的实用了
[00671.08-00673.12] 比如我们都知道这个蒸气动力
[00673.12-00674.12] 代替了人力
[00674.12-00675.64] 生产效率及大的提高
[00675.64-00676.64] 很多的东西
[00676.64-00680.24] 就从我们原本的这种想像当中变成现实
[00680.24-00681.78] 有的是在这打住一下
[00681.78-00683.32] 这里面的蒸汽机
[00683.32-00684.58] 蒸汽动力的应用
[00684.58-00686.12] 要哪些变成现实呢
[00686.12-00687.52] 我们就来看一下在这
[00687.52-00689.46] 根据蒸汽机它的原理
[00689.46-00692.08] 我们搞出来了叫做蒸汽机车
[00692.08-00694.08] 这个蒸汽机车就是蒸汽火车
[00694.08-00697.26] 大家看到我在这里给大家展示出来这个图示
[00697.26-00699.44] 那一般请按这种蒸汽机车
[00699.44-00700.98] 它都贸烟的
[00700.98-00701.24] 对吧
[00701.24-00703.44] 这个贸烟其实就是排除的水器
[00703.44-00705.46] 像这种火车运行的时候
[00705.46-00706.40] 它不像现在
[00706.40-00708.40] 我们现在不是总是会挺靠战
[00708.40-00711.28] 但现在挺靠战 就是你哪个战上称哪个战下车
[00711.28-00715.64] 然后它其实就不会有太大的这种需要在外天什么动力的
[00715.64-00720.40] 但是像这种以前的这种 你看像这里给大家展示的车在跑的时候
[00720.40-00723.12] 它是在特定的地点是要加水的
[00723.12-00724.68] 就它不加水它走不了
[00724.68-00726.96] 因为它是以蒸气为动力的
[00726.96-00729.60] 所以蒸气机的第一个方面的应用
[00729.60-00730.76] 同时一掉住一下
[00730.76-00734.44] 蒸气机第一方面的应用就是蒸气机车
[00734.44-00737.44] 如果在这个蒸气机车当中两个点大住一下
[00737.44-00739.44] 第一個點同標準下圈一
[00740.04-00741.44] 叫做特理維西克
[00741.64-00742.84] 特理維西克
[00742.84-00744.40] 它是發明了世界上
[00744.40-00746.28] 壞下世界上逼台
[00746.44-00747.44] 整體機車
[00747.44-00749.16] 但是特理維西克這個整體機車
[00749.16-00749.92] 用不了
[00749.92-00750.92] 啥用不了呢
[00750.92-00752.56] 這才只能跑一跑
[00752.56-00753.84] 但是跑起來
[00753.84-00756.08] 它的跑量不特就跑不動了
[00756.08-00757.76] 這是它也拉不了什麼東西
[00757.76-00758.56] 還跑不動了
[00758.56-00760.00] 只不過就是驗證了說
[00760.00-00762.32] 這個整體可以推動車行實而已
[00762.32-00764.32] 所以它搞出來是世界上逼台
[00764.32-00765.24] 整體機車
[00765.24-00767.60] 但这个蒸气机车没有办法投入了使用
[00767.60-00771.40] 比如说现在我要在这个框山上去拉一些框石
[00771.40-00772.60] 这蒸机车拉不了
[00772.60-00773.64] 把它跑不了几步
