[00000.00-00005.12] 好的,我们接着来学习,第二节的内容,咱们做一个简单的红官回顾
[00005.12-00029.48] 咱们说了,在整个迷发点当中的河通边,它分成三个分边,第一分边是河通的通责,那在河通的通责当中,我们在第一节当中的第一个到第四个大问题当中,给大家去讲了,通责的内容,我们讲了河通的喊异,对不对,但是喊异,它不是一个非常重要的考虑,然后我们讲了河通的定力,定力分成两步众,第一个是发出要约,
[00029.48-00032.40] 在这里面我们叫做分青要乐和要乐邮请
[00032.40-00035.04] 第二步就是要乐人发出要言
[00035.04-00038.24] 是要人受要乐人叫做出承诺
[00038.24-00042.56] 所以这两步完成之后承诺生效合同成立
[00042.56-00044.28] 那么除了讲合同的
[00045.08-00046.92] 病例之外我们还给大家讲了
[00046.92-00049.20] 我们所说的合同全力武关系的
[00049.20-00051.04] 终止或者是消灭
[00051.04-00053.36] 在全力武关系终止和消灭当中
[00053.36-00055.12] 我们讲了好几种情况
[00055.12-00056.64] 比如说像提存
[00056.64-00058.48] 比如说像底销
[00058.48-00062.32] 想清朝清朝當中我們特別給大家強調了待務清朝
[00062.32-00065.92] 對吧又或者我們給大家去講到了面出混同
[00065.92-00069.36] 當然最重要的我們講到了一個叫做解除
[00069.36-00073.84] 所以在那個解除當中我們給大家講的法定解除權這是一個重點
[00073.84-00076.24] 那講完合同裝置之後我們還說了
[00076.24-00079.36] 如果在合同旅行過程當中有一方當時
[00079.36-00082.88] 他不按照合同去辦事那他就會設一道委員
[00082.88-00084.84] 所以我們在這裡還有給大家講的叫做
[00084.84-00095.84] 每月昨日,在每月昨日当中主要给大家讲了两个电,一个就是定金,一个就是每月金,大家知道定金和每元金不能同时释用。
[00095.84-00101.84] 每月金,它可以根据司法进行调整,咱们讲的三种情况,对吧?
[00101.84-00112.84] 而定金,而定金,我们给大家讲了一个叫做定金法子,所以在这里,大家注意一下,这是我们所说的叫做通责。
[00112.84-00114.84] 那河通边除了痛者之外呢
[00115.84-00118.64] 我们在这里还有叫做点心河通
[00119.04-00121.48] 点心河通一共是19个大内
[00121.48-00124.72] 但是我们出于复极的角度来考量呢
[00124.92-00127.28] 并不会把19内的河通都给它去讲一遍
[00127.28-00129.28] 我们把这19个大内当中
