[00000.00-00002.82] 那无全变弄的基本规则咱们说了
[00002.82-00005.64] 咱们就把整个大的原则就在这里
[00005.64-00006.64] 说清楚了
[00006.64-00008.96] 但是刚才都给大家写了一个公事
[00008.96-00010.50] 我不知道大家还记不记得
[00010.50-00011.40] 来看一下
[00011.40-00012.68] 目前翻一翻
[00012.68-00014.60] 咱们刚才这个公事在这了
[00014.60-00015.36] 看一下
[00015.36-00018.18] 无说了想要对于我们所说的这个
[00018.18-00019.46] 不动产
[00019.46-00021.64] 或者是我们所说的这个动产
[00021.64-00023.32] 它小发生无全变弄的话
[00023.32-00023.80] 有说了
[00023.80-00025.36] 要有全处分
[00025.36-00027.64] 加有效核同家公事
[00027.64-00029.74] 公式就是登记或者是交付
[00029.74-00030.74] 等于武权变动
[00030.74-00033.02] 等于什么 等于技术区的
[00033.02-00035.78] 这里面是不是出现了一个词叫做技术区的
[00035.78-00040.70] 技术区的 它其实是所有权取得的一种方式
[00040.70-00042.74] 除了有技术区的之外
[00042.74-00044.66] 所有权还有哪些区的方式呢
[00044.66-00046.74] 我们来看一下第二个大的问题
[00046.74-00048.62] 叫做所有权的区的
[00048.62-00051.18] 所有权的区的在这里面它分两种
[00051.18-00055.42] 一种在这叫做原始区的
[00055.42-00057.02] 叫做原始区的
[00057.02-00061.02] 还一种就叫做技术区的原始区的说的是啥
[00061.02-00065.66] 叫做非一他人基存的权力而取得物的所权
[00065.66-00067.02] 也就是说你是第一手
[00067.02-00070.22] 你就是从第一手突然就来到你的手里了
[00070.22-00070.62] 对吧
[00070.62-00073.98] 这有时候你不需要一他人的基存的权力
[00073.98-00076.46] 获得这种就叫做原始区的
[00076.46-00077.74] 而技术区的是什么
[00077.74-00080.50] 是基于他人基存的所权
[00080.50-00082.74] 取得所权就基存区的
[00082.74-00084.78] 比如说刚才那个技术区的的公式
[00084.78-00085.82] 我在寫辨啊
[00085.98-00087.34] 就取得的公式说什么
[00087.34-00088.90] 就有效处分
[00091.38-00093.54] 不知道有效处的交由权处分啊
[00094.38-00096.14] 叫做有权处分
[00096.14-00097.90] 这个有权处分你不用特殊被
[00097.90-00098.74] 按机后面
[00098.74-00101.82] 就要有权处分加有效合同
[00103.66-00104.70] 加公式
[00104.94-00106.58] 等于误权辨弄
[00106.58-00107.58] 等于机说去的
[00107.58-00110.30] 也设在这里面你必须有一个有效的合同
[00110.30-00111.86] 这个合同是基于什么
[00111.86-00113.10] 这个合同的签手
[00113.10-00115.10] 就是基于他人基存的权利
[00115.10-00117.70] 如果他在这个房屋上都没有权利
[00117.70-00120.00] 他都卖的不是自己的房子
[00120.00-00122.10] 这时候他能教有权除分吗
[00122.10-00122.70] 不能了
[00122.70-00125.30] 这时候能不能基础取得房屋不行
[00125.30-00126.00] 明白了吧
[00126.00-00128.30] 所以你看这里面的奶奶和同的签计
[00128.30-00130.30] 其实就是有效和同的签数
[00130.30-00132.00] 也就是基于他人基存的权利
[00132.00-00133.70] 那这种取得就叫做什么
[00133.70-00134.70] 基础取得
[00134.70-00137.30] 然后基础取得相对应的另外一种取得方式
[00137.30-00139.60] 就叫做原视取得
[00139.60-00143.28] 原始取得是不基于他人基层的权力而取得到
[00143.28-00146.16] 这里面最为常见的就是善意取得
[00146.16-00150.48] 而考试的时候就特别喜欢考察善意取得
[00150.48-00153.96] 所以我们来看一下善意取得它到底是怎么回事
[00153.96-00156.00] 我们经常也听到善意取得
[00156.00-00158.80] 善意取得它在这里面给到了一个观念
[00158.80-00160.12] 给到了一个概念
[00160.12-00162.44] 它说善意取得说是指
[00162.44-00165.84] 受让人以财下搜据转移为目的
[00165.84-00170.44] 善意对价 受让战友该财产
[00170.44-00173.24] 说即使创人无权转移
[00173.24-00176.84] 我叫无转租权的权力 少人揉货得所权
[00176.84-00179.16] 老实他在的俄乐的半天套干啥
[00179.16-00180.56] 其实是这样的同学们
[00180.56-00182.40] 咱们刚才在这里面提到了说
[00182.40-00185.20] 计刷取得他的前提是有权处分
[00185.20-00186.56] 加油小河通查公司
[00186.56-00188.56] 有的是这个东西 是你的
[00188.56-00191.00] 你送人的东西 是你自己的
[00191.00-00193.12] 你买卖的东西也是你自己的
[00193.12-00195.94] 这说你卖自己东西送自己东西都叫做什么
[00195.94-00196.96] 又全处分
[00196.96-00198.24] 那总有一些人呢
[00198.24-00200.04] 他的脑回路就叫清起
[00200.04-00200.80] 他干了呢
[00200.80-00202.34] 他卖的东西
[00202.34-00203.62] 不是他自己的
[00203.62-00206.18] 那这个时候他把不是他自己的东西
[00206.18-00207.20] 卖给了我
[00207.20-00210.02] 那我到底能不能去的这个东西的搜钱呢
[00210.02-00212.32] 那这里面就会睡到另外一个问题就要什么
[00212.32-00214.12] 就要做善意去的
[00214.12-00217.18] 刚才我们讲的这个机受去的大的大前提示
[00217.18-00219.22] 又全处分加油消贺头
[00219.22-00220.52] 有东西是你的
[00220.52-00223.40] 你往来卖,那这个时候我就可以技术去的
[00223.40-00227.12] 然后加最后的登记或者是交付取得所权
[00227.12-00229.28] 现在卖的东西如果不是你自己的呢
[00229.28-00231.88] 或者你往来出租的东西不是你自己的呢
[00231.88-00233.12] 那这个时候就要看
[00233.12-00235.52] 農府使用约善意取得制度
[00235.52-00237.36] 那这里面什么叫善意取得呢
[00237.36-00238.48] 咱们这么去记
[00238.48-00241.00] 我们在考试的时候这个点他是一个重点
[00241.00-00245.60] 经常会考察他是否说我们所说的善意取得
[00245.60-00247.60] 那你就要把他透进去
[00247.60-00249.60] 也就是它问是不是山一区的的时候
[00249.60-00251.52] 要把这几个点全都套进去
[00251.52-00252.32] 明白了吧
[00252.32-00254.72] 神帝一个大家在这里标注一下
[00254.72-00256.88] 山一区的它一个大前提
[00256.88-00257.84] 大家注意一下
[00257.84-00260.84] 山一区的前提一定是无权处份
[00260.84-00262.40] 这个点非常重要
[00262.40-00263.12] 明白吧
[00263.12-00264.20] 什么叫无权处份
[00264.20-00265.40] 通知在旁边写上
[00265.40-00266.92] 所谓的无权处份
[00266.92-00267.80] 在旁边标注一下
[00267.80-00268.76] 就是你
[00268.76-00270.80] 买卖不是自己东西
[00270.80-00271.76] 就是你处份
[00271.76-00273.66] 他人的东西就叫做
[00273.66-00274.84] 无权处份
[00274.84-00275.88] 你要卖自己东西
[00275.88-00277.04] 你就叫有权处份了
[00277.04-00279.04] 所以在这里面同一标主一下
[00279.64-00284.04] 上一区的上一区的大前提就是无权处分
[00284.04-00286.04] 无权处分在旁边写上叫做
[00286.84-00289.04] 以自己的名义处分他人才产
[00290.64-00293.64] 这是一个提案当中的非常照顾提示此
[00293.94-00295.44] 叫以自己的名义
[00297.24-00299.84] 处分他人的财产
[00304.04-00306.64] 叫以自己的名义处分他人才产
[00306.64-00308.64] 这个就叫做善意去的
[00308.64-00312.44] 比如说这个时候就会出现联会套
[00312.44-00313.76] 啥的联会套呢
[00313.76-00316.44] 比如说现在有这么几个人
[00316.44-00317.72] 一个是小A
[00317.72-00321.56] 小A把自己价值20万的掉质
[00322.56-00325.32] 育质20万的育质
[00325.32-00326.84] 交给小B干嘛呢
[00326.84-00328.28] 交给小B保管
[00328.28-00330.88] 因为小A这一天要出去打几三
[00330.88-00333.24] 那扼了20万一挺心头的
[00333.24-00334.80] 他交给小B保管
[00334.80-00335.76] 跟小B说
[00335.76-00337.44] 我这个玉装的加值20万
[00337.44-00338.72] 你帮我保管一下
[00338.72-00339.84] 保管完了之后
[00339.84-00340.84] 过几天
[00340.84-00342.80] 然后我打给你在我家会立场你拿
[00342.80-00343.92] 小闭一说那行
[00343.92-00344.80] 对我咱这关系
[00344.80-00345.48] 去去二什么
[00345.48-00347.00] 帮你保存没问题
[00347.00-00348.64] 然后结果正好感上
[00348.64-00350.60] 这样天小闭看这个调整
[00350.60-00351.72] 真好看
[00351.72-00353.84] 而且像小闭这个手也缺钱
[00353.84-00356.16] 于是小闭就满着小闭
[00356.16-00358.32] 把这个20万的这个调整
[00358.32-00358.88] 干吗呢
[00358.88-00359.40] 你看
[00359.40-00360.48] 叫做一夜
[00360.48-00362.12] 自己的名义
[00364.36-00365.60] 以自己的名义
[00365.60-00366.64] 出賣了
[00366.64-00368.00] 賣給了誰呢
[00368.00-00369.88] 出賣給了小C
[00369.88-00371.88] 然後多少錢呢
[00371.88-00374.04] 還是中間上賺了個差件
[00374.04-00376.24] 賣了2500萬塊錢
[00376.24-00378.40] 並且有了這2500萬之後
[00378.40-00380.88] 還把這個玉柱交付給了
[00380.88-00382.88] 一手交給手交貨了
[00382.88-00384.60] 還把這個玉柱交付給了小C
[00384.60-00386.60] 這時候問題就出在小C身上
[00386.60-00391.08] 小C它現在能不能是這個玉柱的所有全人
[00391.08-00393.60] 如果小C是玉柱的所有全人的話
[00393.60-00395.08] 那这里小A该怎么办呢
[00395.28-00395.48] 对吧
[00395.48-00398.16] 那这里面其实就说有一道叫做山一区的制度的
[00398.44-00400.20] 那我说了山一区的制度的前提
[00400.20-00401.56] 它一定是无权处分
[00401.76-00404.56] 而无权处分就是刚才我在案例当中给大家说的
[00405.64-00406.40] 看在这里
[00406.88-00410.00] 小BIE自己的名义出卖了谁
[00410.00-00411.28] 小A的语准
[00411.28-00413.80] 他跟人小C说说你看我这个人拼拼物器
[00413.80-00414.08] 对吧
[00414.08-00415.40] 就是家里的货度
[00415.68-00416.72] 这一日咱要呢
[00417.00-00418.92] 这个小C就是玩呀
[00419.08-00420.48] 这个种事他也不错了
[00420.48-00422.24] 他也帮了他也漂亮了对吧
[00422.24-00424.40] 哎呀我太喜欢了那小鲁说
[00424.40-00425.28] 喜欢的话
[00425.28-00427.80] 卖给你了有秦家25万
[00427.80-00430.40] 我自己的东西我看家的朋友上卖给你
[00430.40-00431.72] 那小姐说OK
[00431.72-00432.68] no problem
[00432.68-00434.96] 那你看在这里面其实就是小鲁干嘛
[00434.96-00438.36] 它是以自己的名义出卖了小鲁的东西
[00438.36-00440.16] 这种说小鲁就过程什么
[00440.16-00441.56] 小鲁就过程了
[00441.56-00443.88] 第一个大线急就要做无权处分
