[00000.00-00002.82] 好的 小伙伴们讲完了
[00002.82-00004.34] 新思想的总认之后
[00004.34-00007.16] 今天来进入到新思想的分论的学写
[00007.16-00009.22] 分论要给大家讲三个方面内容
[00009.22-00010.74] 第一个就要给大家讲讲
[00010.74-00012.54] 5A体的总体不局
[00012.54-00015.36] 第二个呢要给大家讲讲四个全面的战略不局
[00015.36-00016.38] 最后一个点
[00016.38-00018.70] 我们小实现中华民族的伟大夫星
[00018.70-00021.00] 需要哪些重要的条件作为保障
[00021.00-00022.52] 首先先来看一下
[00022.52-00025.34] 第一个部分就是5A体的总体不局
[00025.34-00027.90] 请说到5A体的总体不局的话
[00027.90-00029.44] 大家其实应该明确
[00029.44-00031.62] 就是我们天天提到的哪五个方面
[00031.62-00034.82] 叫做经济政治文化社会生态
[00034.82-00038.14] 今天来来来我们就要从这五个方面去详细的去看一看
[00038.14-00040.22] 在整个实现中华民族的伟答
[00040.22-00041.54] 浮行的进程当中
[00041.54-00044.78] 这五个方面分别提到了哪些具体的要求
[00044.78-00046.90] 那么首先先来看一下第一个内容吧
[00046.90-00048.86] 就是实现经济高质量发展
[00048.86-00051.10] 来聊一聊在经济发展方面
[00051.10-00052.94] 有关于新思想的要求
[00052.94-00055.14] 其实有关于实现经济高质量发展
[00055.14-00057.38] 在经济方面的大部分的内容
[00057.38-00059.12] 或者是绝大部分内容
[00059.12-00061.16] 我们在前面就一搭去讲
[00061.16-00064.00] 说总论10个明确当中
[00064.00-00065.50] 都给大家提到过
[00065.50-00068.86] 接下来我们主要是以书里框架的形式
[00068.86-00071.92] 把这个部分内容在同学们去进行一个回顾
[00071.92-00075.30] 同时把这里面所涉及到的相应的这样一个
[00075.30-00076.30] 这是点
[00076.30-00078.54] 和前面去进行一个连通
[00078.54-00081.44] 在这最重要的就是需要同学们去做到
[00081.44-00083.48] 能够连通前面的10个明确
[00083.48-00087.82] 大家见有关于实现经济高制发展的国际框架
[00088.60-00091.92] 我们来回到实现经济高制发展的画体当中来
[00092.18-00094.08] 实现经济高制发展
