[00000.00-00003.08] 好了 那我们接着 把下看 俗话说了 好啊
[00003.08-00006.04] 官门能够官门过 同一门坚持了这么久
[00006.04-00010.52] 咱们把刑法说完了 咱们还剩下刑法总论当中的最后一个内容
[00010.52-00013.64] 就叫做亮刑 那什么是亮刑呢
[00013.64-00015.80] 我们之前给大家说过 这是如果
[00015.80-00020.96] 我真的够成了杀人 道歉 抢节等等这些最想
[00020.96-00023.24] 那我要不要考虑一些其他的一些情况
[00023.24-00028.28] 在刑事处罚上给我一些从重从清简行面出处罚的清简
[00028.28-00030.28] 我們把這些從重從輕
[00030.28-00032.62] 簡傾面除的這些處罰的清甲
[00032.62-00034.92] 稱之為叫做亮形清潔
[00034.92-00036.36] 亮形其實當中
[00036.36-00037.96] 我們要給大家去講的一些內容
[00037.96-00041.08] 包括第一個就是我們要考慮到的亮形就是
[00041.08-00042.20] 雷飯
[00042.20-00043.64] 什麼叫做雷飯呢?
[00044.28-00046.28] 大家在這裡注意一下它有一個概念
[00046.28-00048.68] 它說雷飯是因飯罪
[00048.68-00051.40] 是因飯罪而數過一定形式處罰
[00051.40-00053.88] 而在形式處罰執行完畢或設備以後
[00053.88-00055.88] 在法定期限之內又犯罪到
[00055.88-00058.04] 那这种情况这被成为雷范
[00058.04-00060.36] 比如说我杀了狗大
[00060.36-00060.68] 对吧
[00060.68-00061.88] 我有狗大前男有嘛
[00061.88-00064.28] 我杀了狗大被判处了三年有期出行
[00064.28-00066.12] 三年有期出行被放出来之后
[00066.12-00068.12] 第二年我又去把狗大的哥哥
[00068.12-00069.56] 狗上给干掉了
[00069.56-00070.52] 那这种情况之下
[00070.52-00071.88] 你看我是说又在
[00072.04-00073.48] 刑法执行完毕的
[00073.48-00075.32] 一定有期限制内又犯了一个罪
[00075.32-00077.32] 那这个时候我就可以过程什么
[00077.32-00077.88] 雷范
[00077.88-00078.92] 那同一个来看一下你
[00078.92-00080.36] 初于主观上的中感觉
[00080.36-00082.04] 就有雷范应该叛的中一点
[00082.04-00083.08] 还是叛的清一点
[00083.08-00086.04] 雷飯只應該是判都要怎麼樣
[00086.04-00087.20] 稍微重一些
[00087.20-00089.58] 因為我這個怎麼說的
[00089.58-00090.84] 從某種程度來看我的
[00090.84-00093.04] 社會危害性程度是非常高的
[00093.04-00093.32] 對吧
[00093.32-00095.92] 所以在這裡面我們說了成立的是雷飯
[00095.92-00097.56] 所以這個地方大家注意
[00097.56-00099.44] 雷飯它分成兩種情況
[00099.44-00100.52] 一種是一般雷飯
[00100.52-00101.80] 一種是特別雷飯
[00101.80-00103.64] 而在雷飯這個地方烤的時候
[00103.64-00104.88] 就烤啥這個店
[00104.88-00105.80] 給你一干利
[00105.80-00106.68] 讓我們去判斷
[00106.68-00109.00] 它是屬於一般雷飯還是特別雷飯
[00109.00-00110.64] 然後在這個時候
[00110.64-00113.68] 可能会在里当中把他的所有的条件都给你表数一遍
[00113.68-00114.52] 直接低着情况
[00114.52-00116.40] 那第二任情况就是在这个地方
[00116.40-00119.48] 然后去把一般的反彩特别累犯的条件
[00119.48-00120.44] 进行一个对比
[00120.44-00121.76] 所以在这里还有两种考察
[00121.76-00122.56] 第一个考案例
[00122.56-00124.20] 问是一般还是特别压
[00124.20-00127.36] 第二个就是考一般的反彩特别累犯的条件
[00127.36-00129.64] 对比这两个点大家要注意一下
[00129.64-00132.04] 这是它整体的一个考察方式
[00132.04-00133.40] 那我们先来看一下第一个
[00133.40-00134.80] 就是一般累犯
[00134.80-00136.48] 一般累犯才在这里说了
[00136.48-00139.76] 说是指被判除有期图形以伤的犯罪
[00139.76-00147.76] 形容法之间玩弊或设美后在五年内再犯英当判处有去图形以上犯罪的这些犯罪分子
[00147.96-00149.92] 那他就成立什么一般累犯
[00150.04-00152.92] 其实这个概念相对来说你看文字就能看得懂
[00152.92-00156.48] 咱们主要是通过概念来拆解一般累犯的过程要件
[00156.68-00158.12] 全第一个大家注意一下
[00158.24-00159.72] 一般累犯他的过程要件
[00159.72-00161.24] 第一个就是他的最过要件
[00161.24-00162.72] 比如他主观条件上
[00162.88-00166.12] 要求他的钱最后罪必须都是什么
[00166.32-00168.96] 必须都是故意犯罪才能成立累犯
[00168.96-00171.76] 因為雷飯他要從重處罰的
[00171.76-00172.96] 對,那從重處罰
[00172.96-00175.96] 今天應該去考慮他的主觀方便
[00175.96-00176.96] 他的心理狀態
[00176.96-00179.56] 那你覺得什麼樣的心理狀態才能夠重重?
[00180.36-00181.96] 這都是故意而不是什麼?
[00181.96-00182.96] 我是,對吧
[00182.96-00184.96] 所以在前最口後最當重要
[00184.96-00187.56] 他的主觀要界都必須是什麼?
[00187.56-00189.96] 故意反對,前後最都是
[00189.96-00192.16] 比如說,我呢因為殺了狗大
[00192.16-00194.56] 被判處了七年五年有趣圖形吧
[00194.56-00196.56] 那我這時候被判處有年有趣圖形
[00196.56-00198.04] 有年募去图行
[00198.04-00200.08] 直情完畢之後我被犯出來了
[00200.08-00202.72] 我一看到外面的日星月一的變化
[00202.72-00205.64] 我的心我這整個人的狀態都好了
[00205.64-00208.80] 我就是歷史為爹要重新做人
[00208.80-00210.52] 我就開著我的車
[00210.52-00211.48] 然後就走在路上
[00211.48-00213.72] 改秀世界變化一發展
[00213.72-00216.32] 結果在開車的時候不小心撞死了人
[00216.32-00218.28] 那這首我是什麼犯罪
[00218.28-00219.72] 我是過失犯罪
[00219.72-00222.56] 我過失犯罪我能不能成立累犯的
[00222.56-00223.16] 不能
[00223.16-00224.28] 所以在這裡大家主下
[00224.28-00225.76] 前後最多必須是什麼
[00225.76-00227.30] 故意反罪這是第一個
[00227.30-00230.64] 第二個條件的就是前後最必須都是應該被判除
[00230.64-00232.66] 有期徒刑以上的刑法
[00232.66-00234.52] 所以在這裡第二是刑法條件
[00234.52-00238.18] 就是前後最必須都是有期徒刑以上
[00238.18-00239.44] 比如說
[00239.44-00242.40] 如果在這個時候我還是因為殺了誰 夠大
[00242.40-00244.96] 我殺了過大之後我被判除5年有期徒刑
[00244.96-00247.46] 然後被放出來之後我開始怎麼樣
[00247.46-00249.30] 我出來還是開車但是我怎麼樣
[00249.30-00250.34] 危險駕駛
[00250.34-00251.72] 我危險駕駛
[00251.72-00254.96] 我的危險駕駛最最高的刑器是居一
[00254.96-00258.04] 那這種情況下我能夠潛罪後罪過程累飯
[00258.04-00258.54] 不行
[00258.54-00261.10] 因為他說了前後罪必須被判主的是
[00261.10-00263.16] 有期徒先以上的興法
[00263.16-00265.70] 第二個在第三個呢就在這裡
[00265.70-00267.00] 他有一個時間條件
[00267.00-00268.78] 就是我們所說的累飯
[00268.78-00274.92] 他必須是在潛罪行法執行完畢之後的五年內大住一下
[00274.92-00276.98] 累飯他的行程確實有條件的
[00276.98-00278.52] 就是必須要求是
[00278.52-00280.30] 之前的行法執行完畢
[00280.30-00282.34] 就是五論是一般累飯還是特殊累飯
[00282.34-00283.12] 只要是累飯
[00283.12-00285.84] 他的一个大前提就是行法執行完毕
[00287.34-00291.04] 那大前提是行法執行完毕之后
[00295.92-00297.20] 行法執行完毕之后
[00297.40-00299.92] 那第三个呢就时间条件就是前后罪
[00300.04-00303.12] 我们所说的坚格在行法執行完毕之后是五年
[00303.28-00306.68] 那他最后一个呢就是年龄条件就是如果想过成了一份
[00306.80-00311.16] 在这里面他的前罪头后罪都必须要求年满18中岁
[00311.16-00314.04] 所以在这里面如果符合这四个条件的话
