[00000.00-00006.26] 好,那我們還剩生物醫學長時當中的最後一部分,就是生活中的醫學長時
[00006.26-00010.54] 這些醫學長時,他在考試的時候會注重考察一些細節
[00010.54-00014.78] 那這些細節呢是需要我們在講解過程當中,去外言出去的
[00014.78-00020.60] 那其實生活中的醫學長時,他不僅對於我們用事有一定的幫助,其實對於我們日常的生活
[00020.60-00025.24] 也會有很大的這樣一個幫助,那我們就主義來看一下在生活當中遇到這些
[00025.24-00028.18] 急救的這種情況或是這種突發狀況
[00028.18-00029.40] 我們應該如何應對
[00029.40-00031.36] 全第一個就是礦商
[00031.36-00033.16] 在礦商其實是在家
[00033.16-00035.14] 比較長遇到的一種事情
[00035.14-00036.60] 比如說在做飯
[00036.60-00038.20] 不小心就可能會被燙到
[00038.20-00040.80] 那這個時候眼中的話就可能會造成礦商
[00040.80-00042.40] 那如果一旦發生礦商的話
[00042.40-00043.60] 首先第一個你怎麼辦
[00043.60-00044.50] 同時不要注意下
[00044.50-00045.40] 想上圈一
[00045.40-00047.88] 第一個就必須要用兩水充洗
[00047.88-00048.96] 但是大家注意下
[00048.96-00051.20] 這個礦商之後用兩水充洗
[00051.20-00052.96] 它其實對水溫有一定的要求
[00052.96-00054.28] 在這裡不要注意
[00054.28-00057.64] 要用20射速度左右的凉水进行冲锡
[00057.64-00060.16] 那温度太高和太低都不行
[00060.16-00062.04] 尤其是温度太低是不行的
[00062.04-00063.96] 所以在这里大家先标准一下
[00063.96-00065.24] 20射速度左右的凉水
[00065.24-00066.52] 那冲锡的时间
[00066.52-00067.80] 我们再旁边写一下
[00067.80-00069.00] 冲锡的时间
[00069.00-00071.92] 其实在考试当中会出现两种情况
[00071.92-00073.00] 一般情况之下
[00073.00-00076.52] 我们认为冲锡的时间是15到30分钟左右
[00076.52-00077.92] 这是第一种情况
[00077.92-00078.76] 第二种情况
[00078.76-00081.08] 它说了这是冲锡15分钟左右
[00081.08-00084.30] 那这里面它在充体数分钟左右的时候
[00084.30-00085.60] 它后面会加上一句话
[00085.60-00087.10] 这是充体到什么程度呢
[00087.10-00089.34] 就是不再会有同通感
[00089.34-00091.08] 我们就可以停下来了
[00091.08-00092.34] 这是充体到
[00095.74-00096.84] 无通感是
[00100.66-00101.82] 那这种情况之下呢
[00101.82-00103.22] 就可以不用继续充体了
[00103.22-00103.94] 这两种呢
[00103.94-00106.42] 其实在考试的选项当中都出现过
[00106.42-00108.82] 所以同什么稍微注意下它的充体的时间
[00108.82-00111.90] 只是第一個二艘速度左右的兩水充席
[00111.90-00113.62] 那既然一對水溫體了要求
[00113.62-00114.82] 那在這裡面就意味著
[00114.82-00116.98] 它能不能用冰塊來進行冰服
[00116.98-00118.14] 全二不要注意下
[00118.14-00120.34] 是不能用冰塊進行冰服的
[00120.34-00122.18] 大家都知道碳傷的這個部位
[00122.18-00124.90] 已經受傷了組織相當來說比較脆弱
[00124.90-00127.18] 如果現在用冰塊冰服的話
[00127.18-00128.82] 一方面好容易產生動傷
[00128.82-00130.30] 另一方面如果嚴重的話
[00130.30-00132.10] 這塊組織可能就會壞死了
[00132.10-00134.74] 所以在這裡就不可用冰塊冰服
[00134.74-00136.10] 所以這是第二個點
[00136.10-00137.10] 大家要注意下
[00137.10-00139.10] 那有凉水充洗的目的是什么呢
[00139.10-00141.70] 大家也知道凉水充洗的目的是要种痛
[00141.70-00142.70] 就是要指痛
[00142.70-00144.78] 因为在被汤商之后的这个地方
[00144.78-00146.50] 它会出现种张的情况
[00146.50-00147.70] 那有凉水充洗
[00147.70-00149.10] 我们都知道热炸冷酥
[00149.10-00151.10] 它其实一方面起到指痛的作用
