[00000.00-00007.68] 好,我们接下来看一下第3个问题,就是我们所说的这个犯罪,他在时间上的这样一个状态
[00007.68-00016.20] 我们犯罪的时间上的状态其实从大体上来分,他其实是两种形态,也就是我们所说的犯罪的两种终局形态
[00016.20-00024.92] 第一种终局形态就是我们所说的他的完成形态,只是犯罪已经实行中了产生了,你想要追求的那个效果
[00024.92-00027.48] 这个时候就叫做犯罪的完成形态
[00027.48-00028.92] 我们把它称着位叫做犯罪
[00028.92-00029.80] 计随
[00029.80-00032.76] 那还一种形态叫做犯罪的未完成形态
[00032.76-00034.52] 就是在计随之前
[00034.52-00036.04] 我们不是从这开始
[00036.04-00037.56] 我小要准备实施犯罪
[00037.56-00039.08] 到我桌手去犯罪
[00039.08-00042.44] 然后最后在到我们所说的犯罪结果的呈现
[00042.44-00044.44] 那在犯罪结果出现之前
[00044.44-00045.80] 你已经开始是犯罪了
[00045.80-00046.68] 那这个时候
[00046.68-00050.76] 我们所说的这个犯罪形态称着位叫做未完成形态
[00050.76-00052.04] 犯罪的未完成形态
[00052.04-00054.44] 包括三种第一种叫犯罪一辈
[00054.44-00057.20] 第二个分析宗旨第三种叫犯罪 未睡
[00057.20-00058.80] 如果从时间上来看的话
[00058.80-00060.92] 咱们可以换一个时间分布图
[00060.92-00062.96] 如果在这个点上
[00062.96-00064.04] 说我们所说的
[00064.04-00067.36] 你想要追求的犯罪的结果已经发生了
[00067.36-00070.52] 这个时候就叫做犯罪结果发生
[00070.52-00071.92] 犯罪结果发生我们说了
[00071.92-00075.96] 这个时候你的犯罪已经完完全的完成宗料了
[00075.96-00076.48] 对不对
[00076.48-00080.80] 这个时候我们把这个状态成绩的状态状态的替罪
[00080.80-00083.04] 把它你可以在这个地方换一个图
[00083.04-00084.92] 他就清晰了,照憤罪的季水
[00084.92-00086.32] 但是我们说了
[00086.32-00089.60] 这个是你想要达到你想要追求的憤罪结果
[00089.60-00091.68] 比如说我想去杀一个人
[00091.68-00093.28] 我把这个人杀死了
[00093.28-00095.60] 这个时候我想追求的那个结果
[00095.60-00096.60] 是不是就出现了
[00096.60-00098.80] 这种情况之下,照做季水
[00098.80-00100.80] 又比如说,我小了去道歉
[00100.80-00103.72] 我想去道歉一个人的钱包
[00103.72-00106.40] 我把钱包托到手,说犯罪结果
[00106.40-00107.36] 扯进出来了
[00107.36-00110.04] 我小追求的那个憤罪结果出现了
