[00000.00-00004.72] 那我们再来看一下第二个有没有给大家讲解的犯罪就是新卡差骗罪
[00004.72-00008.96] 那我们首先来看一下在定义上我们如何去定义新卡差骗的
[00008.96-00012.92] 它说新卡差骗罪是指引也非法战友为目的
[00012.92-00015.88] 为反新卡管理法官利用新卡进行
[00015.88-00018.76] 差骗活动骗取他人叫大说才很行为
[00018.76-00021.52] 我把它撑着一下叫做新卡差骗罪
[00021.52-00025.40] 而新卡差骗的大助一下在这个罪名
[00025.40-00029.00] 它在新法当中第一996条当中有明确的必定
[00029.00-00031.48] 当时说有下列情形之一的
[00031.48-00033.28] 进行新鲁卡炸片活动
[00033.28-00034.88] 是个叫大的初五年以下
[00034.88-00036.68] 有期图形或者是居意
[00036.68-00037.72] 并处二十
[00037.72-00041.00] 叫两万以上二十万元以下的这样的一个法经
[00041.00-00043.24] 那这是整个对于新鲁卡炸片罪
[00043.24-00046.00] 它的一个整个形态的一个设定
[00046.00-00047.20] 那新鲁卡炸片罪
[00047.20-00049.24] 它的一个具体的情形是哪几个
[00049.24-00051.08] 在这里面同行没有注意一下
[00051.08-00052.36] 有四种情况
[00052.36-00053.52] 最四种情况
[00053.52-00054.84] 它在考试的时候
[00054.84-00056.76] 它会理解形的题目出现
[00056.76-00058.36] 比如说把这四种情况变成
[00058.36-00059.38] 具体的案例
[00059.38-00060.98] 然后你判断它是否是
[00060.98-00063.54] 我们所说的符合这种新卡战片罪
[00063.54-00066.54] 当然这四种情况是四种常见的情形
[00066.54-00068.10] 这个是需要同一样的
[00068.10-00070.64] 我们在充分了解这四种情况之前
[00070.64-00072.28] 我们首先第一个要知道
[00072.28-00074.64] 我们所说的新用卡战片
[00074.64-00078.08] 它的整体的一个流程或者是手段是什么
[00078.08-00080.20] 在这里面它其实调掉了两个点
[00080.20-00082.36] 第一个就是我们刚才提到的
[00082.36-00084.84] 说新卡战片罪
[00084.84-00087.48] 它在这里面调掉的是以非法赵为目的
[00087.48-00089.48] 違法迅卡管理法委
[00089.48-00091.48] 那麽首先在這裡就要明確第一個點
[00091.48-00094.48] 我們在整個形法當中所提到的迅卡
[00094.48-00097.48] 他到底包括哪些大罪下
[00097.48-00098.48] 這個迅卡呢
[00098.48-00100.48] 他寄包會有透支功能的迅卡
[00100.48-00102.48] 比如說我們經常看到的
[00102.48-00104.48] 我們總是您好嗎
[00104.48-00105.48] 或總會讓你去辦
[00105.48-00106.48] 比如說工商也好
[00106.48-00107.48] 最近有個打電話
[00107.48-00108.48] 然後他說說
[00108.48-00109.48] 我們是工商也好
[00109.48-00111.48] 結果你其實是否需要辦理迅卡
[00111.48-00113.48] 又或者像我之前
[00113.48-00114.48] 大家出去的時候
[00114.48-00115.48] 我有一次做飛機
[00115.48-00116.48] 我不知道會發生這種事
[00116.48-00117.28] 会发生正事
[00117.28-00118.92] 然后他就帮我直击了
[00118.92-00119.96] 帮我把击票取出来
[00119.96-00121.24] 说你根本来一下
[00121.24-00122.24] 然后拿我身份热过
[00122.24-00124.64] 帮了一个东方航空的那个性卡
[00124.64-00125.64] 我拿着了梦了
[00125.64-00126.96] 但是我一直没有去认证
[00126.96-00128.48] 所以那个卡后来就做费了
[00128.48-00129.68] 那一看这种性卡
[00129.68-00131.64] 它其实就是具有我们所说的什么
[00131.64-00133.40] 透支功能的性卡
[00133.40-00134.40] 那除了我们说了
[00134.40-00135.44] 具有透支功能
[00135.44-00137.84] 我们传统一上下一的性卡之外
[00137.84-00138.96] 它还指的是什么
[00138.96-00140.12] 它还指的是包括
[00140.12-00142.52] 无透支功能的储性卡和借击卡
[00142.52-00144.80] 比如说你的一类照户当中
[00144.80-00146.68] 你有意着建设也好的卡
[00146.68-00148.38] 你最常卡的就是利用
[00148.38-00150.04] 就是用它的基本功能
[00150.04-00151.32] 比如说存款
[00151.32-00154.08] 徐款或者是在这里教一些废用
[00154.08-00156.32] 像这里面就是无透之功能的
[00156.32-00157.92] 储序卡或者是借举卡
[00157.92-00161.60] 都是于我们在本罪规定当中的信用卡
[00161.60-00163.16] 所以在这里面大家注意一下
[00163.16-00164.88] 我们所说的这种信用卡
[00164.88-00166.36] 这片罪当中的信用卡
[00166.36-00168.72] 就知道它只得其实本质上是什么
[00168.72-00171.92] 本质上只得就是我们所提到的叫做银行卡
[00171.92-00173.92] 所以同样不要再做提出看到的
[00173.92-00183.32] 他又一张銀行卡,他到刷别人的这个銀行卡或者是在这里面他炸片侵害强多,敲炸乐所行为在加上使用别人的这个卡
[00183.32-00190.12] 那他到底购成什么?你一开始的銀行卡,这个时候你就会说觉得不是性卡,就不够成性卡炸片最,那是不行的
[00190.12-00195.92] 因为这里面的性卡,炸片当中的信用卡,只得就是銀行卡,只得就是銀行卡
[00195.92-00202.72] 所以在这里面大家注意一下,只过真的不同功能的这种卡的话,他可能被切害的对象不一样
[00202.72-00205.92] 如果是普通的出去卡被翻新卡詐騙罪的話
[00205.92-00208.96] 它可能切害的是卡主的利益
[00208.96-00210.64] 如果說是新用卡
[00210.64-00212.56] 就是可以透制的這種新卡
[00212.56-00215.32] 在新卡詐騙罪當中產生了具有損失的話
[00215.32-00217.96] 它的被害人可能就是法卡銀行了
[00217.96-00220.04] 所以在這裡面大家要知道第一個新卡
[00220.04-00222.28] 它其實只能是廣印尚的銀行卡
[00222.28-00223.36] 這是第一個點
[00223.36-00225.40] 第二點在這裡他說了說
[00225.40-00227.16] 叫做違反新卡管理為例
[00227.16-00229.04] 利用新卡進行詐騙活動
[00229.04-00232.76] 那这里面其实就是要求维法使用性卡
[00232.76-00236.96] 那我们接下来看一下这里面的维反性卡管理规定
[00236.96-00241.44] 利用性卡进炸片活动的维法使用性卡的行为包括哪些
[00241.44-00242.64] 这些第一个呢
[00242.64-00245.36] 它指的是要使用为造的性卡
[00245.36-00248.76] 会以虚假的身份证明来骗取性卡的
[00248.76-00251.12] 同样把使用维造发出来
[00251.84-00253.40] 把这个刺标出来
[00253.40-00256.68] 叫做使用维造德性卡
[00256.68-00260.68] 这里面使用尾造的胸卡器本质上是什么是使用假卡
[00260.68-00262.68] 大家知道胸卡炸片罪呢
[00262.68-00265.08] 它的不走或者说胸卡炸片罪
[00265.08-00266.68] 它要获取的是什么
[00266.68-00272.68] 胸卡炸片罪是先获得你的相应的银行的细细资料
[00272.68-00276.18] 比如说你的银行卡卡号你的银行卡密码等等
[00276.18-00279.68] 它是先获得你的银行的细细资料
[00279.68-00284.68] 然后通过这些细细资料来实现它炸片的手段
[00284.68-00286.80] 所以在这里比如说你看第一个
[00286.80-00288.52] 他获取了你的信息资料之后
[00288.52-00290.16] 他为糟了一张信卡
[00290.16-00293.20] 利用你的什么信息来为糟信卡的
[00293.20-00295.40] 这种情况之下是丢信卡
[00295.40-00296.28] 炸片罪
[00296.28-00297.24] 所以你料知道
[00297.24-00298.04] 信卡炸片罪
[00298.04-00303.52] 他其实本身是先获得你的相应的
[00306.76-00308.28] 银行信息资料
[00308.28-00314.16] 言行信息資料
[00314.16-00317.22] 而厚實施的這種詐騙活動性
[00317.22-00318.52] 這個是新款詐騙罪
[00318.52-00320.96] 那他獲得你的言行信息資料之後
[00320.96-00322.24] 他都可以做什麼呢
[00322.24-00325.64] 他都可以做什麼呢
[00325.64-00328.56] 就是第一個可以為造箱的信卡
[00328.56-00330.96] 比如說拿到了你的相用的信息資料
[00330.96-00332.36] 你的卡號密碼
[00332.36-00334.16] 身分證號等等這一系列的
[00334.16-00338.20] 然后去研行干嘛就骗一张形卡骗两形卡正是可以的
[00338.20-00342.00] 所以在这里面第一种形微叫做使用为造的形容卡
[00342.00-00345.52] 那他这种情况之下进行像的炸片活动的话
[00345.52-00347.38] 他主缘形容卡炸片最
[00347.38-00350.76] 第二个就是使用作废的形容卡
[00350.76-00352.08] 这种卡已经没有用了
[00352.08-00354.04] 但是他继续使用还能杀杀钱
[00354.04-00356.36] 那这种形容卡就要使用作废的形容卡
[00356.36-00358.24] 那他们走针对的是什么
[00358.24-00360.64] 是使用什么假卡的形微
[00360.64-00363.64] 把他寫的旁邊
[00363.64-00365.64] 这两个放在一块
[00365.64-00368.64] 其实就是我们所说的使用假卡
[00368.64-00371.64] 你这种假的这种使用假卡
[00371.64-00373.64] 第一个这个卡本身就没有用了
[00373.64-00374.64] 作费了
[00374.64-00377.64] 第二个就是他利用你的相用的细细资料
[00377.64-00380.64] 来去骗领或者是委造于张询用卡来使用
[00380.64-00381.64] 然后这种情况
[00381.64-00382.64] 这下使用假卡
[00382.64-00384.64] 进行相用的炸片活动
[00384.64-00386.64] 数个叫大的
[00386.64-00388.40] 就定成性卡扎货罪
[00388.40-00390.40] 这是第二种情况
[00390.40-00391.68] 第三种情况就是
[00391.68-00393.60] 贸用他人的性卡
[00393.60-00395.76] 贸用他人的性卡就是贸用的是什么
[00395.76-00397.28] 贸用的是真卡了
[00399.28-00401.28] 比如说这种性卡他不是你了
[00401.28-00401.76] 对吧
[00401.76-00404.40] 当然他贸用他顶替你的名义去用
[00404.40-00407.12] 那这里面其实强调就说我们所说的什么
[00407.12-00408.56] 强调的就说我们所提到
[00408.56-00410.48] 贸用他人的性卡
[00410.48-00412.96] 贸用他人的真卡的这种行为
[00412.96-00414.64] 他其实是分成两个副众
[00414.64-00418.28] 第六步程就是它有一个非法取得的行为大助一下
[00418.28-00421.00] 这个非法取得的行为其实就是我们所说的
[00421.00-00423.16] 它可能在这里面是偷了你的卡
[00423.16-00424.32] 骗了你的卡
[00424.32-00425.48] 轻战了你的卡
[00425.48-00426.84] 那只有情况之下呢
[00426.84-00429.32] 这次我们所说的非法取得行为
[00429.32-00433.20] 第2个就是它把这些卡通过这些手段获取了之后
[00433.20-00434.64] 它默用你的卡
[00434.64-00436.64] 就是它先取得再去用
[00436.64-00438.44] 所以默用它人真卡的行为
[00438.44-00441.16] 它其实是有一些相应的行为模型的
[00441.16-00442.16] 大家一定要注意一下
[00442.16-00443.84] 一会这个相应的行为模型
[00443.84-00445.08] 回答去组结
[00445.08-00447.52] 所以这是第三步就孟谈新卡
[00447.52-00449.32] 但这里面大家注意一下
[00449.32-00451.08] 我们所说的这个
[00451.72-00452.52] 所提到的
[00452.52-00454.20] 使用尾造的新卡
[00454.20-00456.20] 使用作费的孟用谈新卡
[00456.20-00458.16] 他的背害人都是谁呢
[00458.16-00458.96] 大家注意一下
[00458.96-00460.16] 这里面的背害人
[00460.16-00461.96] 其实强调的都是我们所说的
[00461.96-00462.96] 我把它写的钱
[00462.96-00463.72] 抛变
[00463.72-00465.48] 你可以在这个地方
[00466.48-00467.88] 去接的标注一下
[00467.88-00469.08] 这里面的背害人
[00469.08-00471.08] 它其实都是我们所说的什么
[00471.08-00472.88] 都是我们所说的卡主
[00472.88-00475.28] 或者是发卡的银行
[00475.28-00476.50] 这里面的行为人
[00476.50-00477.22] 他是谁呢
[00477.22-00478.34] 这里面的行为人
[00478.34-00480.34] 他主要针对的是我们所说的
[00480.34-00481.84] 不是合法的卡主
[00481.84-00482.74] 这是这里面
[00482.74-00484.76] 我们所说的123这三个
[00484.76-00485.76] 他的行为人
[00485.76-00486.72] 不应该是背上人
[00486.72-00487.60] 他的行为人
[00487.60-00491.08] 其实都是不是合法的卡主
[00491.08-00492.08] 就是
[00492.08-00493.92] 他就是一个本身是一个什么
[00493.92-00495.44] 本身是一个非法的行为
[00495.44-00497.52] 这里面的前三种行为的行为人
[00497.52-00499.08] 他都是合法的卡主
[00499.08-00500.48] 这个卡能要么是他骗的
[00500.48-00501.48] 要么是个偷的
[00501.48-00504.36] 要么是他给造新新资料 委造出来的
[00504.36-00506.72] 所以都不是相当的合法的卡主
[00506.72-00509.40] 这是前三种情况 大家要注意一下
[00509.40-00510.96] 第四种情况是什么
[00510.96-00513.00] 在这里面书上其实有给到
[00513.00-00515.96] 第四种情况就是恶意透支的
[00515.96-00517.60] 是不是恶意透支性卡
