[00000.00-00005.38] 好的,那我们把前面的大概的核通论原理给大家就说完了
[00005.38-00016.56] 其实核通论原理,它如果按照明发点来看的话,核通的我们前面讲到的维月责任也好,核通的定例也好,债券这五关系的消灭好,它都属于核通编通转的问题
[00016.56-00021.20] 这里面的核通编,我先在这里先说一下,我们到了核通编
[00021.20-00025.36] 核通编的太宜宫是有三个部分,第一个就是核通编的通转
[00025.36-00029.08] 这个通责就是刚才咱们所讲到的那钱四个问题
[00029.08-00034.96] 比如说常见的一般规定和通的定力和通的效率和通的理型保全等等
[00034.96-00037.24] 什么权利物中指约责任
[00037.24-00038.28] 它是一些通责
[00038.28-00041.84] 它主要是规定和通运行的一些基本原理的问题
[00041.84-00043.28] 除了和通通责之外
[00043.28-00045.08] 在整个迷发点的和通边当中
[00045.08-00047.96] 还会讲到第二部分叫做典型和通
[00047.96-00048.92] 典型和通
[00048.92-00052.56] 移共在我们的整个和通当中
[00052.56-00054.76] 移共就十九十九个部分
[00054.76-00058.52] 比如说像买买合同、共水供电供气合同
[00058.52-00062.40] 终于合同,借款合同保证合同融资助力创处等等
[00062.40-00065.36] 这些是法律合同电浪中明文规定的
[00065.36-00066.76] 我们所说的电型合同
[00066.76-00069.76] 在我们整个迷发点当中的合同电
[00069.76-00071.04] 还有第三分点
[00071.04-00072.56] 第三分编叫做什么呢?
[00072.56-00075.24] 第三分编叫做准合同
[00075.24-00077.84] 而在整合同当中包括两个内容
[00077.84-00079.84] 一个叫做无因管理
[00079.84-00081.84] 一个叫做不到得利
[00081.84-00084.28] 我们在前面前四个问题的时候
[00084.28-00087.04] 给大家讲了河通编的通责
[00087.04-00087.56] 对吧
[00087.56-00089.40] 那今天来给大家讲一下
[00089.40-00090.68] 准河通当中的
[00090.68-00091.92] 无印管理和不当得理
[00091.92-00093.24] 这里面的典型河通
[00093.24-00094.88] 我们在第二节当中给大家讲解
[00096.00-00096.88] 大概了解了
[00096.88-00097.64] 它的一个情况
[00097.64-00098.04] 对吧
[00098.04-00100.48] 那这个时候咱们就来看一下准河通
[00100.48-00102.08] 主要就是让大家知道
[00102.08-00104.52] 这个准河通的不是突然突入的出现的
[00104.52-00106.32] 它是在河通编当中的
[00106.32-00107.84] 河通分辨的内容
[00107.84-00108.92] 在这里面我们来看一下
[00108.92-00110.40] 准河通当中的第一个问题
[00110.40-00112.20] 就叫做无印管理
[00112.20-00113.04] 大家注意一下
[00113.04-00116.28] 这个无因管理和不当得例在考试的时候怎么考察呢
[00116.28-00118.52] 就是主要考察的第一方面
[00118.52-00121.48] 就是无因管理和不当得例的构成要加
[00121.48-00123.12] 这个点是必须要掌握的
[00123.12-00125.02] 那么来看一下首先第一个
[00125.02-00127.88] 无因管理到底什么是无因管理呢
[00127.88-00129.44] 他给到了我们一个概念
[00129.44-00130.80] 看一下概念怎么说的
[00130.80-00132.36] 他说无因管理是指
[00132.36-00134.40] 没有法定或约定的一五避免
[00134.40-00135.76] 他人力受损
[00135.76-00139.64] 自愿管理他人事务的行为叫做无因管理
[00139.64-00142.08] 管理他人事务的人被称为管理人
[00142.08-00145.56] 然后事务被他人管理的人叫做本人
[00145.56-00149.04] 在法律上都我们去接订了他们的身份
[00149.04-00150.34] 这个就是无因管理
[00150.34-00152.40] 无因管理我通俗一点说
[00152.40-00154.92] 就是学类封造事
[00154.92-00156.72] 造事不流明不能说不流明
[00156.72-00158.80] 就是学类封造事的这种类型
[00158.80-00160.72] 他就属于无因管理
[00160.72-00164.00] 所以大概知道无因管理就是做好事就行了
[00164.00-00165.32] 这是无因管理
[00165.32-00168.44] 主要是无因管理的过程要加小达去注意
[00168.44-00172.40] 说了说无因管理是没有法定回越定的意误
[00172.40-00176.00] 然后你为了他人的利益去管理了他人的事物
[00176.00-00177.92] 这种就叫做无因管理
[00177.92-00180.16] 我们来看一下无因管理的过程要件
[00180.16-00181.92] 这个过程要件需要同行记住
[00181.92-00183.68] 如果老师这么多怎么记呢
[00183.68-00185.24] 一样呢我还是前面的一句话
[00185.24-00189.40] 就是咱们的民法就是要拆解它的含意
[00189.40-00193.88] 无因管理是不是两个维度的那种
[00193.88-00195.68] 首先第一个咱们来看一下
[00195.68-00197.92] 第一个就叫做无因无因是啥呢
[00198.44-00228.16] 就是你管理他一般情况之下我们说了,管理事物是不是有因的,比如说因为我的手机是我的,所以我要对我的手机进行为户,因为那个东西是我的,所以我要对那个东西产生一定的先管,因为那条小狗是我的,所以我有尖管小狗的,一无不让的吹乱有人,那这都是什么,这都是有法律,或者是约定的一无在,那这个时候你是形式相的行为,而无因管理呢,首先第一个就是在于他什么,
[00228.16-00230.88] 他无因他没有法定或约定了一五
[00230.88-00232.36] 去做这件事
[00232.36-00233.74] 所以在这里面大注意
[00233.74-00234.78] 就是无法律物
[00234.78-00238.24] 比如说你看父母福样子玉算不算无因管理
[00239.44-00241.48] 父母福样子玉算不算无因管理
[00241.48-00242.50] 那只顶不算
[00242.50-00246.26] 父母和子玉思言有法定上的福样一五
[00246.26-00246.94] 明白了吧
[00246.94-00248.44] 所以这种您不能算无因管理
[00248.44-00249.28] 那比如说
[00249.28-00250.56] 销房原救火
[00250.56-00253.10] 或者警察干嘛去成界
[00253.10-00254.00] 最饭
[00254.00-00255.34] 销房原救火
[00255.34-00256.84] 警察成界最饭
[00256.84-00258.08] 算不算无因管理
[00258.08-00259.96] 因为这些小孩人就火
[00259.96-00261.80] 可也不是烧了他自家的房子
[00261.80-00263.74] 然后警察叔叔随统治的
[00263.74-00264.36] 随饭
[00264.36-00267.00] 那他比如说我们所说的道歉
[00267.00-00267.28] 对吧
[00267.28-00268.80] 那道歉不是他自己的财产
[00268.80-00270.00] 那他是管理边市物
[00270.00-00271.52] 那这种算证无冤管理呢
[00271.52-00273.44] 不算他主要是什么
[00273.44-00274.52] 主要是因为
[00274.52-00275.60] 消防院也好
[00275.60-00276.48] 警察叔叔也好
[00276.48-00278.36] 他有法定的意物
[00278.36-00278.84] 远卖了
[00278.84-00279.84] 所以他管理边市
[00279.84-00281.36] 我不能算证无冤管理
[00281.36-00282.72] 所以在这里我们要知道
[00282.72-00284.40] 冤管理的前击是无因
[00284.40-00285.72] 就是没有法律
[00285.72-00287.52] 冤定会规定的意物
[00287.52-00289.92] 所以在这里我们去判断是不是为英管理的时候
[00289.92-00291.76] 先看有没有原因
[00291.76-00293.12] 所以在这里大家注意一下
[00293.12-00294.00] 只第一个无因
[00294.32-00295.56] 第二个他要求什么
[00295.56-00297.68] 不仅无因而且还要求管理
[00298.72-00299.76] 无因管理为英管理
[00299.76-00301.76] 所以第二个就是要求管理
[00302.00-00305.44] 这个管理他是主客官相结合的
[00308.80-00310.24] 这个地方不太好话了
[00310.40-00313.12] 这个管理他是主客官相结合的
[00313.12-00315.04] 那管理的话从主观上
[00315.04-00317.36] 你要有管理他人私误的意思
[00317.36-00319.68] 所以管理当中的第一个点 你看他怎么说的
[00319.68-00322.48] 说要为他人谋力异的意思表示
[00322.48-00325.20] 管理管理他是我 这是第一个位他人
[00325.20-00327.20] 第二个在客观上干嘛呢
[00327.20-00329.12] 在客观上 大家注意一下
[00329.12-00331.96] 在客观上有管理他是事务的行为
[00331.96-00334.32] 所以管理是主客观相结合的
[00334.32-00337.36] 而这里面一个小一点的细节的点是在哪呢
[00337.36-00339.60] 就是在管理当中的主观层面上
[00339.60-00341.80] 你去做这件事 一定是什么
[00341.80-00343.76] 一定是为他人力的
[00343.76-00346.56] 是避免他人力受損的
[00346.56-00349.38] 如果在这里面你是纯粹的位置级
[00350.40-00351.16] 注意一下
[00352.70-00354.50] 他在提案到中会说得很明白的
[00354.50-00356.28] 如果是纯粹的位置级
[00357.32-00358.84] 这种能不能算无应管理
[00358.84-00360.90] 这种指定不算无应管理
[00360.90-00362.18] 这种纯粹的位置级
[00362.18-00364.48] 他可能会有两种情况
[00364.48-00367.04] 第一种情况就是我发现写在后面
[00367.04-00370.62] 第一种情况就是我们在法律上提到的就是无性管理
[00370.62-00377.02] 呼吸管理中是吗?你认为东西是你的
[00378.04-00383.16] 你认为东西是你的
[00384.96-00389.04] 那这种的话能不能够成我们所说的无印管理呢?不行
[00389.04-00392.38] 举个简单的例子比如说你再马路边
[00393.66-00397.50] 再马路边再马路边看到了一支小狗
[00397.50-00399.14] 看到了一支胸膏
[00399.14-00399.50] 对吧
[00399.50-00400.78] 然后这支胸膏
[00400.78-00403.66] 和你家的胸膏长得真的是一模一样
[00403.66-00404.82] 然后正好呢
[00404.82-00407.02] 这一天你家的胸膏也走丢了
[00407.02-00409.02] 你就以为是你家的小隔跑回来了
[00409.02-00411.30] 你甚就把这个小隔带回家了
[00411.30-00412.22] 但我家之后呢
[00412.22-00414.06] 你感觉要有这个狗子在外面
[00414.06-00415.26] 流浪了两三天
[00415.26-00416.90] 我家天了好可怜的对吧
[00416.90-00418.54] 身上的毛脸也打击了
[00418.54-00419.14] 然后呢
[00419.14-00419.98] 买了不太了
[00419.98-00421.10] 都没话就白了骨腾
[00421.10-00422.10] 这就有点髒了
[00422.10-00423.58] 然后你这个给你这个时候
[00423.58-00424.70] 让你把这个小隔带回家了
[00424.70-00425.34] 你就再想
[00425.34-00427.14] 这个小隔他在外面
[00427.14-00428.90] 弱了好几天,有没有染上病啊
[00428.90-00430.90] 于是你就带这个小狗去了重医院
[00430.90-00433.94] 就重医院给他做了一个全面的检查
[00433.94-00435.90] 然后呢,全面检查这玩家之后呢
[00435.90-00437.22] 又带这个小狗去洗澡啊
[00437.22-00438.94] 然后又给他买了很多的好的吃点
[00438.94-00439.94] 然后带回家养着
[00439.94-00441.14] 结果养了几天之后呢
[00441.14-00442.42] 他都主人就找到你家了
[00442.42-00442.70] 说哎呀
[00442.70-00444.66] 我看到你带这个小狗回家了
[00444.66-00445.70] 然后带一个小狗回家之后
[00445.70-00447.10] 他说对小狗是我的
[00447.10-00448.50] 然后你就跟着你主人周面
[00448.50-00449.34] 你说怎么可能啊
[00449.34-00450.70] 这狗是我都让狗这找这样
[00450.70-00451.78] 然后那主人就说
[00451.78-00452.90] 他说不是你看
[00452.90-00454.78] 虽然这两个狗长得可能一样
[00454.78-00456.30] 但是我家的小狗有一个特点
[00456.30-00456.94] 什么特点呢
[00456.94-00458.38] 这是它耳朵后面
[00458.38-00459.94] 有一脱小小的白毛
[00459.94-00460.94] 不知道你没有注意到
[00460.94-00462.66] 结果你看那个小狗的后面
[00462.66-00463.90] 无野好家伙
[00463.90-00466.10] 真的有一脱小小的白毛
[00466.10-00467.46] 结果就效果就不是你了
[00467.46-00468.38] 不是你了之后
[00468.38-00470.42] 你就把狗还给了这个狗跟主人
[00470.42-00472.10] 然后你就跟这个狗跟主人说说
[00472.10-00472.90] 你看
[00473.30-00474.02] 实际上
[00474.02-00475.42] 我半天小狗带回来之后
[00475.42-00477.34] 去从愿进行了一套检查
