[00000.00-00002.82] 咱们就正式进入了我们第三节内容的学习
[00002.82-00004.02] 就是我们所说的
[00004.52-00005.24] 情恒
[00005.24-00007.12] 说到情恒的这个事情
[00007.12-00008.86] 大家其实并无诺生
[00008.86-00010.76] 我们看到了很多的电视剧
[00010.76-00012.34] 其实都和情恒有关
[00012.34-00014.36] 不是说大家也没有看过古天乐
[00014.36-00017.82] 以前演过的一部电视剧叫做巡情机
[00017.82-00018.20] 对吧
[00018.20-00020.28] 这有时候其实就是和情统有关的
[00020.28-00022.68] 因为或者说胡歌演过的那个电视剧
[00022.68-00023.24] 对吧
[00023.24-00024.64] 我忘了他叫啥了
[00024.64-00025.96] 他在里面叫一小天
[00025.96-00026.32] 对吧
[00026.32-00028.58] 这个也是我们所说的和这个时代
[00028.58-00029.90] 有一定的关系的
[00029.90-00032.70] 所以在前汉这个时期我们可以说是
[00032.70-00035.98] 在中国风际历史上比较灰黄的一个时代
[00035.98-00038.02] 那既然是如此灰黄的一个时代
[00038.02-00040.22] 我们的学者都怎么来形容
[00040.22-00042.38] 我们所说的前汉这个时期
[00043.22-00045.34] 在中国历史几天本当中
[00045.34-00046.70] 其实写过这么一句话
[00046.70-00051.22] 说我们一般情况下用前汉精神来形容和概括这个时代
[00051.22-00054.82] 过而前汉是个有精神的时代
[00054.82-00057.26] 那前汉的精神到底甜在的人
[00057.26-00063.26] 我们接下来主义的走进其汉时期去了解前汉时代的精神
[00063.26-00067.26] 首先看下第一个就是我们所说的秦朝
[00067.26-00069.26] 秦朝又书接上回了
[00069.26-00072.26] 我们在战国期行当中其实给大家讲到
[00072.26-00076.26] 秦国统一六国建立了秦朝
[00076.26-00081.26] 秦立秦朝的时间其实在我们所说的公园前21年
[00081.26-00085.26] 秦王营政陆续统议的一个考点出现
[00085.26-00087.26] 路循滅掉六国
[00087.26-00089.26] 有啥可靠的呢
[00089.26-00089.76] 对吧
[00089.76-00091.26] 这个可靠的地方
[00091.26-00092.46] 我给大家标注了一下
[00092.46-00093.76] 就是靠两个
[00093.76-00096.26] 第一个就是考察滅六国的训续
[00096.26-00097.26] 我们都知道
[00097.26-00098.76] 秦滅六国叫秦王
[00098.76-00099.94] 所六合
[00099.94-00101.26] 苦势和行在
[00101.26-00102.26] 我的妈眼没随了
[00102.26-00103.26] 对不对
[00103.26-00106.26] 相当之狂热的那样的一个场景
[00106.26-00107.26] 那他们滅六国的训续
[00107.26-00109.26] 咱们其实上节可说到了
[00109.26-00111.26] 我在这里就不给大家去写了
[00111.26-00112.26] 滅六国的训续叫做
[00112.26-00113.26] 韩照位
