[00000.00-00003.14] 好的 那我们了解了什么是形容主体之后呢
[00003.14-00005.80] 来看一下第四个问题就叫做形容行为
[00005.80-00007.46] 咱们在最开始的概束当中
[00007.46-00008.82] 给大家说的非常清楚
[00008.82-00010.96] 我们说了在形容实体法当中
[00010.96-00014.10] 在形容法当中强调官管理
[00014.10-00016.56] 那沟通官民之间的这个桥梁
[00016.56-00020.72] 在咱们前面提到了就做官管理
[00020.72-00024.44] 那官管理 沟通官和民之间的就是什么
[00024.44-00025.66] 就是管
[00025.66-00027.90] 那这个管车上是什么问题
[00027.90-00030.72] 就是行政行为的问题
[00030.72-00035.58] 接下来我们就要来看一下到底是行政行为
[00035.58-00037.36] 行政行为它有哪些特征
[00037.36-00040.18] 如果说关管民我不服务要去告
[00040.18-00044.34] 哪些行政行为是可以直接起诉直接去告的
[00044.34-00047.62] 这个就是我们所提到的叫做行政行为
[00047.62-00049.92] 行政行为的首先我们来看一下第一个
[00049.92-00053.12] 就是在这里我们要先来了解一下行政行为的效率
[00053.12-00054.36] 这是关管民
[00054.36-00058.32] 他做了一件什么事 或者是他实施了一个什么样的管理决定
[00058.32-00061.20] 或者是实施了一个什么样的形状才决
[00061.20-00064.44] 这个时候他的决定也好触发也好才决好
[00064.44-00065.56] 一旦出现之后
[00065.56-00068.60] 这些形状行为他有什么样的效率
[00068.60-00071.00] 在这里面是有四个效率
[00071.00-00072.52] 这个效率大家注意一下
[00072.52-00076.40] 他在考试的时候经常会考察的就是我们所提到的
[00076.40-00079.20] 具体形状行为他的四个效率的喊异
[00079.20-00081.00] 这个地方是考喊异比较多的
[00081.00-00083.80] 所以从考察的整体的难度上来看的话
[00083.80-00085.08] 其实他的难度不大
[00085.08-00087.14] 他往上就是考察含意的对应
[00088.02-00089.32] 我把他的考察方式
[00089.32-00092.00] 写在旁边偏向于实际型的题目
[00092.00-00093.92] 考察含意的对应
[00093.92-00095.52] 那在这四个含意当中
[00095.52-00096.52] 首先第一个呢
[00096.52-00098.12] 他就叫做公病理
[00098.12-00099.52] 什么叫做公病理呢
[00099.52-00100.36] 咱们来看一下
[00100.36-00102.00] 他说除法律规定的
[00102.00-00103.80] 绝对无效的情况之外
[00103.80-00106.00] 这是法律绝对规定比较主体无效
[00106.00-00107.04] 比如说违法无效
[00107.04-00108.88] 除了这些我们所说的
[00108.88-00110.68] 规定的绝对无效的情况之外
[00110.68-00112.12] 后面这句话出来
[00112.12-00117.72] 叫形容行为一经成立被推定为何法有效
[00117.72-00122.36] 这个就叫做我们所说的形容行为的第一个叫做宫定力
[00122.36-00125.56] 比如说还是我重疼的这个事
[00125.56-00126.76] 二块钱这个事对吧
[00126.76-00128.84] 过不去了就抓着二块钱不放
[00128.84-00131.24] 你看他给我的形容处发决定
[00131.24-00133.72] 那他就属于一个什么具体形容行为
[00133.72-00135.88] 他给我的形容处发决定
[00135.88-00138.20] 一旦形容处发决定出来
[00138.20-00140.50] 那你看叫形容形為一經成立
[00140.50-00142.30] 這個形為就被推定為什麼
[00142.30-00144.80] 就被推定為合法有效的
[00144.80-00145.88] 若老師那不形容
[00145.88-00147.16] 那你過後年去過
[00147.16-00149.00] 你還去那個告他了
[00149.00-00150.88] 那過後去告他那是過後的事
[00150.88-00153.30] 而就是指當時他這個形容處法
[00153.30-00154.60] 決定說一出來的時候
[00154.60-00155.60] 我要不要教前
[00155.60-00156.90] 我當然要教前了
[00156.90-00158.10] 對吧我先把錢交了
[00158.10-00159.40] 這就是什麼公訂裏
[00159.40-00161.20] 叫形容形為一經成立
[00161.20-00163.50] 被推定為叫做合法有效
[00163.50-00165.20] 那這個就叫做公訂裏
[00165.20-00166.20] 那叫公訂裏
[00166.20-00168.00] 就推定和法有效
[00168.20-00171.12] 這是第一個 第二個呢 最少做確定率
[00171.12-00173.56] 確定率叫做行政主體壞下
[00173.56-00177.36] 不得隨意改變和撤銷企業行為大內容
[00177.36-00178.60] 這個叫做確定率
[00178.60-00180.44] 這是處於什麼的考量同學們
[00180.44-00182.92] 為什麼說不能招令膝蓋啊
[00182.92-00185.72] 為什麼說你的行政政令只令一大發出之後
[00185.72-00186.72] 你不能隨便改
[00186.72-00190.84] 因為人民群眾會無條件的信任政府
[00190.84-00192.64] 這推遇對於他的一個什麼
[00192.64-00194.32] 公務權威的一個相信
[00194.32-00198.16] 所以群眾對於政府有信賴利益
[00198.16-00202.00] 所以基于新来历一保护的话,我们说了在这里面,怎么样?
[00202.76-00207.64] 他所做的形论行为要具有确定理,不能招立新点,对吧,这也是对于
[00207.64-00217.10] 群众的形容历的一种保护,新来历的一种保护,所以第2个叫做确定理,确定指的是什么?内容确定了,不能随便改了,这个叫确定理
[00217.36-00227.10] 第3个叫叫居数理,居数理说是形论行为,对形证相对人有一种越数利,有关组织和人员都必须什么,服从和遵守
[00227.10-00229.10] 所以居處令就可以簡單認為
[00229.10-00231.20] 就是一旦這個形狀行為做出了
[00231.20-00234.20] 各方人員都必須什麼都必須遵守
[00234.20-00237.20] 這個就叫做我們所說的什麼居處令
[00237.20-00240.10] 就是它是一個強制行為指令就類似於這種
[00240.10-00243.10] 它一旦做出來了你必須就服從它的安排
[00243.10-00244.60] 所以在這裡面
[00244.60-00245.80] 叫居處令
[00245.80-00247.40] 第四一個呢就叫做執行令
[00247.40-00250.00] 執行令的話就是形狀主體在一定情況之下
[00250.00-00252.40] 客怎麼樣 客強制執行
[00252.40-00254.10] 這個就叫做執行令
[00254.10-00256.82] 比如说他给我相当的形容厨发的决定
[00256.82-00257.86] 或者让我去做什么
[00257.86-00260.02] 比如说让我去交那相的法款
[00260.02-00263.26] 比如说给我预留了一定的欺贡让我去补脚睡款
[00263.26-00264.34] 但是我就不去
[00264.34-00265.42] 法可我就不交啊
[00265.42-00266.42] 就20块钱吗
[00266.42-00267.78] 你过护差20块
[00267.78-00269.42] 我现在我就抱着脚行的心理
[00269.42-00270.22] 就偷睡陋睡了
[00270.22-00271.22] 你能帮我怎么地吧
[00271.22-00274.06] 你给我设定一定的欺贡让我去补脚睡款
[00274.06-00274.86] 我就不交啊
[00274.86-00276.66] 能帮我怎么要你管我呢
[00276.66-00278.14] 那我特认能把你怎么样
[00278.14-00280.26] 如果你不去旅行你的意误的话
[00280.26-00281.74] 那形容度体在一定情况之下
[00281.74-00282.66] 可深情什么
[00282.66-00283.82] 强制之行
[00283.82-00288.74] 比如说让我去不脚 相当的睡県 我不去不脚 于亲了我还是不去
[00288.74-00292.46] 那么OK 可以怎么办 可以加处 智纳金和法款
[00292.46-00294.58] 我就逼迫你之前 是不是就可以了
[00294.58-00298.86] 所以我们所说的形状行为还有一点什么 还有一点的值行力
[00298.86-00301.30] 所以这里面比较难以理解的 切剩哪个呢
[00301.30-00304.78] 工定力 工定工定就是推定和法有效
[00304.78-00308.14] 就无论他是不是真的有效 他一旦坐出来那一刻
[00308.14-00309.66] 我们就默认他是有效的
[00309.66-00313.26] 你认为他无效 那么OK 你去提起形状数送去提起
[00313.26-00315.26] 敷代行審查就可以了
[00315.26-00317.86] 他只要一斤成立就被推定为何派有效
[00317.86-00322.86] 因为这些我们所说的行政行为是由行政机关作出的
[00322.86-00325.56] 而行政机关的基于合法行政的要求
[00325.56-00327.54] 我们就默认他做的事情是什么
[00327.54-00328.36] 是合法有效的
[00328.36-00330.10] 你说老师他如果被发了怎么办
[00330.10-00332.76] 被反了后面的时候在走其他的程序
[00332.76-00335.26] 但是如果这个行政行为一旦做出来
[00335.26-00337.26] 我们就默认他做的是对的
[00337.26-00339.46] 就叫默认推定合法有效
[00339.46-00340.56] 他如果真做错了
[00340.56-00342.88] 这个时候我们可以去提起相当什么
[00342.88-00344.68] 服役可以提相应的诉讼
[00344.68-00345.96] 但是我们强调的是
[00345.96-00348.68] 是指的是行政行为做出那一刻
[00348.68-00349.68] 如果去推定它
[00349.68-00352.00] 它如果在这里面
[00352.00-00353.68] 不符合绝对无效的条件的话
[00353.68-00355.04] 我们就默认它是有效的
[00355.04-00356.84] 这个就要做宫定理
[00356.84-00358.48] 而确定确定是这样
[00358.48-00359.44] 内容确定
[00359.44-00361.28] 内容一旦确定不得随意更改和
[00361.28-00362.40] 彻销约束里
[00362.40-00363.76] 大家怎么叫约说
[00363.76-00365.08] 必须遵守和执行
[00365.08-00366.60] 之后一个叫做执行理
[00366.60-00368.92] 执行就是你不理性相当一无的话
[00368.92-00370.32] 我就可以强制执行
[00370.32-00376.64] 我们会为后面会大家去讲具体形状行为当中的行政强制措施和行政强制之行的
[00376.64-00379.28] 这个地方就叫做行政行为的效力
[00379.28-00381.92] 这四个内容考察含义的对应
[00381.92-00384.68] 就遭着组词你也能给他摸所出来
[00384.68-00387.12] 哪一点就是不太常见的公订理
[00387.12-00389.52] 公订供订供订推定和法有效
[00389.52-00390.48] 明白这个意思吧
[00390.48-00394.04] 这个就叫做行政行为
[00394.04-00395.76] 大助一下这个叫行政行为
[00395.76-00397.60] 而行政行为的话大家注意
[00397.60-00400.28] 行政行为他有好多种的分类
[00400.28-00403.82] 我們來看一下形狀行為他的分類是怎麼花分的
[00403.82-00407.08] 形狀行為的分類它有多種多樣的形式
[00407.08-00409.76] 當然我們在這裡給大家記憶的形狀行為分類的
[00409.76-00415.28] 說沒有把所有的形狀行為的花分的這樣的一個標準和類別都給大家
[00415.28-00416.92] 我在這裡面只給大家了
[00417.44-00420.60] 我們所提到的最為長間的一種考察方式
[00420.60-00425.28] 就是根據它適用的對象是否特定和是否能夠反復
[00425.28-00428.68] 是用來看的話我們把整個形狀行為分成了
[00428.68-00432.08] 就做抽象形状行为和具体行状行为
[00432.08-00435.16] 这里面为什么单独把这两个拿税大说呢
[00435.16-00438.76] 因为这两个在考试的时候非常常见同时
[00438.76-00442.56] 如果我们要是能够充分的理解什么叫具体行状行为的话
[00442.56-00445.60] 同学们你只要理解了什么是具体行状行为
[00445.60-00450.76] 那么你在后面去在学习行状副一和行状诉讼内容的时候
[00450.76-00454.00] 它的副一和诉讼犯委就不用特殊的去备了
[00454.00-00456.48] 你就知道行状副也好行状诉讼也好
[00456.48-00459.96] 他的富裔和蘇聰的範圍都是具体形状行为
[00459.96-00464.80] 而具体形状行为就是可以直接起诉的这种叫做具体形状行为
[00464.80-00470.32] 而不能直接起诉的针对于大众去制定了这种法规政策的这一类
[00470.32-00471.80] 它属于抽象形状行为
[00471.80-00474.40] 所以明确具体形状行为干嘛呢
[00474.40-00477.40] 就是明确它可不可以直接起诉
[00477.40-00480.76] 它是否属于形状诉讼的手按範圍
[00480.76-00483.12] 这个点就变得格外中好了
[00483.12-00486.20] 所以咱们来看一下形状行为当中的最重要的一个分类
[00486.20-00487.84] 当然它有一些其他的一些分类
[00487.84-00489.02] 什么机束的
[00489.02-00490.04] 什么等等
[00490.04-00492.72] 这些在这儿咱们不也大家去讲解了
[00492.72-00493.70] 那我首先来看一下
[00493.70-00494.96] 第一个
[00494.96-00496.14] 先把这个标准
[00496.14-00496.94] 话出来
[00496.94-00500.28] 这是形容行为按照对象是否特定
[00500.28-00502.56] 和能否反复释用
[00502.56-00503.56] 可以话跟出来
[00503.56-00505.16] 叫做抽象形容行为
[00505.16-00506.96] 与具体形容行为
[00506.96-00508.92] 那什么叫做抽象形容行为
[00508.92-00509.72] 来看一下
[00509.72-00511.32] 抽象形容行为考什么
[00511.32-00512.20] 大家注意一下
[00512.20-00514.36] 第一个考察变息
[00514.36-00515.84] 我在这把它的考察点
[00515.84-00519.94] 现在旁边考察理解行的题目
[00520.20-00521.98] 第1个考理点题目考的是什么呢
[00522.24-00525.06] 考的就是案例考的就是编息
[00525.30-00527.24] 就是给你ABCD四个选项
[00527.24-00528.12] 让你去判断
[00528.38-00529.42] 这四个选项当中
[00529.66-00531.72] 哪一个属于抽象形状行为
[00531.96-00535.04] 所以我们学抽象形状行为第一个从海一当中抽象出来
[00535.30-00536.32] 如何变别
[00536.58-00537.60] 第2个考什么呢
[00537.86-00540.42] 第2个考抽象形状行为的特征
[00540.68-00541.70] 这个特征呢
[00541.70-00544.26] 往往就是会考察其中的一个照特征
[00544.26-00548.74] 如果說這兩個當中考得比較多的是這種案例的考察顯示
[00548.74-00552.18] 那我們先來一點點看 首先第一個 找抽象形容形容形為
[00552.18-00554.18] 可是抽象形容形為是指
[00554.18-00555.98] 關下形容器官 畫一下
[00555.98-00559.06] 叫針對不特定的 把不特定畫出來
[00559.06-00562.82] 針對不特定的人和設置定的具有畫一下
[00562.82-00567.62] 普遍、約束力 並可反覆、適用的規範性的文件
[00567.62-00571.26] 那這個就叫做抽象形容形為
[00571.26-00573.02] 所以所谓的抽象形状行为
[00573.02-00574.30] 它就是一个什么过程
[00574.30-00576.50] 它就是一个形正立法的过程
[00576.50-00578.06] 同时在旁边标注出来
[00578.06-00579.42] 我就在按立后面写
[00579.42-00579.66] 好吧
[00579.66-00580.66] 抽象形状行为
[00580.66-00582.98] 它就是形正立法
[00586.10-00588.06] 抽象形状行为就是形正立法
[00588.06-00589.22] 我们经常看到的
[00589.22-00593.90] 比如说制定什么制定形正法规章等等
[00593.90-00595.18] 我现在旁边比如说
[00595.18-00597.58] 国务院制定形正法规
[00601.26-00605.26] 叫國務院制定行政法規
[00605.26-00610.26] 或者說國務院某某部門制定的部門規章
[00610.26-00612.26] 或者是地方政府規章等等
[00612.26-00616.26] 只制定法規規章的行為
[00617.26-00620.26] 制定法規規章的行為
[00620.26-00621.26] 其實就叫做什麼
[00621.26-00623.26] 就叫做抽象行政行為
[00623.26-00625.26] 也叫做行政立法
[00625.26-00628.26] 比如說國務院出台的相應的行政法規
[00628.26-00632.34] 法規,他一定是面向社會所有全體都是用的
[00632.34-00635.34] 對吧,那這時候你看,他不針對特定的人和事
[00635.34-00638.50] 對於整個社會都能用,變成可以反復使用
[00638.50-00641.94] 那這就是要做抽象行政行為
[00641.94-00645.86] 所以大家注意一下,抽象行政行為本身就是行政立法的過程
[00645.86-00647.46] 你只要看到提案當中說了
[00647.46-00649.90] 說國務院也好出台了什麼什麼反案
[00649.90-00652.90] 或者國務院出台了某某行政法規某某條例
[00652.90-00655.90] 或者是省政府,市政府或是某某部門
[00655.90-00658.22] 搞了什麼什麼某某規徵
[00658.22-00659.46] 那這種情況之下
[00659.46-00660.06] 大家注意
[00660.06-00661.02] 它都屬於什麼
[00661.02-00662.22] 它都屬於抽象
[00662.22-00663.02] 形狀形為
[00663.02-00663.74] 所以大家就知道
[00663.74-00664.50] 突然形狀形為
[00664.50-00666.54] 就是制定形狀立法的這種情況
[00666.54-00667.18] 比如說
[00667.18-00669.66] 企業名稱登記管理實施辦法
[00669.66-00671.26] 你看像我們所提到了
[00671.26-00673.98] 這個叫企業名稱登記管理實施辦法
[00673.98-00675.26] 它是不是規定了
[00675.26-00675.98] 一系列的
[00675.98-00677.18] 我們所提到的
[00677.82-00679.86] 你這個企業變了登記要怎麼做
[00679.86-00681.66] 然後如果企業變了登記當中
[00681.66-00683.02] 你如何向企業申請
[00683.02-00684.38] 需要對接什麼材料
[00684.38-00685.50] 那你看像這個
[00685.50-00689.18] 某某什么什么管理实施办法?
[00690.54-00692.86] 或者是某某什么实施管理办法?
[00692.86-00695.90] 你看一下,你从这个文件来看就知道
[00695.90-00697.66] 它是什么实施办法?
[00697.66-00698.82] 什么管理办法?
[00698.82-00702.34] 问一下大家,它是不是针对一个特定的企业来看的呢?
[00702.62-00705.62] 它不是针对于某一个特定的企业
[00705.62-00707.98] 而是在这里面是针对所有的企业
[00707.98-00713.42] 受上所有的钱你只要去变更企业名称,只要去变更能借,都可以参照这个办法
[00713.42-00715.10] 所以你看它是一个什么文件
[00715.10-00717.66] 它就是一个行政法规文件
[00717.66-00719.34] 它就是行政法规文件
[00719.34-00720.70] 所以像这一类的
[00720.70-00722.50] 我们所说的制定
[00722.50-00726.74] 这一类的办法的这种行为行政立法行为
[00726.74-00727.98] 都被称为交给什么
[00727.98-00730.62] 都被称为交作抽象行政行为
[00730.62-00732.78] 所以你就知道抽象行政行为怎么看
[00732.78-00733.74] 就看行政立法
[00733.74-00736.14] 就是某某部门出台了
[00736.14-00738.46] 具有一个普遍约束力的某某文件
[00738.46-00739.54] 或者是某某法规
[00739.54-00742.42] 某某政策这种就叫做抽象行政行为
[00742.42-00744.70] 所以从这个名称就能看出来
[00744.70-00747.38] 它是只要是你变工企业名乘
[00747.38-00749.34] 只要是你实行相应的什么
[00749.34-00751.82] 登记你都要参照这个法规
[00751.82-00753.02] 这个就叫做什么
[00753.02-00755.62] 就叫做抽象行政行为
[00755.62-00756.62] 突然行政行为
[00756.62-00757.66] 所以抽象行政行为
[00757.66-00759.74] 你如果打体的话就農所四个字
[00759.74-00762.06] 它就是行政立法行为
[00762.06-00763.46] 你把它写的旁边就行了
[00763.46-00764.58] 它是会行政立法
[00764.58-00766.34] 其实一眼就能够看出来的
[00766.34-00767.54] 这是我们所说的
[00767.54-00770.30] 第一个叫做抽象行政行为
[00770.94-00773.14] 它考案例的时候从这个角度
[00773.14-00774.94] 要從概念當中去理解他
[00775.18-00776.72] 那我說了那抽象形狀行為
[00776.72-00777.88] 他有什麼樣的特徵
[00777.88-00779.28] 在書上也給到說了
[00779.54-00781.34] 說抽象行為他都主要特徵
[00781.34-00783.64] 叫做對象的不特定性
[00783.90-00786.46] 因為他是針對的所有社會普世
[00786.96-00788.24] 問題來說的
[00788.50-00789.78] 他沒有什麼特定性
[00790.04-00792.34] 所以第一個叫特定的對象的不特定性
[00792.34-00793.62] 這在概念當中就有的
[00793.88-00796.18] 第2叫做科繁夫是用性
[00796.18-00797.72] 之後這個法律法規
[00797.98-00799.24] 這個形狀法規
[00799.50-00801.82] 他沒有被宣布肺紙
[00801.82-00804.34] 它就一直有效可以反复使用
[00804.34-00806.30] 所以叫做可反复使用性
[00806.30-00807.26] 第三个特征
[00807.26-00808.78] 這個是需要同學掌握的
[00808.78-00809.50] 就是什麼
[00809.50-00812.14] 就是抽象形認性為不可速
[00812.14-00813.90] 所以需要大家去記得就是這個
[00813.90-00814.78] 不可速性
[00819.42-00821.90] 需要大家去記得就是這個不可速性
[00821.90-00823.50] 這個也是最常考的
[00823.50-00824.62] 所以我們說了
[00824.62-00826.62] 想要成為形認速速
[00826.62-00828.38] 比如說觀管棉
[00828.38-00829.54] 民高官
[00829.54-00833.26] 民购官的话你要去购哪些行为是可以搞的呢
[00833.26-00838.94] 我们说了这些行政行为当中只有具体行政行为可以直接起诉
[00838.94-00842.48] 而这里面的抽象行政行为能不能直接起诉
[00842.48-00843.64] 不能直接起诉
[00843.64-00845.82] 所以在这里你看着做不可诉
[00845.82-00847.22] 你说老师啥意思呢
[00847.22-00850.66] 比如说国务院出台了某某管理办法
[00850.66-00851.94] 然后举个简单的例子吧
[00851.94-00852.82] 别过有院了
[00852.82-00854.62] 比如说某某市政府
[00856.94-00859.34] 某市政府出台了
[00859.34-00862.74] 一个管理办法,什么呢?有关于我编一个
[00863.14-00866.14] 叫做有关于共享单车
[00869.34-00870.54] 实施管理办法
[00872.34-00877.78] 或者叫管理实施办法,就出台了一个共享单车的实施管理办法
[00878.02-00880.18] 等等,就是给到了这个
[00880.18-00883.66] 你看,某某市政府,它是不是形容机关
[00883.66-00888.54] 它出台了一个管理办法,它是不是在形容机关,对不对?
[00888.54-00890.54] 出台的管理办法是在行政立法
[00890.54-00891.54] 那同不来看一下
[00891.54-00894.54] 那我能不能说我现在我一看
