[00000.00-00001.40] 大家好 我是杰瑞
[00001.40-00002.76] 咱們書接上回
[00002.76-00004.28] 咱們商業可能講到了
[00004.28-00005.88] 北部論當中的物質
[00005.88-00006.80] 從物質當中
[00006.80-00008.64] 我們抽象出來了兩個非常重要的
[00008.64-00009.52] 打提地橋
[00009.52-00011.72] 搞定了兩段一滾小的關係
[00011.72-00013.76] 最後完成了一個框架的整理
[00013.76-00014.80] 講完了物質
[00014.80-00015.68] 在北部論當中
[00015.68-00017.28] 還有第二個很大的概念
[00017.28-00019.00] 就是我們所說的意識
[00019.00-00022.00] 那麼這節刻就來學一時的內容
[00022.00-00023.32] 那想要掌握住意識
[00023.32-00025.44] 我們要從三個圍度來掌握它
[00025.44-00026.68] 第一個我們要知道
[00026.68-00027.96] 我們天天說意識
[00027.96-00029.80] 生活當中也很會碰到意識
[00029.80-00033.44] 这两个字,我们就知道意识它到底是从那来的
[00033.44-00036.44] 第一个我们要搞定意识的产生
[00036.44-00039.24] 第二个我们要知道从哲学层面上
[00039.24-00041.00] 我们所提到的意识
[00041.00-00043.12] 它到底是一个什么样的东西呢
[00043.12-00045.28] 第二个我们要来看一下意识的本质
[00045.28-00048.60] 第三个要结合我们现在生活当中的热点
[00048.60-00052.44] 来看一下人工智能它与意识之间的关系
[00052.44-00055.00] 所以这是本质课的三个维度
[00055.00-00056.88] 这一节课当中的重点
[00056.88-00058.92] 或者说是两星期的之点在哪里呢
[00059.80-00061.80] 其實是在意識的本質上
[00061.80-00065.50] 我們先看第一個問題就叫做意識的產生
[00065.50-00067.40] 意識到底是從來來的呢
[00067.40-00069.20] 書上其實給了我們一個答案
[00069.20-00071.70] 他說意識不是天生就有的
[00071.70-00076.50] 而是物質世界長期發展的產物
[00076.50-00078.50] 也就是說意識這個東西它的產生
[00078.50-00081.40] 它其實是後天經過自然界和人類社會
[00081.40-00083.90] 不斷發展從而推進的
[00083.90-00086.60] 這是從意識的產生過程來分析
[00086.60-00089.30] 那接著是物質世界長期發展的產物
[00089.30-00092.88] 那这里就出现了第一个实际型的考察店
[00092.88-00094.62] 它可能是一个判断体
[00094.62-00096.60] 有可能是一个判断显向
[00096.60-00097.94] 这里的物质世界
[00097.94-00099.66] 其实包括两个部分的
[00099.66-00101.80] 一个是我们所说的自然界
[00104.02-00105.94] 另外一个是我们所说的
[00105.94-00107.00] 人类社会
[00107.00-00108.56] 所以意识的产生
[00108.56-00110.56] 它是从自然界
[00110.56-00112.00] 长期发展来的
[00112.00-00114.74] 也是从人类社会长期发展来的
[00114.74-00117.08] 所以精采在判断体当中就给到
[00117.08-00121.96] 所以意思是自然借長期發展的產物 眾說法對不对的
[00121.96-00126.80] 如果他說 意思是類似會長期發展的產物 眾說法對不对
[00126.80-00128.60] 眾說法也是正確的
[00128.60-00131.92] 所以他有的時候不一定會在這考察員文
[00131.92-00135.24] 同一門在這裡對於物質世界長期發展的產物
[00135.24-00137.24] 有一個話分 有一個了解
[00137.24-00140.44] 這是我們所說的第一個 從他的產生來看
[00140.44-00144.72] 我們知道了意思他是自然借個人類似會長期發展的產物之後
[00144.72-00146.60] 接下來我們來看一下第二個點
[00146.60-00151.34] 这是在意识产生过程当中到底是什么起到了重要的作用
[00151.34-00152.42] 书上有一句话
[00152.42-00154.52] 他说意识也是社会的产物
[00154.52-00158.52] 后面给到了说劳动在意识产生过程当中起到了
[00158.52-00159.80] 绝地用作用
[00159.80-00161.32] 同时在这里标注一下
[00161.32-00166.24] 这是在意识产生当中的第二考点是劳动起到决定作用
[00166.24-00169.40] 你说老师为什么劳动就得意识产生起到决定作用呢
[00169.40-00173.28] 我们要知道是有了人类之后才有了意识
[00173.28-00175.16] 而人类为什么会形成意识呢
[00175.16-00178.56] 主要就是因為人類的腦部的構造和其他生物不一樣
[00178.56-00181.08] 對吧我們天天自取為萬物領長
[00181.08-00182.20] 對吧萬物之領
[00182.20-00183.92] 我們就是15.2的頂端
[00183.92-00185.04] 那在這種情況下
[00185.04-00187.40] 我們在社會發展的過程當中
[00187.40-00189.88] 人的大腦就不斷的形成了
[00189.88-00192.40] 所以人的大腦是怎麼樣不斷形成的呢
[00192.40-00195.32] 那就和我們所說的社會勞動分工
[00195.32-00196.40] 有很大的關係
[00196.40-00197.92] 比如說舉個簡單的例子
[00197.92-00199.96] 你比如說在最開始的時候
[00199.96-00205.00] 我們還都是沒有發展的特別好的這種原人的這種事情
[00205.00-00207.24] 你现在想要去吃一个东西比如说
[00207.24-00208.96] 我现在想要打个脸
[00208.96-00211.08] 对吧吃个健厨服 猛猛 像之类的
[00211.08-00213.64] 你自己一个人能不能单挑 健厨服猛像
[00213.64-00214.84] 你只能是搞不定的
[00214.84-00215.88] 那你搞不定怎么办
[00215.88-00218.88] 你需要找其他的人和你一块来做这个事
[00218.88-00221.92] 那说白了 大家一红文上团结就是力量嘛
[00221.92-00224.52] 那你现在就必须要有一个明确的分工啊
[00224.52-00225.24] 你怎么办呢
[00225.24-00227.80] 这是什么样的人去也幼建之火
[00227.80-00229.96] 什么人涉线紧 什么样的人呢
[00229.96-00231.48] 去把健厨服拿下
[00231.48-00234.04] 你是不是在这个过程中是一个分工合作
[00234.04-00236.24] 而我们想要把这件事情打成
[00236.24-00239.22] 那大家都要去不断的思考这样的一个问题
[00239.22-00240.68] 那在这个过程当中
[00240.68-00242.52] 脑部就会不断的竞话
[00242.52-00244.88] 竞话到了后面的人脑
[00244.88-00248.76] 从而产生了人类意识行程的物质器官
[00248.76-00250.60] 所以在这里面我们会发现
[00250.60-00252.68] 脑动或者社会劳动
[00252.68-00254.00] 或者社会实现
[00254.00-00255.28] 或者社会分工
[00255.28-00256.52] 在本上是一样的
[00256.52-00259.48] 它是在意识过程当中产生决定做的
[00259.48-00260.92] 因为在脑动当中
[00260.92-00263.48] 不断的出计人脑的发展和行程
[00263.48-00264.88] 所以在这里他才说了
[00264.88-00267.24] 劳动才是起到决定作用的
[00267.24-00269.32] 这个就是艺术的产生
[00269.32-00270.28] 这里面一构
[00270.28-00272.24] 两个细节考察的点
[00272.24-00273.56] 需要同学们去注意
[00273.56-00275.52] 但是这个艺术的产生
[00275.52-00277.84] 本身只是一个医心级的指示点
[00277.84-00278.80] 大家要知道
[00278.80-00281.60] 只是第一个我们知道艺术从哪来
[00282.24-00283.04] 我们知道了
[00283.04-00283.92] 艺术从哪来
[00283.92-00285.80] 第二个我们就在这里需要知道
[00285.80-00287.88] 我们在哲学上说的艺术
[00287.88-00289.44] 到底是什么东西呢
[00289.44-00291.56] 我们来看一下艺术的本质
[00291.56-00297.44] 一时的本质,我先带这里,他们交代清楚,它本身算是一个两星级的知识点
[00297.44-00302.82] 而且它在考察的时候,一般情况之下会出现综合性的考察方式
[00304.10-00308.46] 关于一时的说法,正确或者错误的事
[00308.46-00313.06] 所以它既然是这么考,所以它就不太一定会考察什么
[00313.06-00314.60] 不太一定会考察
[00314.60-00319.46] 原本,所以它有的时候就会考察原本的理解和应用
[00319.46-00323.30] 所以今天考圆的理解和用用
[00323.30-00327.66] 在这里面就要把一时的本质去进行解毒
[00327.66-00328.94] 我们来看一下
[00328.94-00331.74] 我们先从含一上来看一时的本质到底是啥
[00331.74-00335.34] 它说一时是人脑对客观存在的主观印象
[00335.34-00336.62] 这里是不出现了一个情况
[00336.62-00338.66] 说到是这里面它每个字都认识
