[00000.00-00006.80] 我们讲完了联系之后我们来看一下第二个变成法的特征就是我们所说的发展
[00006.80-00009.40] 我们要在发展当中掌握住两个点
[00009.40-00013.08] 第一个我们要知道到底什么是发展叫做发展的喊异
[00013.08-00017.80] 第二个我们要从发展的含义当中去透息发展的实质到底是什么
[00017.80-00022.00] 而从这两个点当中我们可以抽象服33的考点
[00022.00-00024.44] 第一个3的指的是有3句话
[00024.44-00025.80] 小达去背下来
[00025.80-00028.00] 我们就在现场就给他背下来
[00028.00-00031.04] 第二个就是有三个打提计巧
[00031.04-00033.48] 帮助我们去应对理解行的题目
[00033.48-00035.68] 所以我们这些课就是三家三
[00035.68-00039.04] 我们先来看一下第一个发展到底是什么
[00039.04-00040.96] 我们来看一下发展的喊异
[00040.96-00042.48] 我们在日常生活当中
[00042.48-00044.24] 也经常会听到发展这个词
[00044.24-00045.76] 比如说国家发展了
[00045.76-00047.56] 社会发展了经济发展了
[00047.56-00049.32] 我们对于发展的定义
[00049.32-00052.04] 我们一项的人发展是好的
[00052.04-00053.04] 折血上
[00053.04-00054.00] 其实也不厉害
[00054.00-00056.16] 咱们来看一下在书上他怎么说的
[00056.16-00060.64] 它是发展是前进的上升的运动
[00060.64-00062.76] 咱们之前其实讲过运动这个点
[00062.76-00064.12] 不知道同学还记不记得
[00064.12-00065.44] 我们在物质里面讲
[00065.44-00067.64] 我们说运动就等同学
[00067.64-00069.96] 就等同学变化
[00069.96-00071.96] 变化的方向可以有好的
[00071.96-00072.88] 也可以有坏的
[00072.88-00076.16] 我们认为发展它只是一种好的变化
[00076.16-00078.48] 所以叫前进的上升的运动
[00078.48-00079.36] 所以我们就在这
[00079.36-00081.96] 莫认发展是好的变化
[00081.96-00084.32] 如果是你在这里去提发展是好的变化
[00084.32-00089.90] 因為這裡會涉到一個烤點,一個實際性的判斷體
[00089.90-00097.74] 經常會出這樣一個烤點,去探討發展與運動之間的關係
[00097.74-00103.04] 發展和運動之間的關係,其實如果用徒勢來表示的話,大圖小圈
[00103.04-00111.44] 如果我們認為外圈是運動變化的話,我們所說的發展只是變化當中一種好的變化
[00111.44-00114.68] 它只能是大圈当中的小圈
[00114.68-00117.04] 对吧 所以发展和运动之间的关系
[00117.04-00118.40] 应该是如此的
[00118.40-00120.84] 但是它烤判断体的时候一般怎么烤呢
[00120.84-00122.08] 它会给到两句话
[00122.08-00123.36] 同们来判论一下
[00123.36-00125.36] 这两句话到底哪就是对的
[00125.36-00126.48] 哪就是错的
[00126.48-00128.00] 是第一个它给到的是啥呢
[00128.00-00130.32] 它说发展是运动
[00131.84-00133.20] 这是第一句说法
[00133.20-00134.48] 第二句呢 它会说
[00134.48-00136.48] 说运动是发展
[00136.48-00137.52] 或者运动
[00137.52-00140.08] 即是发展 或者叫就是发展
[00140.08-00141.28] 同们来判论一下
[00141.28-00143.08] 这两句话就还是对的
[00143.08-00144.96] 如果人为这句是对的
[00144.96-00150.24] 那就在平文区当中也好或者是在弹幕当中也好可以回复一个一
[00150.24-00152.28] 如果人为第二句是对的你就打的
[00152.28-00153.92] 如果人为这两句都无对的话
[00153.92-00156.32] 你就可以在弹幕当中回复一个三
[00156.32-00158.12] 咱们需要主意去分析一下
[00158.12-00159.92] 咱们来看一下它是打说的
[00159.92-00162.04] 神帝哥在这里面给到说
[00162.04-00164.72] 发展是运动
[00164.72-00167.48] 发展我们刚才说了它等同于好的变化
[00167.48-00168.80] 那我们就等两代坏呗
[00168.80-00169.72] 它的意思是
[00169.72-00172.52] 好的变化是一种变化
[00172.52-00174.44] 那好的变化算成变化呢
[00174.44-00175.40] 当然算
[00175.40-00177.60] 所以它说发展是运动
[00177.60-00178.96] 种说法可不可以
[00178.96-00179.76] 可以
[00179.76-00183.56] 因为发展它就是运动的一种具体形势
[00183.56-00185.64] 第一种说法是对的
[00185.64-00186.68] 那第二种说法呢
[00186.68-00189.80] 它说运动就是发展
[00189.80-00192.44] 我们说了运动代表是变化对不对
[00192.44-00194.72] 变化可以有好的变化也可以有
[00194.72-00195.56] 坏的变化
[00195.56-00197.56] 只有什么样的变化才是发展
[00197.56-00200.48] 只有好的变化才算是发展
[00200.48-00203.36] 所以在这里它说运动就是发展
[00203.36-00205.80] 翻过来就是变化就是好的变化
[00205.80-00206.68] 可能吗
[00206.68-00207.28] 不可能
[00207.28-00209.64] 所以这句话说法是错误的
[00209.64-00211.64] 所以在这里面大家知道
[00211.64-00213.64] 在发展的含意当中
[00213.64-00216.76] 经常会考察到发展和运动之间的关系
[00216.76-00218.24] 作为判断提出现
[00218.24-00220.96] 同没有知道哪种说法是对的
[00220.96-00222.16] 哪种说法是错的
[00222.16-00223.36] 那这是第一个
[00223.36-00225.28] 我们了解什么是发展
[00225.28-00228.68] 那发展它是前进的上升运动是一种好的变化
[00228.68-00230.46] 这时候我们就要打个问号了
[00230.46-00231.52] 那为什么啊
[00231.52-00233.48] 就说发展是好的变化呢
[00233.48-00236.48] 它为什么就能呈现出来这种好的趋势呢
[00236.48-00238.36] 它这个好到底原资运呢
[00238.36-00240.52] 那这里面就会睡到第二个问题
[00240.52-00242.00] 就叫做发展呢
[00242.00-00243.04] 使制
[00243.04-00244.48] 它之所以是好的变化
[00244.48-00246.56] 是由它的实质所决定的
[00246.56-00248.12] 那发展的实质是什么呢
[00248.12-00249.48] 咱们来看一下说啊
[00249.48-00253.88] 它说发展的实质是新事务的产生和救数的灭亡
[00253.88-00255.88] 来同一般把实质化出来
[00256.08-00257.88] 标助一个两颗星
[00257.88-00259.38] 它是一个两星级的
[00259.38-00260.58] 实际性的点
[00260.58-00262.08] 这个地方大家要注意
[00262.08-00264.48] 我们在整个哲学上讲实质
[00264.48-00266.48] 或者在马上是嘴嘴上讲实质
[00266.48-00268.08] 一共就只有两个
[00268.08-00270.48] 一个是发展的实质
[00273.48-00275.28] 还有一个我们会在后面讲到
[00275.28-00277.48] 叫做变正否定的实质
[00278.88-00280.58] 这两个点大家注意一下
[00280.58-00283.08] 经常容易混小着靠我们
[00283.08-00286.02] 所以在这打住一下它是一个一混小店
[00286.02-00288.46] 我们来看一下发展的实质是什么呢
[00288.46-00292.80] 它发展的实质是新事物的产生和救质物的灭亡
[00292.80-00295.10] 老实这都能跟哪跟哪跟哪对吧
[00295.10-00296.96] 我这发展的实质外还没有理解清楚
[00296.96-00299.04] 又出现了两个机梦概念
[00299.04-00301.24] 一个叫新事物一个叫救质物
[00301.24-00304.40] 我们来看一下这里面小姐觉得发展的实质
[00304.40-00308.30] 其实本身上就是要对新事物和救质物这两个概念
[00308.30-00309.20] 有所理解
[00309.20-00312.52] 我们先来看一下到底什么是新事物什么是救质物
[00312.52-00315.34] 他和我们日常生活当中所说的心就
[00315.34-00317.38] 到底有没有不同的地方
[00317.38-00318.66] 我们先来看一下按
[00319.44-00320.96] 第一概念他说新事务
[00321.22-00324.82] 他们先是和国陵市前进方向
[00325.06-00327.12] 具有一眼大前途的东西
[00327.12-00329.92] 就是无能是赞私立事必然性
[00329.92-00331.46] 日驱命王的东西
[00331.72-00335.30] 什么叫做和国陵市前进方向就严大前途呢
[00335.56-00338.12] 就说在整个时间线的发展里面
[00338.38-00340.16] 在整个发展的规律当中
[00340.16-00342.48] 他是符合前進趨勢的
[00342.98-00347.08] 只要他的發展符合歷史前進的方向符合大事
[00347.08-00349.64] 也就是說他只要發展是大事所區
[00349.64-00352.20] 我們就認為這種事務他屬於什麼
[00352.70-00353.48] 新事務
[00353.72-00355.00] 而就是無事實上
[00355.00-00357.32] 就是無者的是喪失利值必然向
[00357.56-00359.36] 日區滅亡的東西
[00359.36-00361.16] 那就意味著就是無疑疚
[00361.16-00362.68] 被時代所淘汰了
[00362.68-00365.24] 他不能符合時代發展的要求
[00365.24-00366.64] 那這種就叫做
[00366.80-00367.56] 就是無
[00367.56-00372.12] 那发展的实质是新售的产生和救受的灭亡
[00372.12-00375.24] 就意味着核酷历史前面的东西越来越多
[00375.24-00379.24] 我们所说的被实在所原来水在后面的东西越来越少
[00379.24-00381.00] 那这种情况之下就叫做什么
[00381.64-00383.88] 就叫做发展的实质
[00383.88-00385.48] 那所以我同时们去注意的是
[00385.48-00387.64] 这是所谓的新就是我
[00387.64-00389.32] 它的一个区分的标准
[00389.32-00391.40] 和时间没有关系
[00391.40-00393.64] 和力量大小也没有关系
[00393.64-00395.00] 你不能说时间
[00395.00-00397.32] 李仙带越近他就越新
[00397.32-00400.36] 也不能说他的力量越大他就越新
[00400.36-00403.96] 觉得例子比如说我们现在提到的一个点
[00405.00-00408.12] 出现了一些新的日常生活当中的名字
[00408.12-00410.32] 比如说前几年的时候出现了一个字
[00410.32-00411.64] 就做娱乐之死
[00412.92-00414.56] 或者是什么娱乐之上
[00414.56-00416.20] 就是类伪这样的一个观念
[00416.20-00418.36] 最开始的时候像娱乐之上
[00418.36-00420.36] 出现了很多我们所说的这种
[00420.36-00421.76] 选胸节目也好
[00421.76-00424.96] 或者说就单纯的不人眼球的这种直播也好
[00424.96-00429.88] 它是否都很符合我们所说的这种语论制上或者语论制死的这种精神
[00429.88-00431.28] 但是我们会发现
[00431.28-00433.36] 那一块像这样的一个观念和理念
[00433.36-00435.80] 它确实是出现在21世纪的东西
[00435.80-00437.44] 那从时间线上来看
[00437.44-00439.24] 它应该是理我们生活很借
[00439.24-00440.92] 从时间上来看
[00440.92-00442.08] 它是新的
[00442.08-00443.96] 但从时间上来看它是新的
[00443.96-00445.92] 它能不能就叫做心事物呢
[00445.92-00446.92] 其实不行的
[00446.92-00449.16] 大家其实越来越能够感受到这种
[00449.16-00451.80] 语论制少语论制死的这种精神
[00451.80-00452.96] 带来了一种影响
[00452.96-00454.72] 它其实更加驱向在什么
[00454.72-00455.74] 休息的
[00455.74-00459.20] 所以就戴上出来了很多我们所说的这种选秀文化
[00459.20-00461.38] 甚说是有一些不认演求的文化
[00461.38-00463.68] 在直播当中大搞特搞一些
[00463.68-00465.84] 我们看起来原本会觉得
[00465.84-00471.10] 它不应该比宣言东西结果反而拿到台面上被大多数人所接受
[00471.10-00474.68] 对吧所以像这种我们所说的这种娱乐之上娱乐之似
[00474.68-00477.84] 它确实是出现在时间点上标些
[00477.84-00480.12] 但是它符合社会主流发展的要求吗
[00480.12-00481.22] 它其实不符合
[00481.22-00483.66] 所以你看到了去年还是前面的时候
[00483.66-00485.86] 国家是不是就出台了一些来的政策
[00485.86-00490.26] 来整制网络、娛乐、环境、来整制网络、娛乐、环境
[00490.26-00493.14] 我们当时就提到了这个什么叫做青朗行动
[00493.14-00494.70] 那为什么青朗行动出现
[00494.70-00497.14] 就是要把这样的观念和理念给它怎么样
[00497.14-00497.94] 比起掉
[00497.94-00499.98] 它不符合时代发展的大事
[00499.98-00501.22] 换句话说有一些东西
[00501.22-00503.42] 它不是社会主义主权力的东西
[00503.42-00505.10] 那它就不能算是
[00505.10-00506.98] 就是所以青朗行动于出来
[00506.98-00509.58] 所以我们就发现很多东西是不都拿掉了
[00509.58-00511.82] 那你看从这个角度来看
[00511.82-00513.66] 这个点出现的时间型
[00513.66-00516.10] 但它不能称之为叫做新事物
[00516.10-00517.50] 因为它不符合什么
[00518.34-00519.54] 发展的趋势
[00519.54-00521.90] 所以直接上的早晚
[00521.90-00525.38] 不是判定新就事物的标准
[00525.38-00526.30] 这是第一个
[00526.30-00527.94] 那说老师不看时间
[00527.94-00529.58] 那看力量大小行不行
[00529.58-00531.74] 那能不能说力量越强大的
[00531.74-00532.82] 就是新事物
[00532.82-00535.62] 力量运弱小的就是就是势物也不行
[00535.62-00537.10] 举个简单的例子来说
[00537.10-00539.22] 比如说我们经常提到自分主义
[00539.58-00542.58] 和我们所说的社会主义
[00545.58-00547.58] 那如果单从力量上来看
[00547.58-00550.58] 在现在的今天是否资本主义力量会更强大一些
[00550.58-00553.58] 因为全世界范围之内那么多的主义人国家
[00553.58-00556.58] 大多数的国家都是资本主义国家吧
[00556.58-00559.58] 而社会主义国家是为少数所坚持的
[00559.58-00562.58] 但能不能说社会主义国家为少数所坚持
[00562.58-00564.58] 所以社会主义就是有救数物
[00564.58-00565.58] 当然不是
[00565.58-00567.58] 虽然社会主义力量很小
[00567.58-00569.34] 它很明顯是心事物
[00569.34-00571.26] 按照馬斯內套旅熱來說的話
[00571.26-00573.90] 社會主義必將取代資本主義
[00573.90-00575.78] 既然在社會主義帶領之下
[00575.78-00578.14] 我們能夠進入到什麼共產主義
[00578.14-00581.02] 所以你看從力量的大小上來話分的話
[00581.02-00583.98] 並不能說力量越大的就是心事物
[00583.98-00586.30] 資本主義社會的壁端有沒有爆發出來
[00586.30-00587.86] 暴露無疑同學們
[00587.86-00589.98] 從最開始的疫情開始
[00589.98-00591.10] 我們就會發現
[00591.10-00592.78] 我們國家搞的集體主義
[00592.78-00595.10] 就是可以為了保護老百姓生命
[00595.10-00598.02] 我们在这个时间分析之内停工停差
[00598.02-00598.50] 对吧
[00598.50-00600.74] 国家为大家免费去做疫苗
[00600.74-00604.06] 后来我们开始合作开始到处去抹击
[00604.06-00605.50] 这都是国家来为我们做的
[00605.50-00607.66] 这是社会主义他独特的优越性
[00607.66-00610.78] 有很多同一说说老师我觉得西方很好
[00610.78-00612.94] 西方宣辟主宣辟各性
[00612.94-00614.74] 西方喜欢给人加太队
[00614.74-00616.54] 说白了就喜欢给人加什么
[00616.54-00617.90] 加各种各样的标签
[00617.90-00619.18] 他越标心厉义
[00619.18-00623.14] 他就越会把人民加上个性的这样的一个加索
[00623.14-00626.64] 他把每一個人民群眾都打上一個獨立的表情
[00626.64-00629.14] 大家護不見人們就沒有辦法團結再一塊
[00629.14-00632.14] 甚至包括我們看到他的民主政治
[00632.14-00633.64] 都是金錢政治
[00633.64-00635.44] 沒有金錢怎麼用選票
[00635.44-00637.44] 你看像這樣的資本主義國家
[00637.44-00639.24] 他在主流的發展趨勢上
[00639.24-00641.64] 其實不符合時代發展的趨勢
[00641.64-00645.44] 所以我們可以說資本主義在整個發展的潮流當中
[00645.44-00648.74] 他其實是在人類社會發展當中的什麼
[00648.74-00651.34] 就是因為他不符合歷史發展的
[00651.34-00652.36] 必然趨勢
[00652.36-00653.38] 所以在这里面
[00653.38-00655.56] 如果就资问主义和收主义来说
[00655.56-00656.60] 那收回主义
[00656.60-00659.02] 他是先收资问主义是
[00659.02-00659.74] 就是
[00659.74-00662.10] 那这里面我们就会发现不业
[00662.86-00665.22] 力量论也不业时间论
[00665.22-00667.66] 那这种很多同学就产生疑问了说
[00667.66-00669.26] 那你看区分心就是我
[00669.26-00671.26] 你既不用力量大小
[00671.26-00672.90] 也不用时间早晚
[00672.90-00673.98] 那你用什么呢
[00673.98-00675.66] 在这里面有一个点
[00675.66-00677.96] 同样在书上给它标准出来
[00677.96-00680.54] 它说区分心就数的标志
[00680.54-00687.18] 两星期在于是否同事务发展必然趋势相符合
[00687.18-00690.14] 所以趋分心就数的标志在什么上大助理下
[00690.14-00693.34] 就两个字就在于他的趋势上
[00693.34-00695.50] 只要符合历史发展前面方向的
[00695.50-00698.54] 符合时代趋势的那他就叫做新事务
[00698.54-00700.46] 如果不符合就叫做什么
[00700.46-00704.62] 就数所以这里面大助理下职合趋势有关
[00704.62-00706.46] 你不要觉得这句话一出来
[00706.46-00707.74] 你给他被过了之后
[00707.74-00710.42] 你就说老师,OK,这不是很简单吗?
[00710.42-00721.30] 你看四很简单,但是一旦坐体的时候,他立了在这,这个上面给你跑坑,你就很认识网看了一跳,比如说,他考卫老判断体啊
[00721.30-00731.82] 他说,心事我之所以能够战胜救受的根本原因,是因为心事物的力量很强大,他们来判断一下正说法对不对
[00731.82-00733.82] 注意我的说法
[00733.82-00737.82] 说新生物之所以能够战胜救失务的根本原因
[00737.82-00741.82] 是因为新生物的力量会更强大
[00741.82-00743.82] 正说法对吗
[00743.82-00745.82] 很明显不对
[00745.82-00747.82] 因为他在这里面说了什么
[00747.82-00750.82] 新生物战胜救失务的根本原因在什么
[00750.82-00752.82] 新救失务的区分标志
[00752.82-00754.82] 新生物能够战胜救失务的根本原因
[00754.82-00758.82] 是因为新生物符合时代发展的区域和要求
[00758.82-00759.82] 而救失务怎么样
[00759.82-00764.18] 所以先是5之罪能够战成就是5的根本原因在于什么上
[00764.18-00765.38] 在于趋势上
[00765.38-00766.54] 所以我们才说
[00766.54-00768.42] 趋分心就是5的标志
[00768.42-00770.26] 或者叫做根本标志
[00770.26-00771.30] 不在于什么
[00771.30-00773.02] 不在于时间早晚
[00776.34-00778.74] 也不在于力量大小
[00778.74-00779.62] 这句话
[00779.62-00781.78] 一定要老老的客在心里面
[00781.78-00783.78] 同学们一定要老老的客在心里面
[00783.78-00786.50] 他特别喜欢在这里方给我们跑烤
[00786.50-00788.14] 我们被原文被了很好
[00788.14-00789.54] 但是一出现这种
[00789.54-00799.44] 什么根本原因,之所以怎么样,然后你就开始梦了,你觉得说得也挺对不对,根本根源上的点,再有啥上,再有缺失上。
[00799.44-00808.24] 这个就是我们所说的发展的实质发展实质,新售的产生和救生的灭亡,以及如何去分心就事务。
[00808.24-00810.04] 但是在这里面同时还要注意
