[00000.00-00004.60] 今天我们要进入到马斯主义哲学当中的微霧论的内容的学习
[00004.60-00006.16] 那么在讲微霧论当中
[00006.16-00009.00] 叫讲到微霧的第一个魔块就叫做物质
[00009.00-00014.40] 那我们今天主要要学的内容就是第一个搞定于和物质有关的两个达替地晓
[00014.40-00017.32] 来帮我们应对8%以上的题目
[00017.32-00020.92] 第二个就是他会在考试的时候出一些一回小的点
[00020.92-00025.00] 所以在物质这个地方我们要搞定两段混晓关系
[00025.00-00028.80] 那这两段混晓关系是物质和运动之间的关系
[00028.80-00030.96] 以及運動和禁止這件關係
[00030.96-00032.12] 不要把他們高混了
[00032.12-00033.04] 那第三個呢
[00033.04-00035.84] 這是在今天的學習內容結束之後
[00035.84-00037.24] 在這個子魔塊
[00037.24-00040.44] 我們也要形成一個知識點的框架和書裡
[00040.44-00041.56] 但這個子魔塊呢
[00041.56-00044.40] 它只是為無論當中的一個魔塊而已
[00044.40-00047.24] 那整個為無論核心的大的思維導徒
[00047.24-00049.24] 我會在整個為無論結束之後
[00049.24-00050.64] 分享給同學們
[00050.64-00052.24] 編譯同學們後期去呼吸
[00052.24-00054.84] 那如果大家有需要這個部分內容的話
[00054.84-00057.60] 大家老危險就可以在評論區當中留言
[00057.60-00060.32] 我看到之后就会很想给大家了
[00060.32-00062.08] 我们要讲北部论
[00062.08-00064.32] 其实我们要书接上回
[00064.32-00068.04] 把我们的视角从前一天的科学往回来一一
[00068.04-00070.28] 咱们上一节课其实讲到了
[00070.28-00072.68] 马斯主义哲学当中的训论
[00072.68-00073.04] 对吧
[00073.04-00074.92] 咱们在训论当中讲了两个点
[00074.92-00078.08] 第一个在训论当中讲了哲学是什么
[00078.08-00079.56] 讲了哲学的含意
[00079.56-00082.32] 哲学的基本问题以及哲学的派遍
[00082.32-00082.96] 不会吧
[00082.96-00084.00] 有头有告诉了老师
[00084.00-00084.96] 我现在已经忘了
[00084.96-00085.76] 你没忘
[00085.76-00087.24] 你没有忘了如果忘了的话
[00087.24-00088.58] 把框架拿出来履率
[00088.58-00089.78] 我们讲了哲学
[00089.78-00091.14] 今天是哲学当中
[00091.14-00094.02] 我们去讲书了马斯主义哲学
[00094.02-00094.46] 对吧
[00094.46-00096.16] 我们说了马斯主义哲学的特性
[00096.16-00097.92] 它是科学的
[00097.92-00099.02] 是有关和方法论
[00099.02-00100.88] 也就是它是正确的
[00100.88-00102.76] 所以在这里才出现了
[00102.76-00103.76] 科学的
[00103.76-00105.88] 它本身就是一个细节上的考点
[00105.88-00106.42] 对吧
[00106.42-00108.76] 但是回味到马斯主义哲学我们说了
[00108.76-00111.56] 马斯主义哲学其实包括两个部分
[00111.56-00113.46] 一个叫做变正为无主义
[00113.46-00115.24] 一个叫做历史为无主义
[00115.24-00120.48] 變正為屋主義,研究的是整個自然界,他的運行的規律
[00120.48-00123.56] 在變正為屋主義當中,我們就要講第一個
[00123.56-00126.52] 馬斯主義哲學,他本身堅信為屋主義
[00126.52-00131.36] 馬斯他所堅信的為屋主義當中的物質到底是什麼樣子
[00131.36-00134.96] 我們在這裡就要講到第一個點,美無論
[00134.96-00138.56] 那第二個呢,馬斯是變正的看待這個物質世界
[00138.56-00142.84] 他要去觀測這個世界,他不是用鏡指不變的眼光觀測世界
[00142.84-00145.24] 而是用变化发展的眼光去看
[00145.24-00147.36] 那在这里面就会出现第二个
[00147.36-00149.12] 就是如何看在这个世界呢
[00149.12-00150.96] 叫做变政法
[00150.96-00154.24] 那马斯得出世界是物质的这样的一个结论
[00154.24-00157.76] 马斯也得出了说世界上的东西都处在变化当中
[00157.76-00159.48] 那他怎么得出这样的结论呢
[00159.48-00160.16] 我们说了
[00160.16-00161.80] 他不是躺在家里想的
[00161.80-00164.08] 而是通过去做得出来的结论
[00164.08-00165.60] 于是强调时间
[00165.60-00167.68] 我们又了第三个观点叫做
[00167.68-00168.48] 认识论
[00168.48-00169.48] 在这里面
[00169.48-00171.12] 我们要把这个框架
[00171.12-00172.88] 一定要做到蓝属于心
[00172.88-00174.56] 因为他在有的考试的时候
[00174.56-00175.88] 他会给你一个案例
[00175.88-00178.48] 然后这个案例给到你ABCD4的选项
[00178.48-00179.52] 你觉得这四个选项
[00179.52-00180.12] 我的天呢
[00180.12-00181.96] 我感觉他全都对吧
[00181.96-00183.52] 我感觉他在这里面
[00183.52-00184.56] 四个选项都能选
[00184.56-00186.04] 但是他是一个单选题
[00186.04-00187.84] 那如果出现这样的题目的时候
[00187.84-00188.88] 你就要去看一下
[00188.88-00190.12] 他在有的考试的时候
[00190.12-00192.28] 他会在提案当中的最后一句话
[00192.28-00193.20] 给你去设置
[00193.20-00194.48] 怕了怕了按例说来了
[00194.48-00195.52] 这句句话说
[00195.52-00198.08] 他体现的维吾论管理是
[00198.08-00200.92] 或者说他体现的变政法管理是
[00200.92-00202.40] 这个时候就考到了什么呢
[00202.40-00204.76] 就考到了知识的框架定位
[00205.64-00206.72] 那在这里面
[00206.72-00209.44] 我们就在红官上去明确
[00209.44-00210.60] 维吾问当中
[00210.60-00211.92] 讲了哪几个概念
[00211.92-00213.08] 编证法当中
[00213.08-00214.24] 讲了哪几个概念
[00214.24-00215.40] 认识论当中
[00215.40-00216.60] 讲了哪几个概念
[00216.60-00218.72] 所以这个框架对我们来说是
[00218.72-00220.12] 非常重要的一框架
[00220.12-00222.12] 它其实是有助于我们打提的
[00222.12-00223.32] 但是如果现在
[00223.32-00224.52] 我讲到这个地方
[00224.52-00226.08] 同学们其实是记不住的
[00226.08-00226.88] 没有关系
[00226.88-00229.40] 这个框架我们会在后面的考试当中
[00229.40-00231.26] 一直给大家去圣后
[00231.26-00233.96] 然后在我们的整个马斯额课程结束之后
[00233.96-00235.74] 也会再给大家把这个框架
[00235.74-00237.30] 从头到尾输里面
[00237.30-00239.34] 所以同学们现在先有一个印象
[00239.34-00242.06] 就是我们接下要讲的马斯主义者学的东西
[00242.06-00245.96] 第一个部分是研究自然接当中的变政维护主义
[00245.96-00249.32] 然后我们先来学习维护主义
[00249.32-00251.24] 也就是维护论的内容
[00251.24-00253.94] 我们维护论的一共包括三个部分
[00253.94-00256.50] 这三个部分第一个就是要讲讲物质
[00256.50-00258.04] 第二個講講一使
[00258.04-00259.84] 你三個講講物質一使
[00259.84-00261.10] 變成關係
[00261.10-00264.26] 這是為無論當中最核心的三個內容
[00264.26-00266.50] 我們要既然要先講為無論
[00266.50-00270.18] 我們先來講講為無論當中的第一個點就是物質
[00270.18-00271.14] 我們來看一下
[00271.94-00273.40] 在今天這些課道中
[00273.40-00276.30] 我們要講物質的三個方面的內容
[00276.30-00278.50] 第一個就是我們天天談物質
[00278.50-00281.22] 那馬斯所認為的物質到底是什麼
[00281.22-00283.94] 它和我們生活當中所經常談到的物質
[00283.94-00285.38] 有什麼樣的區別呢
[00285.38-00287.68] 谁能第一个我们要知道物质是什么
[00287.68-00290.08] 这个就叫做物质的概念
[00290.08-00291.28] 那这是第一个
[00291.28-00294.08] 那第二个到我们了解了物质是什么之后
[00294.08-00295.48] 我们第二个就要知道
[00295.48-00297.98] 这个物质它到底是怎么回事
[00297.98-00300.28] 它是怎么运动电话发展的
[00300.28-00302.28] 这个时候就会讲到第二点
[00302.28-00304.78] 叫物质的存在方式
[00304.78-00306.58] 我们就要做运动
[00306.58-00310.28] 那我们同物质知道了物质是什么
[00310.28-00311.98] 也知道了物质的存在方式
[00311.98-00313.88] 那第三个点就要解决的就是
[00313.88-00315.48] 那这个运动者的物质
[00315.48-00316.96] 他到底存在于何处
[00316.96-00318.20] 那在这里面就会讲到
[00318.20-00321.04] 第三个点叫运动者的物质的存在方式
[00321.04-00322.84] 叫做10空
[00322.84-00325.60] 同学们现在红官上有这三个框架
[00325.60-00327.80] 我们会主义去为大家去书里按
[00327.80-00329.52] 那首先先来看一下第一个点
[00329.52-00330.84] 就是我们来看一看
[00330.84-00332.08] 哲学上的物质
[00332.08-00333.52] 我们生活到中的物质
[00333.52-00335.52] 到底有什么样不一样的地方
