[00000.00-00003.70] 那么了解了什么是形容处罚之后呢
[00003.70-00006.54] 那现在我们来看一下谁可以实施形容处罚
[00006.54-00008.20] 我们前面请大家说过
[00008.20-00010.74] 形容处罚他属于具体形容形为
[00010.74-00015.88] 而我们所说的具体形容形为一般体现的是关管民那这里面
[00015.88-00018.70] 能够实施形容处罚的主体
[00018.70-00021.66] 其实就是具体形容形为当中我们所提到的内容
[00021.66-00023.52] 所提到那个败亚后的关
[00023.52-00026.46] 那我们来看一下实施形容处罚的主体有哪些
[00026.46-00028.60] 第一个就是一般形容机关
[00028.60-00032.08] 一般形容器官可以在他的旨权範圍之内是形容触法
[00032.08-00033.68] 这个相当来是表检单
[00033.68-00035.44] 比如说我们所说的政府
[00035.44-00037.88] 比如说合备省政府可不可以实施形容触法
[00037.88-00038.64] 当然可以
[00038.64-00042.16] 因为它就是我们所说的正式八级我们所说的杨文靠
[00042.16-00043.16] 形容器官对吧
[00043.16-00046.40] 所以这种说我们所提到的一般形容器官
[00046.40-00048.24] 咱们在前面具体形容器官当中
[00048.24-00049.92] 给大家讲得很清楚
[00049.92-00052.44] 那第二个就是综合执法机官
[00052.44-00053.84] 这个综合执法机官
[00053.84-00057.24] 它其实是为了提高相应的形容触法的效率
[00057.24-00059.60] 那从而设立的综合执码机关
[00059.60-00061.20] 咱们来看一下综合执码机关
[00061.20-00062.80] 在定义上他说的是什么
[00062.80-00065.16] 说是国家在城市管理市场间
[00065.16-00066.96] 都生在环境文化市场
[00066.96-00071.36] 交通运输应计管理等领域推行建立综合执码制度
[00071.36-00074.24] 相对集中形状处发权的这样的一种
[00074.24-00075.88] 叫做综合执码机关
[00075.88-00079.44] 所以综合执码机关的一般都是集中处乏的这种端位
[00079.44-00083.16] 这是他把原本分散于多个形状机关的处发权
[00083.16-00084.88] 放在一个集关手里
[00084.88-00086.64] 让这一个集关来形势
[00086.64-00089.24] 这个时候就出现了我们所说的什么
[00089.24-00091.00] 综合执法机管
[00091.00-00092.44] 最常见的就是什么
[00093.44-00094.88] 就是成管嘛 对吧
[00094.88-00098.04] 你看成管他可不可以制进行城市管理
[00098.04-00100.96] 当然可以成管可不可以进行市场间多
[00100.96-00102.20] 当然管理可以
[00102.20-00107.16] 对吧所以你看他是把多个领域内的分散的执法权集中到了成管
[00107.16-00108.00] 一个人身上
[00108.00-00110.56] 但是像这种我们所说的集中处传
[00110.56-00112.08] 他可能会存在一个问题
[00112.08-00112.92] 什么问题呢
[00112.92-00115.32] 说他有可能会形成权力上的
[00115.32-00118.12] 無限的這種 澎大也說說來了
[00118.12-00119.76] 它就是一個權利的一個合級
[00119.76-00120.92] 所以這種情況之下
[00120.92-00122.48] 如果這種集中處罰
[00122.48-00124.40] 形成權利具有罰的這種情況
[00124.40-00126.40] 不對它進行相當的限制
[00126.40-00129.68] 可能會很大程度上侵犯老百姓的權益
[00129.68-00130.88] 所以在行政
[00130.88-00132.64] 我們所說的這種綜合
[00132.64-00134.92] 執法機關或者是這種集中處罰上
[00134.92-00136.84] 它其實就會加上一些限制
[00136.84-00138.12] 比如說在主體上
[00138.12-00141.00] 只要國務院或省政府可以決定
[00141.00-00143.84] 哪個機關可以形式形容處罰權
[00143.84-00146.72] 並不是說 你想讓一個單位去搞形容處理法
[00146.72-00148.60] 它就一定可以搞形容處理法的不是
[00148.60-00149.80] 只有誰可以決定
[00149.80-00151.96] 這個國務院和省爭服才可以決定
[00151.96-00155.32] 第二個就是在限制我們所說的這個行權上
[00155.32-00156.96] 大家注意一下 這個點要記一下
[00156.96-00159.16] 綜合這法機關 它的一個限制
[00159.16-00161.36] 第一個就是我們剛才所說的
[00161.36-00164.08] 並不是說 你想讓哪個單位
[00164.08-00166.48] 它想有集中處理法選 它就有了
[00166.48-00170.64] 你想讓它有集中處理法選 只有誰能決定
[00170.64-00172.96] 只有國務院
[00172.96-00176.68] 或者是省政府才能去决定
[00176.68-00179.80] 谁能够行事集中出发权
[00179.80-00180.88] 这是第一个点
[00180.88-00182.84] 并不是说现在合备省政府说了
[00182.84-00184.44] 咱们出于行政处发的
[00184.44-00187.04] 比如说现在实家装市人的政府说了
[00187.04-00189.04] 咱们出于行政处发的考量
[00189.04-00191.40] 现在我们就让什么
[00191.40-00193.12] 比如说成管路门
[00193.12-00194.44] 或者是工商管理部门
[00194.44-00195.96] 让它去行事集中出发权
[00195.96-00197.80] 让它去进行城市管理市场间
[00197.80-00199.40] 都只要发现问题就去发吧
[00199.40-00200.72] 这种是不行的
[00200.72-00205.64] 你到底哪一个机关可以形势行政集中的处罚
[00205.64-00207.76] 只能有国务院或省政府来说算
[00207.76-00209.48] 要么就是国务院给你下面稳了
[00209.48-00211.56] 说你这个时候哪个部门可以做
[00211.56-00214.52] 要么就是合备省政府给你下面门规定了
[00214.52-00215.80] 如果不是的话
[00215.80-00216.48] 那就不行
[00216.48-00218.36] 因为权力的集中很可怕
[00218.36-00218.64] 对吧
[00218.64-00220.20] 所以必须要对他经限制
[00220.20-00221.84] 第二个就是他要注意
[00221.84-00224.08] 虽然说综合直法机关
[00224.08-00225.64] 他属于是我们所说的什么
[00225.64-00226.52] 集中处罚
[00226.52-00228.76] 因为他行势的是集中处罚权
[00228.76-00230.80] 但是是不是什么厨发特别设定呢
[00230.80-00233.12] 比如说成管他可以去法款
[00233.12-00235.48] 可以去贪货相应的什么
[00235.48-00237.80] 许可证可以掉销许可证
[00237.80-00239.12] 只要他查数时
[00239.12-00240.20] 他这些都可以做
[00240.20-00241.64] 但是是不是成管意味着
[00241.64-00243.80] 他任何的形状处还总理都能做吗
[00243.80-00244.36] 不行
[00244.36-00246.20] 只有一个例外打住一下
[00246.20-00248.80] 我们说了限制人身自由的形状处发权
[00248.80-00250.52] 也就是行政区留
[00252.12-00253.36] 成管就做不了
[00253.36-00255.16] 行政区留只能使来做
[00255.16-00258.20] 限制人身自由的厨发权的行政区留
[00258.20-00258.92] 是呢
[00259.88-00261.16] 我们前面说了又是来
[00261.40-00262.12] 是呢
[00262.28-00263.56] 公安机关来呀
[00265.64-00266.60] 听过成为
[00266.76-00268.28] 说给你抓起来关几天嘛
[00268.28-00268.84] 那不行
[00268.84-00269.68] 所以在这里啊
[00269.68-00270.72] 我们说了限制
[00270.92-00272.92] 人生自由的行政居理碗
[00272.92-00274.52] 他只能有关居碗来
[00274.52-00275.96] 所以这是我们所说的什么
[00275.96-00276.56] 集中处法
[00276.56-00277.52] 对他的一个限制
[00277.52-00278.28] 因为他呢
[00278.28-00280.28] 其实是可以把多种
[00280.28-00281.56] 我们所说的领域的执法
[00281.56-00283.48] 这就是制度基于一身
[00283.48-00284.72] 那这个时候他就像什么
[00284.72-00285.40] 他就像检了
[00285.40-00286.56] 无事个装备一样
[00286.56-00289.20] 那這種情況之下不對他經常限制的話
[00289.20-00290.40] 誰能打得過他呢?
[00290.40-00293.04] 對吧?所以在這裡面他很容易侵犯老百姓的權益
[00293.04-00294.12] 所以對他經限制
[00294.12-00295.72] 那這個就是我們所說的
[00295.72-00298.72] 實施主體當中的低類叫做行政機關
[00298.72-00300.80] 但是咱們前面也給大家去說了
[00300.80-00304.48] 說我們所說的關管民當中的關
[00304.48-00306.72] 除了我們所說的行政機關之外
[00306.72-00310.56] 還包括被受權的組織以及委託組織
[00310.56-00312.40] 實施行政處法也是一樣的
[00312.40-00315.36] 行政處法也可以去委託
[00315.36-00318.44] 也可以去找相應的授權的組織
[00318.44-00319.52] 在這裡他說了
[00319.52-00321.76] 說法律法規的授權
[00321.76-00322.76] 是怎麼樣呢
[00322.76-00325.60] 在這裡面他給到了說法律法規授權的距離
[00325.60-00330.48] 就管理公務事務執政的組織可以在法律規定的權限之內實實相的行政處法
[00330.48-00331.76] 比如在這裡面大家注意
[00331.76-00333.84] 法律法規授權向組織之後
[00333.84-00336.36] 組織就具有相應的處法權
[00336.36-00337.32] 這個點大注意
[00337.32-00338.64] 但是他這裡明確了
[00338.64-00340.64] 誰可以對組織監授權
[00340.64-00342.96] 並不是說任何一個規範性法文件
[00342.96-00344.80] 都可以對組織監授權
[00344.80-00347.20] 只有法律和法規才可以
[00347.20-00349.36] 要么是行政法規要么是什麼
[00349.36-00352.00] 要么是地方行法規
[00352.00-00352.96] 誰不行
[00352.96-00354.56] 規章不能受權
[00355.76-00357.52] 規章不受權
