[00000.00-00005.00] 好,我們再來看一下國際經濟當中,第二節內容就是經濟全球化
[00005.00-00016.50] 對經濟全球化,我們只要掌握一下它的含義,它的具體表現,這個點在之前考試當中,它有可考性,但是頻率超低,有一些地區,甚至都不好不玩,作為重點
[00016.50-00020.50] 所以在這裡面,我們就把經濟全球化的基本概念掌握就可以了
[00020.50-00024.58] 經濟全球化是在世界放在之內超越國際
[00024.58-00027.54] 然後對外貿易資本流動技術轉移等等
[00027.54-00029.58] 就是在全球放在內的有機整體
[00029.58-00030.86] 這個叫經濟全球化
[00030.86-00032.62] 也是現在我們經常會聽到的
[00032.62-00033.90] 這樣的一個經濟熱詞
[00033.90-00035.10] 對吧就是說我們說了
[00035.10-00038.14] 實熱舞技術的發展和人類的不斷的進步
[00038.14-00040.26] 歸國之間的聯繫越來越緊密
[00040.26-00043.14] 那體現在經濟上就是表現的經濟全球化
[00043.14-00044.42] 那重點我們來看一下
[00044.42-00046.14] 經濟全球化它的一個表現
[00046.14-00047.46] 這個地方大家注意一下
[00047.46-00049.74] 他考一个医生级的理解形的题目
[00049.74-00050.94] 同时们只需要知道
[00050.94-00052.42] 他出到具体案例的时候
[00052.42-00055.14] 他属于哪一种全球化的形式就可以了
[00055.14-00056.86] 不需要大家去把这个概念
[00056.86-00058.82] 背下来只要去掌握他就行
[00058.82-00060.14] 但这个点我刚才有说了
[00060.14-00062.02] 他其实是个别地区都不太考察的
[00062.02-00063.82] 但是基于有一些地区考察
[00063.82-00065.22] 咱们是面向大家的
[00065.22-00066.18] 所以在这同时
[00066.18-00068.82] 他们们去掌握一下他的一些基本含意
[00068.82-00070.10] 那基于全球化当中的
[00070.10-00072.46] 第一个点就叫做生产全球化
[00072.46-00073.82] 什么叫生产全球化呢
[00073.82-00074.70] 你看他说了
[00074.70-00076.78] 说生产领域的国际分工
[00076.78-00078.58] 以血條不斷的深化加強
[00078.58-00080.10] 世界各國的生產
[00080.10-00081.70] 相互聯繫相互作用
[00081.70-00083.80] 各國的深量活動成為世界經濟鏈條
[00083.80-00084.86] 當中的一個環節
[00084.86-00085.98] 說了很多
[00085.98-00087.42] 他想表達的是什麼呢
[00087.42-00088.70] 他要表達的就是
[00088.70-00089.42] 最後只句話
[00089.42-00091.10] 才是在考試到中間出現的
[00091.10-00092.14] 通常把它畫出來
[00092.14-00093.14] 他要說的說
[00093.14-00095.50] 許多商品雖然品牌是某國的
[00095.50-00098.78] 但其實它是由許多國家共同協作完成的
[00098.78-00101.50] 這個就叫做我們所說的經濟全球換
[00101.50-00102.82] 只有這麼一個東西
[00102.82-00104.66] 他在生產的過程中比如說
[00104.66-00107.94] 主架一座 主架非记
[00107.94-00109.42] 主架非记的话
[00109.42-00111.14] 你看这个非记的机头
[00111.14-00112.58] 它可能是日本制造的
[00112.58-00113.82] 我只许个简单的例子
[00113.82-00114.78] 什么叫生产权化
[00114.78-00115.70] 大家感受一下
[00115.70-00117.54] 非记的机头是日本制造的
[00117.54-00119.26] 非记的翅膀是得我制造的
[00119.26-00121.02] 非记的黑侠是中国制造的
[00121.02-00123.22] 非记的经验是其他国家制造的
[00123.22-00124.66] 然后它的作语的提供
[00124.66-00126.50] 我们说是印度提供的
[00126.50-00127.50] 等等这些的
[00127.50-00128.98] 你看这一架完整的非记
[00128.98-00131.26] 它可能是从属于某一个国家的品牌
[00131.26-00132.90] 但是它的我们所说的什么
[00132.90-00135.98] 他的祖裝他的生產可能是在世界範圍之內
[00135.98-00138.28] 某一個國家負責某一個領步驟
[00138.28-00140.46] 所以他說了說品牌雖然是某國的
[00140.46-00142.94] 但是是由其他國家共同寫作的
[00142.94-00145.96] 比如說大家的那個蘋果手機是不是就是這個樣子
[00145.96-00147.56] 所以這個叫生產權權權權化
[00147.56-00149.98] 這是分工比較明顯了
[00149.98-00151.52] 那這個叫生產權權權權化
[00151.52-00153.22] 那第二個就是某一選的話
[00153.22-00154.74] 某一選權權權化就是他說
[00154.74-00156.98] 隨著各國對開放程度提高
[00156.98-00160.56] 世界各國都被洗澡到國際某一當商品就很當中
[00160.56-00161.84] 其實他說的
[00161.84-00168.84] 不过之伴,所以贸易全球华就是在全世界翻为内买卖
[00168.84-00174.84] 叫全世界翻为内买卖,这个就叫做贸易全球华
[00174.84-00177.84] 这里面的贸易全球华就比如说我们所说的
[00177.84-00182.84] 组装一个麻烦,那组装这个麻烦的时候可能这个麻烦的头发是有日本提供的
[00182.84-00187.84] 然后麻烦的衣服时候中国提供,然后麻烦的眼睛是欧洲提供的
[00187.84-00190.08] 把他的身体是有韩国提供的
[00190.08-00191.80] 你看这是我们所说这个娃娃
[00191.80-00192.96] 他在不同国家生产
[00192.96-00194.04] 生产了之后
[00194.04-00196.24] 他就拿到我们所说的一个国家祖装
[00196.24-00198.40] 假设他就是我们所说的
[00198.40-00199.88] 兼不债了
[00199.88-00201.56] 假设他是兼普债品牌的娃娃
[00201.56-00202.64] 在各国家祖装
[00202.64-00204.12] 昨晚我们之后这个娃娃
[00204.12-00205.76] 从处于兼不债的一个品牌
[00205.76-00207.28] 这个品牌他就要怎么样
[00207.28-00208.00] 卖出去吗
[00208.00-00210.48] 他生产这个东西最为主要是赚钱
[00210.48-00211.64] 于是他把这个娃娃
[00211.64-00213.20] 分析销斗全国各地去
[00213.20-00214.40] 那可能在中国卖
