[00000.00-00006.94] 我们今天来往下看,我们说具体形狄行为没有给大家讲三大类,刚刚我们讲了形容处伐。
[00006.94-00010.94] 接下来,我们再来看一下,第二个叫做形证许课。
[00010.94-00016.44] 形容许课呢,我们其实和形容处伐的基本框架差不多,我们首先要知道形容许课是什么?
[00016.44-00022.74] 形容许课的概数,从形容许课的概数当中,还要知道形容许课有哪些种类?
[00022.74-00024.80] 所以这是形容许课的事什么?
[00024.80-00026.34] 该出当中我们要知道的
[00026.34-00027.00] 那第二个呢
[00027.00-00027.88] 我们就要去了解
[00027.88-00029.48] 那家是行政许可
[00029.48-00030.72] 他从无道有
[00030.72-00032.56] 也需要相应的法律规定
[00032.56-00034.80] 那这里面也会提到和行政处法一样的
[00034.80-00036.08] 就是行政许可的
[00036.08-00037.12] 设定问题
[00037.12-00037.92] 只是第二个
[00037.92-00038.72] 那第三一个呢
[00038.72-00040.76] 就是谁可以实施行政许可呢
[00040.76-00042.72] 比如说我通过了4月40号
[00042.72-00044.40] 要给我发箱的司法征书
[00044.40-00046.04] 谁给我发4月40号
[00046.04-00048.68] 我通过了鸡匙鸡匙鸡匙鸡匙
[00048.68-00050.16] 那就是要给我发鸡匙匙匙匙匙
[00050.16-00051.18] 对不对就发价照
[00051.18-00053.56] 那这个时候你发价照的时候谁有选举发
[00053.56-00055.80] 那这个时候就会摄一到行政许课的什么
[00055.80-00056.64] 实施
[00056.64-00057.68] 但是行政许课
[00057.68-00059.84] 他相对于来说比较特殊
[00059.84-00061.80] 那他是一般禁止的解除
[00061.80-00062.60] 一会我们会讲到
[00062.60-00064.64] 这是原本你没有资格做这个事
[00064.64-00067.28] 后来你通过相的资制的考试和准
[00067.28-00068.52] 你有了相的资格
[00068.52-00069.40] 那就意味着
[00069.40-00073.52] 对于你获得资格去做相的事情的这一件事来看
[00073.52-00074.44] 我要怎么样
[00074.44-00076.16] 我要定期的回头进行
[00076.16-00077.24] 渐读和渐查
[00077.24-00078.52] 就看你还没有出现
[00078.52-00081.00] 我們所說的違法的這種情況出現
[00081.00-00084.00] 這時候就會睡到監督檢查問題
[00084.00-00086.44] 這時形狀虛可四個方面的內容
[00086.44-00088.04] 首先來看一下第一個
[00088.04-00090.40] 到底什麼形狀虛可
[00090.40-00093.24] 在這裡他給到了一個概念
[00093.24-00094.48] 他說形狀虛可
[00094.48-00097.48] 是指形狀虛觀根據公民法人
[00097.48-00099.64] 或其他組織的申請
[00099.64-00100.88] 經意法審查
[00100.88-00103.68] 遵預其從事特定活動的行為
[00103.68-00106.32] 這個就是我們所說的形狀虛可
[00106.32-00109.12] 所以从这里面我们亲能看得出来一个点
[00109.12-00112.84] 就这个形容许可是你原本没有资格去做这个事
[00112.84-00114.72] 但是你经过申请之后
[00114.72-00117.32] 我可以准许你从事
[00117.32-00119.40] 我原本没有资格加车
[00119.40-00119.56] 对吧
[00119.56-00122.40] 但是我通过价值正书考试之后
[00122.40-00126.92] 我就有资格拿着这上路怎么样开车了
[00126.92-00127.80] 这是一种情况
[00127.80-00129.56] 还有就是我们不要常见的
[00129.56-00132.00] 比如说原本不能从事相反立工作
[00132.00-00133.48] 我没有办法成为律师
[00133.48-00135.08] 那只要我通过箱的考试
[00135.08-00136.08] 他给我办法箱正说
[00136.08-00138.08] 我说就有获得了箱的资格
[00138.08-00141.08] 所以行政徐可最核心的问题是什么
[00141.08-00142.08] 你把握住一个点
[00142.08-00143.88] 就是他有没有像你开放一些
[00143.88-00145.48] 他原本禁止的东西
[00145.48-00148.68] 所以他最核心的就是一般禁止的解除
[00152.08-00153.68] 是一般禁止的解除
[00153.68-00155.48] 就是原本你不能做
[00155.48-00157.48] 但是你符合箱的条件之后
[00157.48-00159.68] 你经过申请我允许你做
[00159.68-00162.08] 所以这个才是我们所说的行政徐可
[00162.08-00163.88] 他属于一种准虐行为
[00163.88-00169.18] 欢迎话说就是他同意或者说是准虐你去做某些事
[00169.18-00172.84] 最为常见的就是大家的加证本的问题
[00172.84-00173.28] 对吧
[00173.28-00175.28] 所以这个就做行政许可
[00175.28-00176.40] 行政许可
[00176.40-00178.98] 我们说他一定要是要符合相论条件才能发放的
[00178.98-00182.18] 所以在这里面行政许可他就有一些特性
[00182.18-00183.68] 所以在这里面大家注意一下
[00183.68-00186.08] 第二个点我们要掌握的是行政许可
[00186.08-00187.68] 他的一个特征
[00187.68-00189.48] 行政许可的特征首先第一个
[00189.48-00191.08] 在定义当中已经给到我们了
[00191.08-00192.48] 是不是形狄许可
[00192.48-00193.90] 他主动给你发放
[00193.90-00194.66] 不可能的
[00194.66-00195.76] 只有你通过箱的
[00195.76-00197.48] 比如说就针对人来说
[00197.48-00199.08] 只有你通过箱的考试
[00199.08-00201.06] 才给你发法律值得这个政策
[00201.06-00202.60] 才给你发价实证
[00202.60-00205.18] 才给你发各种高的我们所说的这种
[00205.18-00206.70] 职业一师的这种政策
[00206.70-00207.20] 对吧
[00207.20-00208.90] 所以在这里面首先第一个
[00208.90-00210.74] 他并不是说主动给你了
[00210.74-00212.46] 而是你必须要申请
[00212.46-00214.74] 所以在这里形狄许可的第一个特征
[00214.74-00217.44] 同标准一下就是一申请性
[00217.44-00218.82] 这也是在概念当中
[00218.82-00219.82] 我们会看到的
[00219.82-00220.08] 对吧
[00220.08-00221.76] 第一個要進行申請
[00221.76-00222.96] 第二個我們說了
[00222.96-00225.44] 他和行政處法不一樣的就在於
[00225.44-00227.76] 行政處法是家中你的負擔
[00227.76-00231.20] 這是給你一些事讓你去做懲罰你
[00231.20-00231.52] 對吧
[00231.52-00233.40] 它是其實是家中你的負擔的
[00233.40-00235.04] 但是這裡面的行政區可
[00235.04-00237.68] 是不是給你負擔的行為啊
[00237.68-00238.84] 不是給你家中負擔
[00238.84-00239.44] 而是怎麼樣
[00239.44-00240.92] 而是給你一些好處
[00240.92-00243.44] 給你一些資格和能力讓你去城市
[00243.44-00244.12] 一些事
[00244.12-00246.88] 所以行政處法是負擔行為
[00246.88-00247.88] 而行政區可
[00247.88-00249.80] 就一定是對你有好處的行為
[00249.80-00252.40] 我们把这种抽签位叫做受异行为
[00252.40-00253.48] 就是给你好出嘛
[00253.48-00255.24] 所以第二个它就是有什么性
[00255.24-00257.64] 有受异行大主意下
[00257.64-00259.52] 第三个就是我们会发现
[00259.52-00261.00] 假设就以自然人来说
[00261.00-00262.72] 因为行中区可得种类表多
[00262.72-00264.12] 如果就以自然人来说的话
[00264.12-00265.92] 我们会发现行政区可
[00265.92-00267.44] 它一定给你的是什么
[00267.44-00268.24] 正书
[00268.24-00269.72] 也是正书它一定是什么
[00269.72-00270.96] 是书面的
[00270.96-00274.36] 所以行政区可一般都要求是以书面行事做出
[00274.36-00276.88] 所以把这种书面行事称之为叫做什么性
[00276.88-00278.92] 叫做要势性
[00278.92-00280.92] 也就是說我們說了行政徐恨證
[00280.92-00281.92] 他的一個搬翻
[00281.92-00283.92] 一般請還都是比如說
[00283.92-00284.92] 就人的活動來說的話
[00284.92-00285.92] 他有證書的
[00285.92-00286.92] 所以他就有要實行
[00286.92-00287.92] 第四一個呢
[00287.92-00288.92] 也是非常重要的一個特徵
[00288.92-00289.92] 說我們說了
[00289.92-00290.92] 行政徐恨
[00290.92-00291.92] 他是具體行政行為
[00291.92-00292.92] 他一定要具體行政行為
[00292.92-00293.92] 他一定要具體行為的什麼性
[00293.92-00294.92] 外不性
[00294.92-00295.92] 他針對的是
[00295.92-00296.92] 除行政機關以外的
[00296.92-00298.92] 公民法人或者是什麼
[00298.92-00299.92] 其他組織
[00299.92-00300.92] 那這個呢
[00300.92-00302.92] 就要就要就要有外不性
[00302.92-00304.92] 那有外不性就把什麼行為
[00304.92-00305.92] 排除在外的呢
[00305.92-00307.92] 第一個就是那一部審批
[00308.92-00313.92] 內部審批的話我們也會發現比如說你想要一些批寬
[00313.92-00315.92] 對方那是不是要走內部流程經審批
[00315.92-00319.92] 它是行政機關對其它機關的人才
[00319.92-00322.92] 外是等等進行相的准預
[00322.92-00325.92] 但是它是在系統機關內部的
[00325.92-00327.92] 所以它屬不屬於行政區可
[00327.92-00330.92] 不屬於內部審批不屬於行政區可
[00330.92-00332.92] 第二一個就是內部考試
[00332.92-00335.92] 我們也經常會看到內部有一些審議院考試
[00335.92-00341.04] 像這種內部考試形證執法人人的資法資格的認證的內部管理行為
[00341.04-00342.06] 他屬不屬於
[00342.06-00344.36] 比如說你通過了考試你可以參染理選
[00344.36-00347.70] 對吧或者是你參染內部考試之後你可以獲得相的資質
[00347.70-00350.26] 像這樣的話他屬不屬於形證虛可
[00350.26-00353.58] 不屬於因為他是來自於形證機關內部的考核
[00353.58-00356.14] 所以這種內部考試他也不屬於形證虛可
[00356.14-00359.74] 所以說來說我們要知道形證虛可他也就以他也要就有什麼像
[00359.74-00362.04] 他要就有相當的外部型
[00362.04-00363.06] 所以大家注意一下
[00363.06-00364.84] 這是在這裡我們需要掌握的
[00364.84-00370.56] 而这个地方考形容许可大主义还是要能会考一个综合性的一种说法
[00370.56-00374.08] 就是以下关于形容许可说法正确或者错误的事
[00374.08-00376.36] 所以在这里我们要能够变息
[00376.36-00378.36] 形容许可临我们生活就不要尽了
[00378.36-00381.20] 对吧就是我们常见的办法各种刚才的许可正
[00381.20-00384.48] 你的影哀指招等等这系列它其实都属于
[00384.48-00386.12] 所以我们对它不摸摸摸摸摸
[00386.12-00388.64] 所以理解和学习来就会比形容触伐
[00388.64-00389.92] 要简单很多
[00390.52-00393.32] 那这是第一个我们知道了什么是形容许可
[00393.32-00395.42] 那我說了 那形容學口的總類
[00395.42-00397.12] 他可都是非常多的
[00397.12-00398.48] 那我們第二個就來看一下
[00398.48-00400.52] 形容學口湯的哪些總類
[00400.52-00402.08] 形容學口的總類
[00402.08-00404.20] 你要和形容處罰 做區分
[00404.20-00406.00] 你要和形容強制做區分
[00406.00-00408.92] 那如果說形容學口形容處罰的區分很簡單
[00408.92-00410.16] 這是一個對你有好處
[00410.16-00411.00] 一個對你有壞處
[00411.00-00412.52] 你單純的從名字上
[00412.52-00414.04] 其實就能夠經用變息
[00414.04-00415.52] 這裡面我們來看一下
[00415.52-00416.68] 形容學口有哪些
[00416.68-00418.32] 第一個叫做一般學口
[00418.32-00420.64] 一般學口它一般是多頂性的條款
[00420.64-00422.00] 這個了解一下就可以了
[00422.00-00424.00] 这是第一个我们所说的
