[00000.00-00003.18] 好的 那我们讲完了所有权的取得之后呢
[00003.18-00005.38] 今天让我们来看一下有关于
[00005.38-00007.94] 所有权它的第三方面的内容
[00007.94-00010.04] 就是我们所说的共有制度
[00010.04-00012.54] 这共有制度其实在上生活当中
[00012.54-00013.88] 我们都非常的常见
[00013.88-00016.84] 比如说我们经常说两人一块买了一个房量
[00016.84-00018.54] 两人一块买了一个车 对吧
[00018.54-00020.84] 这些其实都会涉及到我们所说的
[00020.84-00022.20] 所有权当中的共有
[00022.20-00023.82] 但是问题就是在于
[00023.82-00026.58] 当咱们有时候咱们两个去搞合会也好
[00026.58-00029.12] 然后我和我的张物之间是夫妻关系也好
[00029.12-00031.32] 那我们共同去买了这个东西之后
[00031.32-00033.48] 我如果想要处分这个东西
[00033.48-00035.92] 那这个时候我到底有没有处分权
[00035.92-00037.72] 这个材儿是在共有制度当中
[00037.72-00039.44] 我们应该去讨论的问题
[00039.44-00042.92] 所以我们在共有当中交易去给大家讲到这么几个方面
[00042.92-00044.64] 第一个就是大家要明确
[00044.64-00046.88] 一会我们会学习到所谓的共有制度
[00046.88-00049.64] 第一个大家知道他包括拿几种形式
[00049.64-00052.64] 第二个就是每一个共有制度当中
[00052.64-00055.88] 他的内部关系和外部关系分别是什么样子的
[00055.88-00058.88] 以及在这个共有关系的处理过程当中
[00058.88-00060.74] 它可能會承擔什麼樣的責任
[00060.74-00063.74] 那這個呢是我們在考試當中應該掌握的重點
[00063.74-00065.68] 而從初提的角度來看呢
[00065.68-00067.38] 在整個共有這個地方
[00067.38-00069.88] 往往考察的是理解行的題目
[00069.88-00071.04] 會偏多一點
[00071.60-00073.10] 好 那知道了它怎麼考
[00073.10-00073.98] 以及在考試當中
[00073.98-00075.52] 它有什麼樣的形式出現
[00075.52-00077.44] 那接下來我們就來看一下共有的
[00077.44-00078.32] 具體內容
[00078.32-00079.60] 首先第一個我們先從
[00079.60-00080.88] 概念上去了解一下
[00080.88-00082.38] 到底啥是共有
[00082.38-00083.52] 在這個地方它說
[00083.52-00086.32] 他說共有啊是只兩個或者兩個
[00086.32-00088.28] 以上的民視主體
[00088.28-00091.36] 对同意财产共同享有搜权
[00091.36-00092.88] 这个就叫做共有
[00092.88-00094.56] 共有主体成为共有人
[00094.56-00096.40] 共有的客体成为共有物
[00096.40-00097.80] 这里面他已经接定了
[00097.80-00099.68] 所以共有他必须是两个
[00099.68-00101.48] 过两个以上的民事主体
[00101.48-00103.36] 这里可以是两个资人
[00103.36-00105.00] 也可以是两个法人之间
[00105.00-00105.44] 对吧
[00105.44-00107.64] 对同意共有财产享有搜权
[00107.64-00108.88] 因为这个东西是什么
[00108.88-00109.76] 是大火的
[00109.76-00111.08] 往往东西是大火的
[00111.08-00113.28] 睡到的问题就是杂分的问题
[00113.28-00115.12] 这个就是共有大概念
[00115.12-00116.72] 那需要同样掌握的第一个点
[00116.72-00122.60] 就是我们所说的这个两个过两个以上的民事主体对同一参加所消过一圈
[00122.60-00124.40] 他到底有哪几种形式呢
[00124.40-00127.22] 同们在这里标注一下第一个考察点案
[00127.22-00129.52] 这是共有他分成两种
[00129.52-00131.82] 第一种呢叫做案份共有
[00131.82-00133.88] 第二种呢叫做共同共有
[00133.88-00135.16] 这个地方在考试当中
[00135.16-00137.46] 往往喜欢考察的一个点是啥呢
[00137.46-00140.78] 就是考案份共有和共同共有的区分
[00140.78-00142.58] 你说老师他真的会出体然后
[00142.58-00146.68] 给我们一个案例然后在这个里面让我们去判断他是案份还是共同吗
[00146.68-00151.02] 他到不会说单独出一个题目去考察按份或者是共同
[00151.02-00157.60] 而这个区分按份和共同他是在提干当中作为一个提干整体的那种出现
[00157.60-00161.40] 比如说他给你说阿富这个小一和小毕结成了夫妻
[00161.40-00164.48] 两人呢手拉手一号改良好
[00164.48-00165.88] 就是赶紧的关系都挺不错
[00165.88-00166.84] 然后一起买了个房
[00166.84-00168.68] 然后最后对外欠债
[00168.68-00171.00] 那这个时候他们两个总的去承担责任
[00171.00-00173.04] 这个房子在卖了之后怎么就分钱
[00173.04-00175.66] 人说他往往是以提干的形式
[00175.66-00177.38] 作为一个提示词
[00177.38-00179.88] 让我们去判断他是按色和共同
[00179.88-00183.54] 从而确定他所承担的内部关系和外部关系
[00183.54-00185.96] 所以在这里竟然他以提干的形式出现
[00185.96-00187.96] 而且也是我们破体了一个关键
[00187.96-00189.86] 那就需要我们在这里去分
[00190.58-00192.76] 按份工有合共同共有
[00192.76-00195.06] 那所谓的按份工有合共同共有
[00195.06-00198.12] 在这个地方我们只要是反向机极就可以了
[00198.12-00200.18] 我们一般认为共同共有
[00200.18-00201.46] 他有无种情况
[00201.46-00204.46] 是由哪种情况需要同样在旁边标注一下
[00204.46-00206.90] 我们所说的共同共有在这里
[00206.90-00209.10] 包括我们所常见的帮变
[00209.10-00210.54] 比如说夫妻关系
[00210.54-00211.90] 体干中提到
[00211.90-00212.86] 小一小辟示
[00212.86-00215.10] 夫妻这种就属于夫妻关系
[00215.10-00218.30] 又或者我们常提到的叫做加停关系
[00220.46-00221.50] 加停关系
[00221.50-00224.30] 又或者以一产继承关系
[00227.18-00229.58] 一产继承关系
[00229.58-00231.34] 又或者我们常说的
[00231.34-00233.34] 合伙关系
[00234.34-00239.54] 我和我的合伙人一起创办了一个公司或者一起创办了一个合伙企业
[00239.54-00241.70] 大都是请安适合伙企业
[00241.70-00244.66] 或者是我们所说的同居关系
[00244.66-00249.02] 这一集这种关系被视为我们所说的叫做共同共有
[00249.02-00251.50] 除了这五种关系之外大家都注意一下
[00251.50-00253.98] 其他的都是按份共有
[00253.98-00255.22] 其他都是按份共有
[00255.22-00258.74] 所以在这里面大家要明确这是共同共有和分共有
[00258.74-00260.02] 那如果說呢
[00260.02-00261.30] 就是在體幹當中
[00261.30-00263.86] 他如果說沒有明確的約定
[00263.86-00265.78] 就是說是夫妻關係加平關係
[00265.78-00267.50] 遺產關係和我關於同一關系
[00267.50-00268.90] 或者在體幹當中有說
[00268.90-00270.82] 說他們兩個人對這個財產
[00270.82-00273.22] 到底怎麼去分約定不明
[00273.22-00274.50] 那這種情況之下
[00274.50-00277.34] 如果沒有明確約定或約定不明
[00277.34-00279.22] 那這個時候也屬於什麼
[00279.22-00281.02] 就屬於案份公有
[00281.02-00282.22] 所以同一門就簡單記
[00282.22-00285.30] 就是體幹當中除非明確說了這種關係
[00285.30-00286.42] 如果沒有說
[00286.42-00287.86] 那他就屬於什麼
[00287.86-00288.58] 按份
[00288.58-00289.42] 它是按份
[00289.42-00290.10] 所以这个呢
[00290.10-00292.38] 它其实是打体的一个体制
[00292.78-00295.50] 它是打体的一个破体的体制
[00295.50-00297.30] 它是往我们出现在体育当中
[00297.30-00299.22] 你只有在体育当中不清楚
[00299.22-00300.94] 它到底属于按份和共同
[00300.94-00302.10] 咱们在后面呢
[00302.10-00304.18] 其实才更好的去方面做体
[00304.18-00305.82] 所以在这里大家要知道按
[00306.58-00309.86] 这是按份工有和共同工有它的内容
[00310.18-00312.78] 那么既然知道了共有它分的两种形式
[00312.78-00314.54] 一种是按份预种式共同
[00314.54-00316.58] 接下来我们就来分别来看一下
[00316.58-00319.98] 到底什么是暗分共有什么是共同共有
[00319.98-00322.58] 来看一下在这里第一个暗分共有
[00322.58-00324.38] 它说暗分共有
[00324.38-00328.58] 它是只两个或两个以上民事主体对同意财产按照
[00328.58-00333.18] 同样画一下就做个自分额享有所有权
[00333.18-00335.38] 这个就叫做暗分共有
[00335.38-00338.38] 所以暗分共有它的一个分配是按什么来的
[00338.38-00340.18] 它是按份额来的
[00340.18-00341.38] 什么叫暗分额呢
[00341.38-00343.98] 比如说我现在出门我就需要一辆车
[00343.98-00345.58] 你出门也需要一辆车
[00345.58-00347.22] 然后咱们呢 还都是市有
[00347.22-00348.42] 关系还都不错
[00348.42-00349.30] 那这个车呢
[00349.30-00351.02] 太贵了 我自己又买不起
[00351.02-00351.86] 于是呢
[00351.86-00352.98] 我就和你商量
[00352.98-00354.22] 我说你看那个车
[00354.22-00355.82] 价值100万的车
[00355.82-00357.46] 对吧 相当制不错了
[00357.46-00358.30] 我想买一个
[00358.30-00360.30] 你说我最近我也想要的量车
[00360.30-00361.38] 那咱俩就决定
[00361.38-00363.18] 我说那咱俩可会买一量车呗
[00363.18-00364.42] 你说OK可以
[00364.42-00365.66] 咱俩和咱俩
[00365.66-00368.50] 看好了这段车价值是100万元
[00368.74-00369.54] 于是
[00370.14-00371.50] 我出资
[00371.78-00372.58] 80万
[00372.98-00374.58] 然后你也出资
[00374.58-00375.58] 20万
[00375.58-00377.82] 那这个车我战多少分个
[00377.82-00379.18] 80%的分个
[00379.18-00379.94] 你战多少
[00379.94-00380.94] 20%
[00380.94-00382.30] 那这个时候你看
[00382.30-00385.02] 对于这两车我们两个就属于什么
[00385.02-00387.70] 我们两个就属于按份共有
[00387.70-00389.50] 因为它是按个字的分额
[00389.50-00390.38] 想有什么
[00390.38-00391.54] 想有搜权的
[00391.54-00393.34] 那你说老实这样这车载态
[00393.34-00395.10] 那约定我出钱出的多
[00395.10-00395.54] 对吧
[00395.54-00397.58] 那我就周一周三周四周五看
[00397.58-00398.78] 你周六周日态吗
[00398.78-00401.14] 那这个都是根据大家自己约定的
[00401.14-00402.74] 所以在这里面我们去判断
[00402.74-00404.54] 它到底战斗少分額
[00404.54-00405.54] 你就看体验当中
[00405.54-00408.14] 它给到多少百分底就可以了
[00408.14-00410.54] 你说老师确定这个百分底有什么用呢
[00410.54-00411.54] 确定这个百分底
[00411.54-00412.54] 可以有大用处了
[00412.54-00413.34] 大家注意一下
[00413.34-00414.54] 按分工有啊
[00414.54-00416.94] 是多个人对同一个事务相做一圈
[00416.94-00419.34] 比如说对于这辆保马车对吧
[00420.14-00421.74] 或者是对于这辆叫车
[00421.74-00423.54] 咱俩呢是共同相做一圈
[00423.54-00424.34] 但这个车呢
[00424.34-00425.54] 它总会睡一到说
[00425.54-00426.94] 突然有一天我想换车了
[00426.94-00428.14] 我想把这个车卖掉
[00428.14-00431.14] 但因为这个东西是因为咱俩共同所有的
[00431.14-00432.92] 那麥車的時候怎麼商量啊
[00432.92-00435.48] 我自己到底能不能決定把這個車賣掉呢
[00435.48-00437.36] 我有沒有全處分這個車呢
[00437.36-00439.92] 如果這個車出去的時候我出去開車的時候對吧
[00439.92-00440.82] 我在路上
