[00000.00-00003.00] 大家好 我是结束青年的解瑞
[00003.00-00005.64] 今天我们就要进入到一个新的
[00005.64-00010.00] 这是板块的学习 这个板块的就是行政法与行政素素法
[00010.00-00013.00] 这个行政法行政素法对大共同学来说
[00013.00-00016.00] 听这个课的感觉 它的第一反应就是
[00016.00-00019.00] 我觉得这个科目它就像天书一样
[00019.00-00023.00] 它像天书的原因就是同学们很难去掌握行政法
[00023.00-00025.00] 它调整的相应的法律关系是什么
[00025.00-00028.00] 比如说我们在讲民法的时候给大家去强调
[00028.00-00032.36] 民法調整的是平等主體之間的人身關係的財政關係
[00032.36-00032.72] 對吧
[00032.72-00035.24] 或者我們都是自然人或者都是法人
[00035.24-00037.72] 或者自然人和法人之間的這一系列的關係
[00037.72-00038.88] 朝食一道的比如說
[00038.88-00039.88] 去超食買平水
[00039.88-00041.44] 可能是一道買賣合痛
[00041.44-00042.72] 我去做個房子
[00042.72-00044.32] 可能會是一道租利合痛
[00044.32-00046.72] 我幫林郡的把他家的事物管理好了
[00046.72-00048.96] 可能會是一道無印管理之戰等等
[00048.96-00051.84] 這些都是日常生活當中發生的一些小事
[00051.84-00053.32] 所以我們一舉例子
[00053.32-00054.00] 就是說
[00054.00-00055.76] 我好像是有過這樣的經理
[00055.76-00057.56] 或者是有我有一個朋友系列
[00057.56-00059.44] 我朋友好就是有类似的精力
[00059.44-00061.84] 所以在民法的学习上的相对来说
[00061.84-00065.00] 同时就会觉得它相对是离我们生活不远的
[00065.00-00068.28] 而我们在之前给大家经常民法学习的时候给大家强调过
[00068.28-00073.04] 说我们不要经可能地把民法体系化暗立化去学习它
[00073.04-00075.80] 对吧就是很多知识点你记住老师你讲的暗立
[00075.80-00078.44] 其实就不用单直地去被内容了
[00078.44-00080.84] 这是民法它里我们生活非常的近
[00080.84-00083.64] 但其实我们同意就会觉得说民法里是我很久
[00083.64-00085.28] 但形状法又很远的
[00085.28-00087.44] 因為在日常生活當中總感覺
[00087.44-00089.10] 像機關政府部門
[00089.10-00090.24] 對吧咱們總是會覺得
[00090.24-00092.12] 機關政府部門高高在上的
[00092.12-00095.24] 這個是中國一直以來的所有的
[00095.24-00097.72] 我們所說的這種運行體
[00097.72-00100.20] 去或這套體系所給我們帶來總感覺
[00100.20-00101.92] 對吧所以我們一提到行政
[00101.92-00103.92] 網路就會覺得說行政這個東西
[00103.92-00104.92] 它很高大上
[00104.92-00105.92] 它令我們生活很遠
[00105.92-00108.76] 它可能是關係著國家的這種運行
[00108.76-00110.36] 所以我們就在認識上就會
[00110.36-00111.52] 純天然的認理
[00111.52-00113.52] 說行政這個東西
[00113.52-00117.16] 它就是很难的 很舒服的 和树治高格的
[00117.16-00120.12] 但其实形症法也好 形狀素法也好
[00120.12-00122.12] 它其实里我们生活并不愿
[00122.12-00124.36] 所谓的形症 它本身上是什么呢?
[00124.36-00125.16] 大家注意一下
[00125.16-00127.44] 所谓的形症 我给大家寫的这儿
[00127.44-00128.92] 同一们去变于理解
[00128.92-00130.28] 所谓的形症呢?
[00130.28-00133.16] 它在本身上其实就是什么? 就是管理
[00134.44-00136.04] 只不过这个管理呢?
[00136.04-00137.40] 它的主体不一样
[00137.40-00139.52] 我们日常生活当中的企业管理
[00139.52-00142.64] 那它可能是来自于公司的某些领导植物
[00142.64-00144.88] 对吧,他对于公司运营的这种布局
[00144.88-00146.60] 对吧,那这个称伟管理
[00146.60-00148.32] 而行政管理主要是什么呢?
[00148.32-00150.76] 我们强调的行政,他作为一种管理
[00150.76-00154.56] 其实强调的是,国家对于整个社会运行
[00154.56-00158.04] 国家对于公民,他里面的管理方式
[00158.04-00161.72] 所以在我们日常生活当中行政法令生活并不愿
[00161.72-00164.12] 比如说,最常见的,很多小伙伴家里
[00164.12-00167.36] 一定是在城市或市区当中养了小狗,对吧
[00167.36-00169.60] 那你看你在城市或市区当中有狗
[00169.60-00172.76] 能不能说我就把这个狗爆回家之后我就可以随便呀
[00172.76-00173.64] 这天不行吧
[00173.64-00174.76] 你这有时候要有什么
[00174.76-00176.24] 要相当的洋权症
[00176.24-00178.04] 那边洋权症谁给你发放呢
[00178.04-00180.60] 那指定是相用了机关单位给你发放
[00180.60-00182.68] 他在给你发放正书的这一刻
[00182.68-00184.84] 是不是富裕你权力去做一些事
[00184.84-00186.40] 那他其实就是一种什么
[00186.40-00188.56] 这是一种形症行为
[00188.56-00190.76] 又过着我们常年了很多通月斗架罩
[00190.76-00192.56] 对吧 你还像我这种就比较少
[00192.56-00193.84] 我是记归其作用车
[00193.84-00194.92] 又归其店名车
[00194.92-00195.92] 又没有架罩
[00195.92-00197.04] 那这个时候呢
[00197.04-00198.72] 任事很干干 对吧
[00198.72-00200.92] 那你看像你的架招的发放
[00200.92-00202.72] 你的毕业正书的发放
[00202.72-00204.12] 它其实也是什么
[00204.12-00207.88] 也是我们所说的国家对于公民的一种管理
[00207.88-00209.72] 那这里面的架招的发放
[00209.72-00211.12] 你的毕业正书的发放
[00211.12-00212.92] 它其实是驻会摄一道什么问题
[00212.92-00215.24] 它其实就是摻一道行政法
[00215.24-00216.96] 于行政诉讼法的问题
[00216.96-00218.44] 所以我们日常生活当中
[00218.44-00220.52] 所能接触到的很多的事情
[00220.52-00223.08] 都和行政法以及行政诉讼法有关
[00223.08-00223.80] 所以在这儿呢
[00223.80-00226.40] 要给同学们先去打破
[00226.40-00228.38] 一个心理学习上的一个必义
[00228.38-00230.50] 就是同学们不要红弯的是认为说
[00230.50-00232.94] 这个形容法和形容素法太难了
[00232.94-00234.00] 就本身不是这样的
[00234.00-00236.84] 在日常生活当中的方法秘密面都可能会涉及到
[00236.84-00239.20] 你随地土类口谈或者随地
[00239.20-00240.68] 我们所说的迫了一些东西
[00240.68-00241.90] 给别人造成影响
[00241.90-00244.04] 那有关机外单位可不会对京处发
[00244.04-00244.62] 可以吧
[00244.62-00246.72] 有没有一些同学床、红灯
[00246.72-00248.28] 对吧被罚过二十块钱
[00248.28-00249.36] 我就被罚过
[00249.36-00249.72] 对吧
[00249.72-00251.00] 当时没有注意嘛
[00251.00-00253.12] 就当时看大都走就跟着都有走了
[00253.12-00253.74] 然后结果呢
[00253.74-00255.28] 发现到我那时候突然红灯了
[00255.28-00256.82] 主要很尷尬
[00256.82-00258.82] 这个时候这好有交警在
[00258.82-00261.20] 我属于不遵守交通规则
[00261.20-00262.12] 虽然不是故意的
[00262.12-00263.66] 但是也发了20块钱
[00263.66-00264.74] 你看像这种
[00264.74-00267.52] 法款的这种行为在于上生活当中也常见
[00267.52-00269.16] 那法款为什么要法我
[00269.16-00271.50] 说对于公民的一种管理
[00271.50-00273.62] 出于我们所说的社会秩序的需要过
[00273.62-00274.78] 国家公务力需要
[00274.78-00276.02] 他出于对公民的管理
[00276.02-00278.50] 那他对我进行法款的行为
[00278.50-00279.50] 其实就是什么
[00279.50-00282.46] 其实就是行政法和行政诉讼法
[00282.46-00284.30] 他的一些条件的内容
[00284.30-00287.00] 所以在这里同时不要觉得说内容难
[00287.00-00290.10] 它只不过就是有一些形成法律关系对我们来说
[00290.10-00291.60] 你生活比较远
[00291.60-00295.20] 所以在这个时候你会或者是你没有完整的系统的
[00295.20-00296.90] 去接触国家的形成系统
[00296.90-00298.80] 所以这时候你会觉得它很难
[00298.80-00301.10] 它基本上是它调整的情是什么呢
[00301.10-00302.50] 大家在旁边注意一下
[00302.50-00306.00] 形成法形成舒服法其实从本身上我们可以理解
[00306.00-00309.50] 它调整的是关于民之间的关系
[00310.50-00311.70] 当然这个关
[00311.70-00317.18] 他要做广易的理解,这里面的名也做广易,但是我为了方面投入了去好
[00317.18-00323.58] 记忆或者好接受咱们的形容租租法咱们就说了形容租租法,它调整的是关民之间的关系
[00323.58-00328.86] 在形容租法,我们会很没想到发现,它其实分两个部分的
[00328.86-00335.70] 毕竟部分就是我们所说的形容法,形容法其实更多清晰的是实体法
[00335.70-00340.46] 他这个实体法强调的是什么呢?强调的是关文明
[00340.46-00344.60] 竟然形成形成诉讼法强调的是关民之间的关系嘛
[00344.60-00348.58] 关民之间就两层第一层就是关管你
[00348.58-00353.94] 就是我们国家形成机关或者是我们所说的一些授权被授权的这种组织
[00353.94-00355.42] 被委托这种组织
[00355.42-00360.02] 他实施合主行为来管理群众的生活来管理社会秩序
[00360.02-00362.74] 这个时候就叫做关文明
[00362.74-00364.36] 比如说我说的形成出发
[00364.36-00365.38] 喇了20块钱
[00365.38-00367.18] 对吧 或者给我发放毕业政府
[00367.18-00368.72] 或者是加始政
[00368.72-00370.24] 对吧 这个叫做行政
[00370.24-00373.32] 徐克 或者呢 我该旅行意我 我不旅行
[00373.32-00375.36] 那这个时候他就怎么样 我该交税
[00375.36-00377.42] 他我说了我偷税落税了 对吧
[00377.42-00379.46] 那这个时候我该交税我也不交税
[00379.46-00381.00] 那这个时候他跟我规定相对
[00381.00-00382.28] 其实我还没有去补交税的话
[00382.28-00384.32] 是我可以加除这拿金和法款
[00384.32-00385.60] 那这个就叫做什么
[00385.60-00387.40] 这个就叫了行政强制
[00387.40-00389.70] 那相这一系列的 其实都属于什么
[00389.70-00394.06] 都属于具体行政行为 都是关管民当中所体现的
[00394.06-00396.78] 所以形狀法的強調的是關管您
[00396.78-00398.98] 但後面想一下關管您
[00398.98-00400.78] 您是不是一定就會服呢
[00401.38-00402.98] 如果我真的做錯了
[00402.98-00405.30] 對吧那麼OK 你看我就是重紅燈了
[00405.30-00406.98] 那就是說你法我心感情願
[00406.98-00409.78] 但是如果你對於我的這個處罰也好
[00409.78-00411.74] 對吧或者對於我的這個形狀強制
[00411.74-00413.38] 措施或形狀強制實現好
[00413.38-00414.82] 我不服怎麼辦
[00414.82-00417.58] 對吧就像我們說的服服服不服
[00417.58-00418.58] 那不服怎麼辦
[00418.58-00419.82] 不服我就去告你
[00419.82-00421.74] 我們經常聽到對吧要往上告
[00421.74-00423.02] 你可以告的人太多了
[00423.02-00426.42] 对吧,平常主体之间,你可以告诉人,可以告诉人
[00426.42-00431.42] 如果是行政机关给你的相应的具体行政行为出发也好
[00431.42-00434.02] 或者是措施也好,你不服从办去告他
[00434.02-00438.02] 所以你告他走个就什么呢?你告他走个就是要诉送程序了
[00438.02-00442.82] 所以在这里,就会有到第二个部分去到什么?就叫做行政诉送法
[00442.82-00444.82] 行政诉送法,强调做什么呢?
[00444.82-00449.02] 强调的就是民购官,对不对,强调就是民购官
[00449.02-00452.50] 但这里面我不知道同学们有没有发现有一个核心的点啊
[00452.50-00453.94] 这个核心点就是什么呢
[00453.94-00455.42] 就是我们刚才强调了
[00455.42-00456.50] 关管您
[00456.50-00458.02] 它这里面一定要有一个什么
[00458.02-00460.90] 一定要有一个管的行为这个没有问题吧
[00460.90-00462.46] 而我们明告关
[00462.46-00464.66] 过 过的这个关也是告的是什么
[00464.66-00467.78] 也是它管我这个行为我觉得不到 对吧
[00467.78-00470.94] 那这个时候有一个核心点就出现了什么东西呢
[00470.94-00474.90] 就是这里面所谓的这个关民之间的调两
[00474.90-00477.02] 关民之间的核心
[00477.02-00478.22] 它其实是什么呢
[00478.22-00483.90] 它其实我们就把这个管沉这位杀成这位叫做行政行为
[00487.10-00491.06] 是关管您它管我的这个文法的沉这位叫做行政行为
