[00000.00-00002.68] 我们看完了生物技术我们再来看一看
[00002.68-00007.04] 第2个就是我们第3届的内容叫做新材料技术
[00007.04-00010.44] 说到材料我们在这上生活当中可是太长结了
[00010.44-00013.72] 比如说我们所说的什么做料啊 素料版
[00013.72-00015.96] 它其实都会涉一到相当材料问题
[00015.96-00017.64] 这里面的新材料技术
[00017.64-00021.20] 它其实就意味着我们所说的材料革命上的一种变革
[00021.20-00024.84] 它其实可以从某种程度上改变人们生活的
[00024.84-00027.16] 我们把这种称率叫做新材料
[00027.16-00030.40] 我们来看一下我们要提到的新材料装了哪些呢
[00030.40-00032.80] 这些新材料同样是掌握的
[00032.80-00034.40] 第一个就是它的特性
[00034.40-00037.88] 第二个就是我们所说的它的一个应用
[00037.88-00041.52] 我们在这里先来看一下第一个就叫做实陌西
[00041.52-00042.36] 实陌西
[00042.36-00043.76] 什么叫做实陌西呢
[00043.76-00046.76] 大家注意一下无论是实陌也好 实陌西也好
[00046.76-00048.32] 它其实本身上都是什么
[00048.32-00050.52] 都是它的同苏一形体
[00053.88-00056.60] 新刚使实陌实陌西大主乡
[00056.60-00064.60] 他其实都是唐的同诉异行题
[00064.60-00067.60] 咱们其实在前面有给大家讲过同诉异听题是什么
[00067.60-00068.60] 对吧
[00068.60-00071.60] 这个东西它都是由相同的原子构成的
[00071.60-00073.60] 但由于原子的排列组合不一样
[00073.60-00075.60] 导致生物导致这个事务
[00075.60-00078.60] 它所呈现出来的特征也不一样
[00078.60-00080.60] 我们把这一类的称为叫做同诉异行题
[00080.60-00082.60] 实际它本身是啥呢
[00082.60-00084.60] 实际它本身也是唐
[00084.60-00085.60] 但是像我们所说的这个唐
[00085.60-00087.60] 这个叛呢一般情况之下
[00087.60-00091.32] 比如说像实际墓我们以前说写在用的那个签笔
[00091.32-00093.28] 同时在小学的时候写字用签笔的时候
[00093.28-00094.44] 你有一个什么感觉
[00094.44-00096.34] 我以前读书的时候我就觉得
[00096.34-00099.16] 那个签笔写在我写在特别很
[00099.16-00100.72] 就是我这边写自我那个本身
[00100.72-00103.80] 一定在第二夜留下了很多的这种印子
[00103.80-00106.20] 有很多同学应该跟我一样写着都这么很
[00106.20-00108.08] 但我一旦写着很特别很的时候
[00108.08-00110.44] 那个笔家的签笔家这种一怎么样
[00110.44-00111.96] 签笔的这种一时
[00111.96-00113.52] 所以传统的实际墓
[00113.52-00116.04] 文說的是一種單層的太林子
[00116.04-00117.64] 石墨它很薄
[00117.64-00118.72] 就有點像這種情況
[00118.72-00120.52] 同時來看一下在這兒就是這種
[00120.52-00123.04] 這邊給大家呈現的這個就是
[00123.04-00124.52] 我們所說的石墨西原料
[00124.52-00125.68] 它長的樣子
[00125.68-00126.60] 但一般情況之下
