[00000.00-00002.82] 放弱犯罪是主观和客观的同意
[00002.82-00004.30] 所以看了客观
[00004.30-00007.50] 接下来我们再来看一下主观上的内容
[00007.50-00009.40] 主观层面上首先第一个
[00009.40-00011.50] 我们必须带有一个叫做犯罪主体
[00011.50-00013.80] 就是必须带有一个人实施的这个行为
[00013.80-00016.40] 我才能够有形法处罚的
[00016.40-00017.70] 我们所说的目标在
[00017.70-00020.00] 所以在这里必须要有一个犯罪主体
[00020.00-00021.50] 这个犯罪主体当中
[00021.50-00022.40] 咱们来看一下
[00022.40-00024.20] 它说犯罪主体是指实施为
[00024.20-00024.90] 还受行为
[00024.90-00029.80] 因法,因當佛形式責任的責任和單位,
[00029.80-00032.80] 這個就叫做我們所說的犯罪主體。
[00032.80-00038.40] 在犯罪主體當中,他分成兩個,一個叫做自然人,一個叫做單位犯罪,
[00038.40-00041.40] 我們先來看一下責任犯罪,責任是什麼人,
[00041.40-00044.80] 就是法律規定當中,你我一樣的先活的生命,
[00044.80-00046.60] 我們這個就是責任,
[00046.60-00051.20] 他責任犯罪,他的犯罪主體的一般條件,又有兩個,
[00051.20-00054.16] 第一個叫做形式責任年齡
[00054.16-00056.44] 就是你到大一點點齡之後
[00056.44-00059.52] 我才能追究你讓你承擔相的形式法律責任
[00059.52-00060.72] 這個就叫做什麼
[00060.72-00061.64] 責任年齡
[00061.64-00066.32] 第二個就是你必須還要具備叫做形式責任能力
[00066.32-00068.28] 所以責任犯罪
[00068.28-00070.16] 一方面有年齡要求
[00070.16-00071.64] 另外一方面就是有什麼
[00071.64-00072.36] 能力要求
[00072.36-00075.76] 這個能力就是你控制責任自己行為的這種能力
[00075.76-00077.92] 所以它同時具備這兩個條件
[00077.92-00080.32] 它才能構成責任犯罪
[00080.32-00083.98] 那么首先来看一下第一个版就叫做形式责任年龄
[00083.98-00087.64] 都是形式责任年龄是指行法锁归定的
[00087.64-00092.10] 行为人实施行法精纸的烦罪行为锁必须达到年龄
[00092.10-00094.66] 有时你想要让这个人接受触发
[00094.66-00096.56] 他就必须达到一定的年龄标准
[00096.56-00098.62] 这个就叫做形式责任年龄
[00098.62-00101.28] 所以说刚才能看到说什么小孩
[00101.28-00103.04] 这一天新闻商业总演
[00103.56-00106.38] 这些新闻商总演中说一个小学
[00106.38-00109.86] 几年纪的还是就是小学的小孩吧
