[00000.00-00003.80] 我们来看一下第一节当中的最后一个直播点
[00003.80-00007.40] 咱们在前面给大家讲了需求是什么讲了攻击是什么
[00007.40-00010.40] 我们接下来把这两个点放在一块来看
[00010.40-00012.60] 我们所说的攻球据很点
[00012.60-00013.80] 在攻球据很当中
[00013.80-00015.60] 我们要讲三个内容
[00015.60-00017.40] 第一个叫攻球据很含意
[00017.40-00019.40] 第二是攻球据很的价格和数量
[00019.40-00022.00] 以及第三个最高线架和最低线架
[00022.00-00023.80] 这里面两星期的直播点
[00023.80-00026.20] 其实在于最高线架以及最低线架
[00026.20-00036.20] 并且从共求军红当中,我们还要去引声一个点,就是共及取线和需求取线的变动,它会引起军红数量和军红价格怎么变
[00036.20-00042.90] 听起来这次,感觉好像是高大事,对完了,就是先为主,我觉得这玩挺难的,其实不难
[00042.90-00046.80] 只要你会换土,其实这些问题就很简单就给人人见了
[00046.80-00048.90] 咱们先来看一下基本概念,好吧
[00048.90-00051.14] 他说什么叫做共求军恒呢
[00051.14-00055.06] 他说共求军恒是指共挤和需求达到平衡时的状态
[00055.06-00056.58] 咱们在刚才给大家讲的时候
[00056.58-00057.54] 不知道大家还没有印象
[00057.54-00059.62] 特别让大家去记得两条曲线
[00059.62-00062.42] 一条就是我们所说的邪向下的曲线
[00062.42-00064.10] 恒种代表数量
[00064.10-00065.30] 种种代表价格
[00065.30-00068.42] 这条邪向下的曲线代表是需求还是共挤
[00068.42-00072.18] 很明显这条邪向下的曲线代表是需求
[00072.18-00073.94] 因为咱们说了一般情况之下
[00073.94-00076.58] 价格越高需求量反而越低
[00076.58-00077.94] 所以是反方向变动
[00077.94-00080.76] 但是我们说了和需求相对应的另外一个概念
[00080.76-00082.86] 需求代表的是消费者这一端
[00082.86-00085.74] 那消费者买的东西它必须要有场上生产
[00085.74-00088.44] 所以和它相对应的另外一个概念就做共级
[00088.44-00091.76] 共级取限的方向赵和修取相反
[00091.76-00094.32] 所以在这里面共级取限它是一条
[00094.32-00095.60] 写相上的取限
[00095.60-00097.66] 而共级代表的是什么生产者
[00097.66-00099.20] 那同们有没有发现
[00099.20-00101.30] 这两条取限一条相象
[00101.30-00102.26] 一条相上
[00102.26-00106.10] 那它却是代表的不同领域当中的这样一个行为
[00106.10-00109.50] 但是这两条曲线一条相伤一条相伤
[00109.50-00110.86] 他来一定会怎么样
[00110.86-00113.42] 他来一定会相交的
[00113.42-00116.06] 而他们两个所相交的这样一条状态
[00116.06-00118.70] 就是我们所说的这种工作军好
[00118.70-00121.86] 所以把这两条曲线放在绑一张图片里面
[00121.86-00122.94] 就变成了我在这里面
[00122.94-00124.22] 给大家展示的这个图案
[00124.22-00125.34] 咱们先来看一下
[00125.34-00127.06] 在这里面来看一下
[00127.06-00129.90] 这里面有一条鞋相下的曲线是这个
[00129.90-00132.42] 这个代表的这叫做需求
[00133.02-00134.14] 有需求曲线
[00134.14-00136.50] 而还有一条就个写上上的曲线
[00136.50-00137.90] 就是我们刚才所说的
[00137.90-00138.58] 共启
[00138.58-00139.70] 而共启
[00139.70-00142.18] 你看这两条线
[00142.18-00143.38] 因为方向不一样
[00143.38-00145.22] 所以他们一定会有一个交点
[00145.22-00146.86] 而这个交点的就交个什么
[00146.86-00148.70] 就叫做共启军横点
[00148.70-00150.66] 如果老师他们两个为什么会相交呢
[00150.66-00152.06] 原因其实很简单
[00152.42-00154.78] 共启代表的是生产者的
[00154.78-00155.70] 共启数量
[00155.70-00158.30] 而消费代表的是消费者的需求数量
[00158.30-00160.94] 你看生产者生产的数量和消费者
[00160.94-00162.50] 想要买的东西的数量
[00162.50-00165.38] 它总会在市场当中达到某一刻的平衡
[00165.38-00168.10] 而这个平衡就叫做共求军衡
[00168.10-00171.14] 也是共挤和需求之间的平衡状态
[00171.14-00174.66] 这个点我们就叫做共求军衡点
[00174.66-00177.14] 同样注意一下我们可以用意来代表
[00178.14-00179.42] 可以用意来代表
[00179.42-00182.14] 这个点就叫做共求军衡点
[00182.14-00183.42] 就叫共求军衡点
[00183.42-00185.70] 而这个军衡点上对应的价格
[00185.70-00186.58] 大注意一下
[00186.58-00188.70] 这个点上对应的价格就叫做什么
[00188.70-00190.46] 就叫做军衡价格
[00190.46-00193.46] P1所代表的
[00193.46-00200.46] 这个点上所代表的数量叫QEQE就叫做军衡数量
[00202.46-00205.46] QE就代表了是军衡数量
[00205.46-00208.46] 这里面大家要明确的是这军衡点
[00208.46-00211.46] 代表的是想的就是你生产的东西
[00211.46-00214.46] 刚刚好被消费者买光了
[00214.46-00217.66] 也就是在这个时候市场当中没有生育了
[00217.66-00221.34] 这个状态我没把的称度为叫做市场出轻
[00221.34-00222.46] 就是啥都没有了
[00222.46-00224.26] 就是全刚好好
[00224.26-00225.10] 全都卖完了
