[00000.00-00004.00] 今天我們再來看一下第三個就是租栗核桶
[00004.00-00007.00] 租核桶在日常生活當中也比較常見
[00007.00-00010.00] 比如說房屋租栗或者是叫車租栗
[00010.00-00012.00] 或者是其他顯質的一些東西租栗
[00012.00-00014.00] 這些都會睡到租栗核桶的問題
[00014.00-00017.00] 咱們來看一下在法律上是如何定義租栗核桶的
[00017.00-00020.00] 它租栗核桶是指出租人將租栗栗栗栗
[00020.00-00022.00] 可以是動產,可以是不動產
[00022.00-00025.00] 比如說不動產當中的房屋土地、廠房
[00025.00-00030.38] 臭房 动产当中的汽车 笔记本电脑等等这些都可以说
[00030.38-00034.22] 说将租令物交付给租作人使用收益
[00034.22-00037.28] 租作人的支付租金的合同 叫租令合同
[00037.28-00042.16] 所以租令合同当中存在两方当时这是第一个考察点消通明去实际的
[00042.16-00045.88] 第一个叫租作人 第二个叫租作人
[00045.88-00048.56] 租作人就是享有物的收钱的这一方
[00048.56-00049.84] 那他就是租作人
[00049.84-00052.66] 那承租人就是对租利物使用
[00052.66-00055.22] 会有收拾权的一方叫做承租人
[00055.22-00057.52] 那考点其实不在于我们所说的
[00057.52-00059.06] 这个出租人和承租人
[00059.06-00060.34] 它的双方当时
[00060.34-00061.36] 考点在于呢
[00061.36-00063.66] 出租人和承租人它的意股
[00063.66-00065.20] 也是在这里面如果睡到
[00065.20-00066.22] 相内意股的承担
[00066.22-00067.00] 应该怎么办
[00067.00-00068.02] 那权利咱就不说了
[00068.02-00069.56] 咱就主要看一看一看一看一看一看
[00069.56-00071.08] 所以在这里面第一个点
[00071.08-00073.40] 就是双方当时的意股问题
[00073.40-00075.60] 那在这里面首先我们来看一下出租人
[00075.60-00076.72] 它有什么意股
[00076.72-00077.50] 出租人的意股呢
[00077.50-00079.28] 我们最维常见的首先第一个
[00079.28-00081.20] 比如说我问你租了七车
[00081.20-00082.92] 我问你租了比几个电脑
[00082.92-00084.76] 我问你租了你的房屋
[00084.76-00087.32] 那你是不是就要把租利物交付给我使用
[00087.32-00089.32] 这个时候兔子人的第一个意误
[00089.32-00090.80] 就是交付租利物
[00090.80-00092.00] 并且保证租利物
[00092.00-00094.64] 它是符合我们合同要求的
[00094.64-00096.60] 你不能说我朝你租一个房子
[00096.60-00098.52] 我想要租的房子是啥那是
[00099.04-00100.24] 有大超糊的
[00100.24-00102.48] 西朝阳这种地方
[00102.48-00103.92] 而且我要求这个房子整结
[00103.92-00105.68] 结果你租利给我的房子
[00105.68-00107.12] 最后在交付给我租利物的时候
[00107.12-00110.78] 好家国 这个房子又没 然后又露水
[00110.78-00111.98] 然后下来到又堵色
[00111.98-00113.52] 那这种情况之下只能不行
[00113.52-00114.80] 那这个时候我们说了
[00114.80-00116.28] 出自人他的第一个意误就是
[00116.28-00121.00] 交付租利物并且保证租利物是符合合同的治量要求的
[00121.00-00123.06] 如果他不符合治量要求就可以去找
[00123.06-00127.34] 我们所说的出自人他却给我们去进行相的维护调整
[00127.34-00129.40] 那这是第一个就是交付的问题
[00129.40-00131.44] 第二个就是要我们比较常见的
[00131.44-00133.58] 就是出租人他还具有什么呢
[00133.58-00137.30] 从这在旁边出自然太一定的维修一无
[00137.30-00139.74] 像这个维修一无在日常生活当中
[00139.74-00140.70] 我们总会遇到
[00140.70-00142.54] 比如说你租了一个车
[00142.54-00143.74] 你租了这个车呢
[00143.74-00144.62] 它如果说
[00144.62-00145.74] 按在开个过程当中
[00145.74-00147.94] 它出现了什么各种表特都开始量了
[00147.94-00148.34] 对吧
[00148.34-00150.26] 然后这个车跑跑就没有了
[00150.26-00151.46] 或者这个车不小心
[00151.46-00152.82] 就管创了一下
[00152.82-00153.58] 或者这个车呢
[00153.58-00155.50] 它在给你的手上就发现它不太好用
[00155.50-00157.02] 反正就是一系列车有毛病
[00157.02-00158.66] 或者是防务有问题
[00158.66-00160.46] 这个时候我们都会知道
[00160.46-00162.98] 出租仍它是富有维修一无的
[00162.98-00164.52] 那他这个维修意误的话呢
[00164.52-00166.70] 一般情况之下是谁维修呢
[00166.70-00168.78] 大家注意一下是有约定的话
[00168.78-00170.16] 如果在天天合同的时候
[00170.16-00172.44] 你们在合同当中打成合意
[00172.44-00174.76] 说如果这个助理物有一定的问题
[00174.76-00176.86] 有出足人有成组人去维修
[00176.86-00177.76] 你们有这个约定
[00177.76-00178.94] 而且你也接受了
[00178.94-00179.96] 那么就按约定来
[00179.96-00181.66] 所以一般情况是有约
[00181.66-00183.50] 从约五月的话呢
[00183.50-00185.50] 五月的话是出足人
[00186.70-00189.14] 五月的话是有出足人来承担的
[00189.14-00190.18] 但是这个时候呢
[00190.18-00192.06] 可能会从某种程度上
[00192.06-00193.86] 加重出入人的责任
[00193.86-00195.26] 加重什么出入人责任呢
[00195.26-00198.22] 就是我现在我就在想反正现在这个
[00198.22-00201.90] 车也好防疫好还是这个电脑也好租利物手机也好
[00201.90-00204.46] 对吧反正都是你出租人去为修
[00204.46-00206.70] 那这个时候我们就会发现成租人
[00206.70-00208.18] 它其实就有可能
[00208.18-00209.98] 不会受到一定的限制
[00209.98-00211.58] 它可能就是掌开了玩呗
[00211.58-00212.82] 反正也不是我的东西
[00212.82-00213.18] 对吧
[00213.18-00214.06] 我看那个车
[00214.06-00215.34] 人家在势里面
[00215.34-00218.46] 线素40线素60线素30
[00218.46-00219.50] 我就开到100吧
[00219.50-00222.50] 我狂内下午就创造了那个十多人的上个车窗坏了
[00222.50-00224.62] 这有时候就想反创快乐不是我修
[00224.62-00228.58] 这种情况之下是不是就可能会出现我们所说的随人不利
[00228.58-00230.94] 随人立即的这种情况
[00230.94-00232.42] 所以为了约数谁
[00232.42-00233.62] 为了约数成族人
[00233.62-00236.06] 在迴秀一路当中还做理想特别规定
[00236.06-00238.26] 就是如果成族人有过错的话
[00238.26-00238.90] 你自己修
[00238.90-00242.62] 只数也符合我们所说的日常到道德要求很人性要求
[00242.62-00244.86] 所以在这里如果说成族人过错
[00244.86-00245.86] 自己修案
[00247.14-00248.62] 成族人过错了
[00249.50-00251.50] 自己修
[00251.50-00255.50] 这个其实是在日常生活当最常见的租房
[00255.50-00256.50] 对吧
[00256.50-00258.50] 所以这次我们所说的初作人
[00258.50-00260.50] 他有一定的维修意误
[00260.50-00261.50] 没有修意误
[00261.50-00262.50] 这是第一个点
[00262.50-00263.50] 这个点大家一定要知道
[00263.50-00264.50] 这是怎么去确定
[00264.50-00266.50] 维修意误的主要负责人
[00266.50-00267.50] 就可以了
[00267.50-00268.50] 这是第一个
[00268.50-00269.50] 他要注意一下
[00269.50-00270.50] 第二个呢
[00270.50-00271.50] 初作人有意误
[00271.50-00272.50] 那成组人也有意误
[00272.50-00273.50] 比如说我租了人家的房子
[00273.50-00274.50] 租了人家的车
[00274.50-00275.50] 我必须保证什么
[00275.50-00277.50] 必须要正当使用
[00277.50-00278.50] 我租了人家的车
[00278.50-00280.04] 哪人的测试作间三颗
[00280.04-00281.98] 所以第一个我的意误就是正当使用
[00281.98-00284.12] 第二个如果说是比较小型的
[00284.12-00286.28] 比如说像现在我们可以租一幅
[00286.28-00288.48] 不知道大家有没有见过张的软件
[00288.48-00290.26] 我其实是接触过张的软件的
[00290.26-00291.44] 在最开始的时候
[00291.44-00294.72] 我出差的第一年的时候
[00294.72-00295.48] 因为那个时候你知道
[00295.48-00299.02] 脱天的时候脱那种特别大的这种形狄箱
[00299.02-00300.16] 真的不是很方便
[00300.16-00302.16] 所以那一年在私传上课的时候
[00302.16-00303.08] 就碰到了一个老傻
[00303.08-00304.36] 他说你的相思怎么打不出
[00304.36-00305.48] 对有数都拿不动
[00305.48-00306.28] 然后他就给我说
[00306.28-00307.72] 他说你看你像冬天的这种一幅
[00307.72-00309.78] 如果你在当地受客标场的话
[00309.78-00310.80] 你就可以去租一幅
[00310.80-00311.82] 我是猜能租呢
[00311.82-00312.90] 他说可以的
[00312.90-00314.26] 你当天下单
[00314.26-00315.76] 然后你第二天的这个衣服
[00315.76-00316.48] 就可以送过来
[00316.48-00317.96] 如果当地有合作这个点的话
[00317.96-00319.96] 说那衣服之量能保证吗
[00319.96-00321.24] 就是它的卫生情况
[00321.24-00323.52] 这个衣服的新的程度可以保证
[00323.52-00325.24] 他说你租那种大的外套
[00325.24-00326.54] 比如说像羊腐
[00326.54-00330.24] 冬天的某的杨某大衣
[00330.24-00331.36] 就说所有程
[00331.36-00331.74] 对吧
[00331.74-00332.64] 那就可以去租
[00332.64-00333.88] 那这个时候那你看
[00333.88-00335.16] 我租了人家的衣服
[00335.16-00336.48] 那像这种软件不要多
[00336.48-00338.64] 大家有些人可以去了解一下
[00338.64-00340.00] 你租了人家这个衣服
[00340.00-00340.68] 我有什么
[00340.68-00342.24] 我有妥商保管的衣服
[00342.24-00343.60] 我必须保证这个衣服
[00343.60-00345.44] 是在一个正常安全的情况之下
[00345.44-00346.72] 你这租来是衣服
[00346.72-00349.12] 那如果租的是租保这一类的
[00349.12-00350.56] 你租了什么大赞借
[00350.56-00351.84] 什么大赞借的
[00351.84-00353.04] 你更要妥商把我了
[00353.04-00354.56] 如果你在保管不当的时候
[00354.56-00355.36] 你就要干嘛
[00355.36-00356.80] 你就要承担相似的
[00356.80-00357.44] 伟越走任
[00357.44-00358.88] 所以在这里面承租人
[00358.88-00359.76] 除了有正当使用
[00359.76-00361.20] 因为我还有妥商保管以后
[00361.20-00362.40] 然后你租人要东西说
[00362.40-00363.12] 要负人钱
[00363.12-00364.48] 所以要支付租金
[00364.48-00366.88] 然后到期的设设在把东西还给人家
[00366.88-00368.28] 我要把衣服还给人家
[00368.28-00370.60] 所以这有时候叫反还阻力物
[00370.60-00372.72] 那这些衣服其实我们经推断
[00372.72-00374.48] 在这上生活当中都很常见
[00374.48-00376.36] 而且我们一下子就能推出来
[00376.36-00377.80] 反而不要难得点是什么呢
[00377.80-00379.20] 就是承租人
[00379.20-00381.00] 它其实是有一个不作为衣服的
[00381.92-00382.84] 现在旁边
[00382.84-00384.56] 承租人就是太有一个不作为的衣服
[00384.56-00386.04] 说老是啥叫不作衣服
[00386.04-00387.80] 这有些事承租人
[00387.80-00388.80] 它是不能做的
[00388.80-00389.68] 哪些事呢
[00389.68-00391.52] 原则上只有两个
[00391.52-00392.40] 一个是啥呢
[00392.40-00395.16] 同时在旁边写上一个就是禁止天赋
[00399.64-00400.80] 首先第一个呢
[00400.80-00403.88] 是原则上是禁止天赋一物的
[00403.88-00405.88] 这个禁止天赋一物的话比如说
[00405.88-00407.88] 我做了这个房子
[00407.88-00410.32] 我要对这个房子对它进行改造
[00410.32-00412.12] 或者是我做了这个房子
[00412.12-00414.16] 然后它有很多地方大家都知道
[00414.16-00416.16] 它可能是没有那种量一盖的
[00416.16-00418.04] 那我能不能在人家墙上给人打动
[00418.04-00419.64] 然后给人家装个量一盖
[00419.64-00421.32] 或者我给人家门锁上
[00421.32-00422.36] 上面跟贞量的动作
[00422.36-00424.14] 然后按一个所料傻的
[00424.64-00425.92] 这种就知道了天赋
[00425.92-00427.84] 这种天赋的原则是禁止的
[00427.84-00429.24] 但有没有例外有例外
[00429.24-00430.52] 例外的话的大家注意一下
[00430.52-00433.36] 如果是经出租人同意的话
[00433.36-00434.04] 人家同意了
[00434.04-00435.44] 你给房东打电话了
[00435.44-00436.88] 或者是你给出租人打电话出
[00436.88-00438.24] 我要搬这个东西给造
[00438.24-00439.52] 人数没有问题改吧
