[00000.00-00003.58] 接着来看一下第七个明确
[00003.58-00008.38] 第七个明确呢 同时现在简单地在旁边标主一下两个字 新增
[00008.38-00014.34] 咱们之前给大家说过整个新思想 它的内容都完善是从8个明确到10个明确
[00014.34-00021.00] 那在8个明确到10个明确到新增了哪两个 那这个第七个其实就是第一个新增
[00021.00-00023.30] 咱们来看一下第七个明确说的是什么
[00023.30-00025.78] 他說明確必須堅持和晚上
[00025.78-00027.50] 社會主義基本經濟制度
[00027.50-00029.78] 市場在最安配置當中
[00029.78-00033.06] 起到決定作用更好的發揮政府的作用
[00033.06-00034.74] 通行後面壞條寫線
[00034.74-00036.94] 這是整個明確當中的第一個部分
[00036.94-00039.02] 第二部分他就又提到了
[00039.02-00041.74] 說我們要充分把我新發展階段
[00041.74-00043.90] 灌測新發展領念
[00043.90-00046.86] 然後構建新發展國舉
[00046.86-00048.94] 然後在新發展過去後面
[00048.94-00049.82] 再壞條寫線
[00049.82-00053.74] 它是整个清明去当中的第七个明确当中的第二部分
[00053.74-00056.66] 后面它说了在这些共同的推动之下
[00056.66-00060.02] 以推动经济高制量发展统仇发展和安全
[00060.02-00061.34] 第七个明确的大家注意
[00061.34-00064.02] 它整体上的内容非常非常的多
[00064.02-00065.74] 首先第1个部分它提到了
[00065.74-00069.46] 说必须坚持和玩式社会主义基本坚持制度
[00069.46-00071.18] 在这里面的第1个考电
[00071.18-00073.58] 大家注意一下就是在基本坚持制度上
[00073.58-00074.90] 在基本坚持制度当中
[00074.90-00076.14] 我们要明确两个点
[00076.14-00079.14] 第一个经济基本经济制度有哪些
[00080.74-00086.22] 第二个在这些基本经济制度当中经常会考察一些理解行的题目
[00086.22-00088.78] 上面如果说实际你单纯避开就可以了
[00088.78-00094.74] 第二个就是它在具体考察的时候会考察一些理解行的题目
[00094.74-00098.14] 所以在这里面我们先来看一下基本经济内容
[00098.14-00102.58] 我在讲一当中其实有给大家去设置一个大的一个框架在
[00102.58-00105.46] 同样把这个框架去给它拉出来
[00105.46-00106.86] 就是留了一个空白的地方
[00106.86-00109.84] 咱们一起来看一下有关于收入主义基本经济之格内容
[00109.84-00112.06] 就说到收入主义基本经济制度
[00112.06-00114.46] 大家知道它有钱只有3个
[00114.46-00116.46] 就是在目前来看有钱只有3个
[00116.46-00117.54] 是哪3个呢
[00117.54-00119.86] 比一个大家知道基本经济制度有哪3个
[00119.86-00121.56] 这3个它家太熟悉了
[00121.56-00124.86] 就分别是生产分配和收入主义市场经济体制
[00124.86-00126.26] 也就是我们所提到的
[00126.26-00128.56] 首先在生产方面我们提到叫做
[00128.56-00131.26] 公有之为主体
[00131.26-00137.26] 然后后面多种所有之经济共同发展
[00140.26-00141.26] 我不写了,可以吧
[00141.26-00144.26] 叫共有之为主体多种所之经济共同发展
[00144.26-00146.26] 这是第一个我们所说的基本经济度
[00146.26-00150.26] 第二个基本经济之度就是在共有之体之下
[00150.26-00152.26] 所实现的分配之度
[00152.26-00154.26] 所以在后面提到的第二个基本经济之度
[00154.26-00156.26] 就是按老分配为主体
[00157.26-00160.26] 叫做按老分配为主
[00160.26-00165.26] 然后多种分配方式并存
[00168.26-00171.26] 多种分配方式并存
[00171.26-00172.26] 这也是第二个
[00172.26-00177.26] 第三个就是我们所说的社会主义是场经济体制
[00179.26-00185.26] 社会主义是场经济体制
[00185.26-00191.38] 这个就是我们所提到的基本精神制度的三项内容
[00191.38-00194.66] 是ND一个在红弯上带到有陈柱三个是哪三个
[00194.66-00195.62] 这是第1个点
[00195.62-00199.62] 那第2点这里面其实像过五周图体一家老分配为主
[00199.62-00201.66] 我们从以前到现在经常会被对吧
[00201.66-00203.78] 但是在我们线有的这样一个考试当中
[00203.78-00207.82] 我们需要掌握的就是我们所说的公有之为主体当中的
[00207.82-00209.46] 公有制到底有哪些
[00209.46-00211.22] 它为什么被称为主体
[00211.22-00215.22] 第二种多种所知经济共同发展当中的多种所知经济
[00215.22-00218.42] 其实本质上强调的是非供有知经济
[00218.42-00222.62] 非供有知经济它在本质上又是什么样子的
[00222.62-00226.22] 这个是需要我们现在作为细节点去掌握的
[00226.22-00229.42] 那么先来看一下第一个就是供有知经济
[00229.42-00231.94] 我们所说的供有知经济首先第一个大家知道
[00231.94-00234.82] 供有知经济有哪些也就是我们首先第一个
[00234.82-00236.82] 要知道供有知经济的组成
[00236.82-00239.64] 共有之间就有组成包括这么几个部分
[00239.64-00242.06] 同时现在旁边一个是国有经济
[00242.06-00243.62] 这是第一种形式
[00243.62-00245.90] 第二个是集体经济
[00247.90-00250.74] 第3个是混合作制当中的
[00250.74-00252.38] 我有成分和技成分
[00254.38-00256.54] 混合所有制中的
[00256.54-00258.14] 国有成分
[00260.14-00262.86] 和集体成分
[00262.86-00267.20] 这两个点给它形在旁边
[00267.20-00269.00] 首先这个点我先给大家说一下
[00269.00-00273.10] 在整个我们所说的这个共诺这位主体的它的这个考察当状
[00273.10-00275.40] 它更加傾向的是综合性的考察
[00275.40-00277.46] 它这种综合性的考察可能是
[00277.46-00281.04] 以下关于我们国家基本经济这个说法正确和错误的是
[00281.04-00282.82] 或者在这里面给你睡一干涉
[00282.82-00286.02] 关于这个案例以下说法正确和错误的是
[00286.02-00287.94] 它不会在这里面给你挖控口
[00287.94-00292.04] 而是考察你对于共诺之经济和非过之经济的理解
[00292.04-00294.60] 或者是把它拿出一个具体案例做背景
[00294.60-00295.80] 让去进行分析
[00295.80-00300.24] 所以在这里面我们必须要对它的内容有一个非常充分和详细的掌握
[00300.48-00303.04] 我们首先来看一下第一个在他的组成当中
[00303.04-00303.64] 他说了
[00303.64-00305.08] 在国务之间的一当中
[00305.08-00306.52] 第一个组成作国务经济
[00306.52-00309.20] 国务经济比较典型的就是我们所看到的什么
[00309.20-00310.32] 国务企业
[00310.32-00312.00] 你看像国企当中的这些
[00312.00-00313.44] 它就是非常典型的
[00313.44-00314.44] 我们所说的
[00314.44-00316.08] 共有制经济形势
[00316.08-00317.84] 就是国务企业这种形势
[00317.84-00318.48] 类似的
[00318.48-00320.36] 我们把它称为叫作国务经济
[00320.36-00323.68] 各有经济本质上是全民所有的重形式
[00323.68-00324.72] 那只是第一个
[00324.72-00326.68] 第二个最叫做集体经济
[00326.68-00329.08] 集体经济它是威帝
[00329.08-00331.88] 威威这个去内的集体所有的这种经济
[00331.88-00333.16] 选择叫集体经济
[00333.16-00334.68] 比如说相证经济
[00334.68-00336.20] 就是非常典型的什么
[00336.20-00337.00] 集体经济
[00337.00-00339.12] 又或者我们经常看到龙村的土地
[00339.12-00340.88] 龙村的土地规矩所有
[00340.88-00342.52] 龙村的土地规
[00342.52-00343.72] 村集体所有
[00343.72-00345.80] 那这个其实就是典型的什么
[00345.80-00346.92] 集体经济形式
[00346.92-00348.92] 所以在这里大家要明确的就是
[00348.92-00351.28] 國有經濟和集體經濟
[00351.28-00353.28] 它本身是集中經濟形式
[00354.28-00355.84] 國有經濟和集體經濟
[00355.84-00358.44] 它本身是兩種經濟形式
[00358.44-00359.96] 它有的時候在學行當中說
[00359.96-00362.72] 國有經濟包含集體經濟種數怕對不對
[00362.72-00363.88] 很明顯就錯了
[00363.88-00364.80] 這是第二種
[00364.80-00367.64] 第三種就是現在在國企的改革當中
[00367.64-00370.84] 經常會出現一個概念叫做混合所有智
[00370.84-00372.16] 什麼叫做混合所有智呢
[00372.16-00373.96] 我們可以對混合所有智
[00373.96-00377.00] 進行一個比較不能說是粗糙吧
[00377.00-00379.80] 就是一个简单粗暴的这样的一个了解
[00379.80-00381.92] 大家首先明确的是混合素质改革
[00381.92-00383.48] 不是为了混合而混合
[00383.48-00387.72] 而是为了让国优企业在改革过程当中能够增强他的竞争力和活力
[00387.72-00391.08] 所以在这个时候才进行了我们所说的混合素质改革
[00391.08-00392.60] 所以你看在山东
[00392.60-00394.36] 也不是在山东
[00394.36-00395.16] 是在山东
[00395.16-00395.88] 应该是在山东
[00395.88-00397.72] 山东二二三年就考过什么
[00397.72-00399.00] 就考过混合素质
[00399.00-00400.92] 他说当时考的那种题证说
[00400.92-00402.56] 关于混合素质改革
[00402.56-00404.20] 说法正确或错误的事
[00404.20-00406.60] 大家注意想为什么要进行混合素质改革
[00406.60-00408.50] 你看像原本有一些國有企業
[00408.50-00410.00] 大家都覺得國企好
[00410.00-00410.74] 好不好 好啊
[00410.74-00412.16] 國企為什麼好相啊
[00412.16-00412.90] 為什麼國企相
[00412.90-00414.74] 因為國企不用考慮什麼問題
[00414.74-00415.72] 不用考慮
[00415.72-00417.00] 賺不賺錢的問題
[00417.00-00418.04] 中手中手化相
[00418.04-00420.10] 這一類的國有企業都是誰公認他
[00420.10-00421.36] 都是國家公認他
[00421.36-00423.00] 所以國家給他投資給他
[00423.00-00423.92] 給他出錢
[00423.92-00425.56] 對吧搞他搞運營
[00425.56-00427.40] 所以他可能就會養成一種感覺
[00427.40-00430.20] 就是反正我現在所有的這些運行
[00430.20-00431.44] 都是國家給我錢
[00431.44-00432.52] 國家給我支撐
[00432.52-00434.36] 那我運行的好和運行的差
[00434.36-00436.36] 差別其實並不大
[00436.36-00439.50] 那你看如果说这个企业他没有任何的危机议室
[00439.50-00441.06] 然后他也没有任何的这种
[00441.06-00443.52] 就觉得自己马上黄铺的了干脆去了
[00443.52-00445.66] 然后里面的员工要失业了
[00445.66-00446.82] 他没有这种危机议室的
[00446.82-00449.30] 还觉得大家的工作机会不会高啊
[00450.20-00452.42] 大家的工作机会不会高的
[00452.42-00453.46] 不能说不高吧
[00453.46-00454.78] 可以说是相当之敌了
[00454.78-00456.02] 所以大家都昏日嘛
[00456.02-00457.02] 服务又好
[00457.02-00458.84] 工资相对水平又还OK
[00458.84-00460.42] 也不用担心我们所说的什么
[00460.42-00462.86] 马上今天干脆去明天黄铺的这个问题
[00462.86-00464.78] 所以他整体的这种竞争力
[00464.78-00465.68] 就会很差
[00465.68-00469.52] 一旦竞争立差 一旦他没有这种危机议事的话整个国优企业
[00469.52-00472.08] 他在去进行生产的时候需要率就怎么样
[00472.08-00473.62] 非常非常地低
[00473.62-00476.42] 所以在这里面他根本就没有危机议事 那怎么办呢
[00476.42-00481.04] 既然他没有危机议事 我就想方设法让他有危机议事 什么意思呢
[00481.04-00484.88] 就是我可以在国优企业当中的某一些特殊行业
[00484.88-00491.02] 引入民营企业 让我们所说的社会投资主体进入到国企业当中
[00491.02-00493.58] 你看原本国企业是纯粹的公有之后
[00493.58-00496.46] 如果我作为一个民间的这样的一个企业
[00496.46-00497.58] 我进入到里面
[00497.58-00499.22] 他就不再是纯粹的国有制
[00499.22-00500.22] 而是有了什么
[00500.22-00501.06] 民营资本
[00501.06-00502.34] 你看在这个企业当中
[00502.34-00504.02] 又有国有资本又有民营资本
[00504.02-00506.26] 你说他是属于国有经济还是基体经济
[00506.26-00507.02] 他都不是
[00507.02-00508.82] 我们就把这种称之为叫做什么
[00508.82-00510.46] 混合所质
[00510.46-00511.50] 所以混合所质
[00511.50-00513.42] 他是在国企当中
[00513.42-00516.86] 引入各类的社会投资的主题
[00516.86-00520.46] 让国企和民企业合作共同投资
[00520.46-00523.30] 去形成我们所说的混合所质的企业
[00523.30-00526.88] 那混合作制企业可以设立员工持续的状况是
[00527.14-00528.78] 所以这是我们所提到的混合作制
[00528.78-00530.62] 所以混合作制在这里的本质上
[00530.62-00532.52] 我希望大家能够明确一个点
[00532.78-00534.50] 这个点就是它所混的东西
[00534.50-00536.22] 其实谁忘了一会
[00536.42-00537.74] 是国有企业
[00537.74-00540.30] 也入社会投资主题
[00540.30-00542.42] 也是在国际当中给它注入一股活力
[00542.58-00544.18] 我举个简单例子比如说
[00544.46-00545.30] 军工企业
[00545.50-00548.14] 你看像军工企业这种核心技术的这些行业
[00548.66-00551.06] 和国家的国防西西相关的这些内容
[00551.06-00553.30] 它其实本身上应该是由此来掌控
[00553.30-00555.98] 它其实在本身上应当是由我们所说的
[00557.70-00559.30] 国家来掌控 对吧
[00559.30-00562.94] 但是国家来掌控要知道它有的一些领部家的这种生产
[00562.94-00564.50] 它是为国家所隆断的
[00564.50-00568.42] 如果说军工企业像以前有很多的都是那种纯粹的那种国有企业
[00568.42-00569.54] 那它这种情况之下
[00569.54-00571.18] 它就用领部家的这种生产
[00571.18-00574.42] 它就会先入到一个我们所说的这样的一个
[00574.42-00575.70] 不能说是贵趣的当中
[00575.70-00577.42] 就是它的那个大开的感觉就是
[00577.42-00580.18] 我生产出来这个领部家反正只有我这一家能生产
[00580.18-00581.58] 對吧 那你愛用不用
[00581.58-00582.86] 我的治療其實是做這樣
[00582.86-00586.10] 那你覺得這對於國家整體國防的發展是好事歡迎的
[00586.10-00587.74] 所以不見的是什麼好事
[00587.74-00589.50] 於是呢 我們就會發現
[00589.50-00591.30] 國家的陸陸續續在一些
[00591.30-00592.26] 軍工企業當中
[00592.26-00594.26] 核心技術必然是要國家從隆斷的
[00594.26-00596.38] 這都是不能外系到民營資本的
[00596.38-00598.82] 但是它把一些零部駕的生產
[00598.82-00600.34] 逐漸放快到哪裏
[00600.34-00601.94] 逐漸放快到了我們所說的
[00601.94-00603.22] 這個民間企業當中卻
[00603.22-00604.98] 我跟你說對於民間的企業來說
[00604.98-00606.58] 這就是嘛 這是一個大好事
[00606.58-00608.50] 我原本這個行業我都進不來的
[00608.50-00609.78] 但是你現在讓我進來
[00609.78-00612.86] 就意味着我可以多从这个试课到中分例
[00612.86-00614.82] 那明琴不太某足了这干呢
[00614.82-00617.18] 那这个时候我用谁家的零部这样
[00617.18-00618.74] 谁搞得好我就是谁家的
[00618.74-00620.30] 不是非你军工企业不可
[00620.30-00621.30] 你军工企的生产
[00621.30-00623.14] 零部这样不可还不行
[00623.14-00624.70] 我不有你的我就去用明琴
[00624.70-00625.90] 那这种情况之下
[00625.90-00627.38] 他作为军工企业来看的话
[00627.38-00630.22] 他的这种危机意试是不是又上来了
[00630.22-00631.78] 所以在这里你我们会发现
[00631.78-00633.74] 或合作之当中其实就是什么
[00633.74-00634.82] 就是在国际当中
[00634.82-00637.14] 引入各种社会投资主体
[00637.14-00639.22] 让国际和明琴合作
[00639.22-00641.22] 達到貨額素之企業的創立
[00641.22-00645.70] 從而增強國有企業的競爭力和他的這種火力
[00645.70-00648.86] 這種就是比如像我剛才所說的這種軍工企業當中
[00648.86-00650.58] 一些領步驟這種生產
[00650.58-00653.42] 他的這些製造如果逐漸在民間放開的話
[00653.42-00654.62] 代了一些我是什麼
[00654.62-00656.98] 大家看到咱們國慶大約冰的時候
[00656.98-00658.18] 早在多少年前
[00658.18-00658.62] 對吧
[00658.62-00660.82] 這是在19年那一次大約冰的時候
[00660.82-00662.46] 咱們能夠看到
[00662.46-00664.70] 說當時東風快地使命壁的
[00664.70-00666.18] 我當時記得沙平的時候
[00666.18-00667.82] 當時國慶越冰的時候
[00667.82-00669.82] 那是同着热浪过来的
[00669.82-00670.82] 营面破来的
[00670.82-00672.82] 简直一排又一排的装甲车
[00672.82-00674.02] 然后我们去看月兵
