[00000.00-00004.34] 好的 那我们就从红官概念上其实是了解了
[00004.34-00006.64] 我们所说的整个迷侍法律员关键
[00006.64-00010.34] 那我们把这个刚才第一节的内容拉回到这个框架当中
[00010.34-00012.04] 大家不要先老是默契
[00012.04-00013.56] 就是为了让大家加深印象
[00013.56-00015.64] 咱们尽量的能够在刻党当中
[00015.64-00020.06] 通过我的表述我的这样的一个书领大家能够在刻党当中记住的
[00020.06-00022.54] 咱们就尽量在学习的过程当中记住
[00022.54-00024.90] 我们刚才在讲迷法的时候给大家说了
[00024.90-00028.70] 民法調整的是平等主體
[00029.38-00030.74] 之間的
[00030.74-00033.22] 我們所說的人身關係
[00034.62-00036.98] 以及財產關係
[00036.98-00038.22] 然後在這裡有說了
[00038.22-00039.82] 他整體在考察的時候
[00039.82-00042.86] 這四個定位子會考察一個理解性的題目
[00042.86-00045.38] 而這裡面所謂的人身關係和財產關係
[00045.38-00047.26] 其實就是我們所說的叫做
[00047.26-00049.94] 民事法律關係
[00049.94-00051.86] 而我們剛才說了民事法律關係
[00051.86-00053.94] 是民法調整的對象
[00053.94-00056.06] 所以這裡面是不是出現了第二個考點
[00056.06-00057.46] 就是民式法律關係
[00057.46-00058.90] 是民法調整的對象
[00058.90-00061.90] 他考察一個實際性的題目
[00061.90-00063.22] 而民式法律關係
[00063.22-00065.50] 他是相對來說比較複雜的一切內容
[00065.50-00066.14] 所以我們說了
[00066.14-00067.78] 那想要構成民式法律關係
[00067.78-00070.78] 那第一個人必須帶有人實施民式法律行為
[00070.78-00073.78] 所以第一個必須帶有民式主體
[00073.78-00075.06] 那民式主體的話
[00075.06-00076.90] 我們說了他的範圍很廣泛
[00076.90-00079.82] 包括散人、包括法人、
[00079.82-00083.66] 包括非法人組織以及我們所說的啥
[00083.66-00085.26] 以及我們所說的國家
[00085.26-00087.22] 這是你是主體
[00087.22-00089.30] 民政主體實施了一件什麼事
[00089.30-00091.22] 能夠讓它用相的權力和義務
[00091.22-00093.78] 這個時候就會構成我們所說的叫做
[00093.78-00096.14] 民視法律關係的內容
[00096.14-00097.58] 我就簡單顯明是內容了
[00097.58-00101.30] 民視法律關係的內容是一權力義務委和心的
[00101.30-00103.86] 第三個就是有了主體有了客體
[00103.86-00105.42] 這個民視法律關係
[00105.42-00107.98] 它的權力與所指向的對象叫做什麼
[00107.98-00109.52] 我说了叫做客体
[00109.52-00110.66] 也是你做了这个事
[00110.66-00113.02] 它必须要有一个外在的衣服宰
[00113.02-00115.10] 这个叫做民事客体
[00115.10-00117.50] 民事客体就全力无所指向的对象
[00117.50-00119.26] 我们常说的物
[00119.26-00121.06] 某些行为
[00121.06-00121.50] 对吧
[00121.50-00123.18] 甚至包括我们所说的
[00123.18-00125.42] 治力成果等等
[00125.42-00127.90] 这些可能都是民事客体
[00127.90-00129.98] 而这个点在考试的过程当中
[00129.98-00131.34] 主体包括那些
[00131.34-00132.50] 内容包括那些客体
[00132.50-00134.58] 包括那些也是纯粹的什么
[00134.58-00135.74] 实际形容体目
[00135.74-00136.54] 考察一个
[00136.54-00139.42] 對應讓我們能夠去判斷上
[00139.42-00140.56] 那在考試當中
[00140.56-00142.86] 我們要給大家著重去講解的是什麼呢
[00142.86-00144.38] 就是在迷失法律關係當中
[00144.38-00145.96] 要給大家詳細地去說一說
[00145.96-00147.18] 我們所說的這個
[00147.18-00149.22] 迷失法律的主體
[00149.22-00150.36] 迷失法律主體當中
[00150.36-00153.10] 包括在人法人非法人組織律國家
[00153.10-00154.18] 那我們就來看一下
[00154.18-00156.96] 在迷失法律關係的主體當中
[00156.96-00159.50] 迷失主體就是迷失法律關係的主體
[00159.50-00160.92] 在這個主體當中
[00160.92-00162.30] 我們要看一看
[00162.30-00164.46] 它有哪些在考試當中
[00164.46-00165.54] 常考的點
[00165.54-00169.70] 那首先我們來看一下在明式法律關係當中最常見的一個主席就是啥
[00169.70-00170.90] 說是呀 責任
[00170.90-00174.50] 咱們來看看 或了解一下咱們責任的相關的內容
[00175.26-00177.18] 那首先我們來看一下第一個
[00177.18-00181.02] 談到責任 責任的責任就是像你我
[00181.02-00183.14] 像我們的朋友 像我們的
[00183.98-00186.54] 爸爸媽媽一樣 對吧 先活的這種人
[00186.54-00188.62] 我們這把他稱之為叫做責任
[00188.62-00190.94] 那責任才有到明式法律關係當中
[00190.94-00193.46] 他並不是說 我只要是一個責任
[00193.46-00195.46] 我就能够猜到明示法律关系了
[00195.46-00196.46] 其实不是这样的
[00196.46-00198.46] 那既然小猜明示法律关系
[00198.46-00199.46] 他有要求
[00199.46-00201.46] 他要求猜人去被两个能力
[00201.46-00202.46] 哪两个能力呢
[00202.46-00203.46] 第一个能力呢
[00203.46-00205.46] 叫做明示权利能力
[00207.46-00208.46] 第二个能力呢
[00208.46-00211.46] 他要去被叫做明示行为能力
[00211.46-00213.46] 当他去被这两个能力的时候
[00213.46-00215.46] 他才能够猜与到我们所说的
[00215.46-00218.46] 明法或者是明示法律关系的当中
[00218.46-00220.46] 那什么叫做明示权利能力呢
[00220.46-00223.44] 大家注意一下,这个所谓的民视权力能力
[00223.44-00225.32] 其实一会我们会跟大家讲到
[00225.32-00227.12] 那我们就在这直接看看你嘛
[00227.12-00231.46] 它们在人的民视权力能力是自自自私人一罚享用
[00231.46-00235.84] 民视权力或者是承担民视一物的能力
[00235.84-00238.52] 这种就叫做民视权力能力
[00238.52-00242.74] 就是它首先要有一个能够承担权力和一物的什么
[00242.74-00243.86] 资格
[00243.86-00248.06] 所以所谓的民视权力能力我们可以做一个具项换的理解
[00248.06-00250.06] 他就是做人的资格
[00251.18-00253.86] 当然了 这里面的做人其实强调的是什么
[00253.86-00257.50] 这里面的做人其实强调的是在法律意义上的做人
[00257.50-00260.86] 不是在生物学义义上是法律上的做人
[00260.86-00262.98] 所以在这里面我们所说的这个
[00262.98-00267.06] 民室权利能力 其实就是强调的他的一种做人的资格
[00267.06-00270.58] 比如说我们大家一个三岁的吧
[00270.58-00273.14] 一个三岁的小 Baby 对吧
[00273.14-00274.82] 一个三岁的小孩
[00274.82-00276.74] 他是法律义上的人吗
[00278.06-00280.06] 是不是法律以上的人?
[00280.06-00283.06] 大家注意一下,他是法律以上的人
