[00000.00-00005.00] 讲完练学之后,我们再来开一下第二个问题,就是光血
[00005.00-00008.00] 那身光电力热都是物理学当中的基本支持
[00008.00-00011.00] 那我们要学光学之前,首先第一个点,我们先来掌握一下
[00011.00-00015.00] 我们所说的光的,它的一个性质和它的本质,我们先来看一下
[00015.00-00021.00] 首先第一个,我们要来掌握的是光的本质,我们在苏尚简单的去做一个标主
[00021.00-00026.00] 这个点,目前在考试当中没有考的特别多,但是个别地去考过,比如是山东
[00026.00-00029.48] 在这里面他说了说光是一种电磁波
[00029.48-00032.64] 大家知道这个电磁波它的形式其实非常多
[00032.64-00033.92] 光是电磁波
[00033.92-00037.48] 甚至包括我们所看到的X的现菩马射线等等
[00037.48-00039.60] 他们都是什么 都是电磁波
[00039.60-00041.60] 甚至我们微微露的微博
[00041.60-00043.96] 它都是啥 它都是电磁波
[00043.96-00046.96] 所以在这里大家首先知道光是一种电磁波
[00046.96-00049.08] 光是作为一种波
[00049.08-00050.84] 它是具有一定的能量的
[00050.84-00051.88] 所以大家注意一下
[00051.88-00054.20] 而组成光的基本单位是啥呢
[00054.20-00056.76] 叫做光子或者叫做光量子
[00056.76-00058.56] 所以在这里大家把这个点
[00058.56-00062.64] 觉得标注一下就是光它是由光子组成的
[00062.64-00065.48] 或者我没把这个光子称对叫做光量子
[00065.48-00067.52] 那这是光的一个基本特性
[00067.52-00069.24] 那这里面我们来看一下
[00069.24-00071.88] 光它其实本身具有什么样的特质呢
[00071.88-00073.40] 一般情况下我们在这里说
[00073.40-00076.28] 说光它是具有玻璃二象性的
[00076.28-00079.96] 在这个点同把玻璃二象性去给它标主出来
[00079.96-00082.88] 而同原说老师什么叫玻璃二象性的
[00082.88-00085.24] 就是最开始人们对于光的研究
[00085.24-00086.84] 它其实有好几种说法
[00086.84-00087.88] 最开始的时候
[00087.88-00088.76] 大家就说
[00088.76-00089.92] 我们在日常生活当中
[00089.92-00092.24] 最常看到的就是阳光
[00092.24-00093.32] 这个阳光
[00093.32-00095.60] 它就应该和我们生活当中的其他物质
[00095.60-00098.96] 它应该是有一些什么东西组成的
[00098.96-00100.20] 这个时候
[00100.20-00101.96] 你游击就写了一本书
[00101.96-00103.80] 这个书就要做光学
[00103.80-00104.96] 在这个光学当中
[00104.96-00106.36] 你游击说阳光
