[00000.00-00004.76] 好,那我们了解了河通是如何一部一部定力之后呢?
[00004.76-00009.40] 今天我们来看一下第三个问题就是有关于河通它全力部的消灭
[00009.40-00013.20] 那首先第一个呢,我们来看一下什么叫河通全力部的消灭
[00013.20-00019.00] 在概念上来看的话呢,它说河通全力部的消灭是指河通的啥
[00019.00-00022.64] 这一群这五关系在客观上不复存在
[00022.64-00027.80] 而我们所说的河通全力部消灭它的原因有以下这么极重
[00027.80-00029.72] 这一种同学们大概有一个印象
[00029.72-00030.88] 并且对美种概念
[00030.88-00032.88] 你稍微知道他说的是什么意思
[00032.88-00034.12] 实际上第一个在这里
[00034.12-00035.64] 他又提到了青长
[00035.64-00037.88] 什么时候合同的权利物会消灭呢
[00037.88-00040.20] 首先第一个就是我们所说的青长
[00040.20-00042.92] 青长的话其实就是我把东西
[00042.92-00046.36] 比如说在前面的增与合同当中给大家说的
[00046.36-00049.36] 那权利物关系消灭就是你在考上之后
[00049.36-00052.16] 我把我的小天才而通手表增与给你
[00052.16-00054.36] 那这个时候其实就完成了什么
[00054.36-00055.60] 这一权债务的旅行
[00055.60-00056.68] 那这种情况之下
[00056.68-00059.20] 我们所说的权力舞就会中止
[00059.20-00061.00] 也就是他说的权力舞消灭
[00061.00-00065.00] 只会在这里面可能会存在一个稍微比较特殊的情况
[00065.00-00066.72] 这个特殊的情况是什么呢
[00066.72-00070.68] 这是如果双方他有这种合同关系的话
[00070.68-00074.84] 他的权力舞的中止一般情况之下就是我按照合同的约定
[00074.84-00076.44] 旅行我该旅行的一五
[00076.44-00079.00] 那这个时候是我们传统一伤的清场
[00079.00-00081.32] 只会在这里会经常会提到一个概念
[00081.32-00084.04] 同没有知道叫做戴舞清场
[00084.04-00086.78] 什么叫戴误清常呢
[00086.78-00088.78] 所有戴误清常就是到期了
[00088.78-00093.42] 但是根据原和通的规定我的这个权利我率行不了了
[00093.42-00098.38] 这个时候我就会找一个什么新的东西来敌我现在的战
[00098.38-00100.64] 这个就叫做什么戴误清常
[00100.64-00103.40] 几个简单的例子比如说我向你接款
[00103.40-00107.12] 别我想你了 比如说小A 像小B 接款
[00107.12-00110.60] 接款多少钱呢假设我们说了就借十万块钱
[00110.60-00114.76] 接时完快起来约定是一年之后还小避这时
[00114.76-00116.20] 但是一年之后
[00116.20-00120.44] 这个小有一他才我们所说的财务状况的原因
[00120.44-00123.16] 他这个钱就有可能还不少了
[00123.16-00125.52] 这个时候小遇说说小避
[00125.52-00127.52] 说你看我现在没有那么多的现金
[00127.52-00128.88] 我还不上这个钱了
[00128.88-00131.88] 但是我现在有一副自化
[00131.88-00134.76] 或者是我现在有一个什么世界机明表
[00134.76-00137.32] 或者我现在我有什么车等都可以
[00137.32-00138.56] 反正他就说了
[00138.56-00139.96] 我现在还不上钱了
[00139.96-00141.60] 但是我现在可以把什么呢
[00141.60-00144.60] 我可以把我的车低给你
[00144.60-00146.92] 我把我的车用来抵战
[00146.92-00148.72] 这个时候大家来看一下
[00148.72-00150.08] 它用它的车来抵战
[00150.08-00151.56] 变越定了把这个车
[00151.56-00153.48] 在过几天的时候交付给它
[00153.48-00155.48] 这个时候就出现了什么问题
[00155.48-00158.28] 就出现了带物轻场的问题
[00158.28-00160.12] 大家注意一下这个带物轻场
[00160.12-00164.28] 它是在我们所说的合同旅行期间满之后
[00164.28-00165.80] 我实在是还不上了
[00165.80-00168.40] 我就找其他的东西来带替
[00168.40-00170.72] 这个时候就叫做什么 代务清常
[00170.72-00174.04] 那代务清常他会出现一个代务清常协议
