[00000.00-00002.82] 我们刚刚讲了刑法该数
[00002.82-00004.10] 接下来我们就来看一下
[00004.10-00006.14] 第2个部分就叫做犯罪论
[00006.14-00009.48] 我们要详细地去看一下到底什么是犯罪
[00009.48-00011.00] 如何购成犯罪
[00011.00-00014.34] 我们就先来看一下犯罪约犯罪购成
[00014.34-00015.88] 在整个犯罪类高中
[00015.88-00017.92] 我们要解决五个方面的问题
[00017.92-00018.68] 这五个方面
[00018.68-00019.96] 第一个我们要知道
[00019.96-00022.52] 到底什么是刑法规定上的犯罪呢
[00022.52-00024.58] 我们第一个要明确什么是犯罪
[00024.58-00025.34] 犯罪呢
[00025.34-00026.88] 其实我们以后会讲到
[00026.88-00029.88] 它是形式與實質主管也可以寬的統一
[00029.88-00030.88] 那第二個
[00030.88-00034.08] 它到底各國產犯罪在新華當中是有名文規定的
[00034.08-00037.88] 在這時候我們把它是否過程犯罪的這些要價
[00037.88-00039.88] 稱為叫做犯罪過程要價
[00039.88-00041.88] 也就是說它小符合道歉罪
[00041.88-00044.28] 那它就必須符合道歉罪的過程要價
[00044.28-00046.88] 那這個犯罪的過程要價到底有哪些呢
[00046.88-00050.88] 那就包括科體、科官方面主體、主官方面
[00050.88-00052.88] 那我說了這是實施了犯罪行為
[00052.88-00054.88] 但是有沒有一種特殊情況
[00054.88-00057.12] 就是我默斯好像使用了犯罪行为
[00057.12-00061.80] 但是我没有对反异造成实施上的这种侵害能阻断
[00061.80-00063.64] 我们所说的这种犯罪的过程
[00063.64-00067.20] 这种我们就把的称为叫犯罪排除是有
[00067.20-00070.48] 所以这是我们所说的在犯罪了当中的第三个
[00070.48-00072.40] 第四个点我们就要去明确
[00072.40-00075.04] 我们说了犯罪罪这时间的不断的推进
[00075.04-00076.92] 它会呈现不同的形态
[00076.92-00081.16] 所以在时间上我们要给大家去讲一讲犯罪行态
[00081.16-00083.68] 犯罪行态当中就有两个大的形态
[00083.68-00085.92] 一个就是犯罪实行中了
