[00000.00-00002.52] 好 那我们接着来往下看
[00002.52-00006.16] 咱们在民宝宫当中讲完了行政副一
[00006.16-00008.20] 我们就来看一下副一找上级
[00008.20-00009.92] 对吧 找行政机关的上级告
[00009.92-00011.76] 接下来除了找上级告之外
[00011.76-00013.48] 我们还可以找法院
[00013.48-00014.72] 我们就来看一下第二个
[00014.72-00016.84] 就有关于行政诉讼的内容
[00016.84-00019.84] 行政诉讼首先我们来看一下什么叫做行政诉讼
[00019.84-00022.20] 它是行政诉讼是法院
[00022.20-00025.32] 应公民法人或其他组织的请求
[00025.32-00028.16] 说通过审查行政行为的什么性
[00028.16-00031.36] 标助一下通过审查形证行为的合法性
[00031.36-00034.04] 来把它标助一下一个医生级的实际型的点
[00034.04-00037.64] 我们说了形证副医审查的是合法性和合理性
[00037.64-00040.52] 而形证诉讼指審查他的什么效
[00040.52-00042.48] 指審查他的合法性
[00042.48-00043.96] 这是一个区分的点
[00043.96-00044.64] 大家要注意一下
[00044.64-00047.24] 就是你去告我发一款的形为
[00047.24-00050.68] 他只能怕说我发一款的这个行为对不对
[00050.68-00051.12] 对吧
[00051.12-00051.88] 有没有違反
[00051.88-00054.20] 他不能怕我发一段钱和不合理
[00054.20-00055.80] 所以在这里面大家注意一下
[00055.80-00056.92] 这是合法性
[00056.92-00057.64] 这和卡性
[00057.64-00059.24] 所以大家要注意一下
[00059.24-00061.28] 它和行政服役的去分
[00061.28-00062.04] 我们说了
[00062.04-00064.48] 行政诉讼也是民购官
[00064.48-00065.24] 你告诉你
[00065.24-00065.88] 可以告诉什么呢
[00065.88-00066.40] 你看
[00066.40-00068.68] 这法院可以收理的行政卷
[00068.68-00069.60] 反应可以收理的
[00069.60-00070.60] 不用单独去背哦
[00070.60-00071.40] 和前面一样
[00071.40-00072.88] 说行政处法部服的
[00072.88-00074.08] 行政强制部服的
[00074.08-00075.12] 行政循服服的
[00075.12-00076.76] 就意味着在这个里面
[00076.76-00077.92] 我们所说的
[00077.92-00078.92] 民购官
[00078.92-00080.20] 购的还是什么行为
[00080.20-00081.48] 法院可以收理的
[00081.48-00082.28] 还是什么
[00082.28-00084.04] 还是具体
[00084.04-00085.92] 行政行为吧
[00085.92-00093.86] 具体形成行为,一定是什么?关对民进行了相的侵权,或者是关影响到里面的种权意才行。
[00093.86-00105.38] 这种情况之下,它是具体形成行为,具体形成行为出发强制许可,确认形状确认形状协议,也中文所说的形状合逢,形状中收合中用都是我们所讲过的。
[00105.38-00108.82] 但是為大家說過說我行政具體行政行為
[00108.82-00112.02] 它的這種行事可能是很多的
[00112.02-00113.74] 我們不可能都給它列舉掉
[00113.74-00115.82] 所以當我們遇到了書上
[00115.82-00117.46] 所沒有的具體行政行為的時候
[00117.46-00119.06] 你不知道它到底是不是
[00119.06-00120.62] 你說老師它不屬於處罰
[00120.62-00121.94] 不屬於強制不屬於虛可
[00121.94-00123.06] 如何去判斷呢
[00123.06-00124.98] 我們說了要通過啥來判斷
[00124.98-00126.74] 要通過它的可證
[00126.74-00127.78] 我前面給大家說了
[00127.78-00129.66] 一定要什麼一定要處分性
[00129.66-00130.66] 外部性
[00130.66-00132.50] 還有我們所說的行政性
[00132.50-00134.50] 等等這一系列的
[00134.50-00135.58] 如果不符合這個
[00135.58-00137.14] 它就不屬於具體形容形勒
[00137.14-00138.42] 一定要會判斷
[00138.42-00140.90] 這個地方特別喜歡考理一些形容題目
[00140.90-00142.82] 我們在前面講形容形勒的時候
[00142.82-00144.18] 做了那麼多的鋪射
[00144.18-00145.82] 就是為了放在後面
[00145.82-00147.62] 形容速送和形容副業的時候用
[00147.62-00151.06] 所以形容速送的雙範圍和形容副業一樣
[00151.06-00152.06] 不用單獨去背
[00152.06-00152.98] 你看看說了
[00152.98-00153.86] 這是可以收理
[00153.86-00155.02] 你看確全的
[00155.02-00155.94] 這個形容確認嗎
[00155.94-00158.22] 徵收徵用的不做為不符的
[00158.22-00158.62] 對吧
[00158.62-00160.22] 你看這都是具形容形勒
[00160.22-00161.42] 侵犯金融权的
[00161.42-00164.42] 侵犯金融权是不是针对特定的人特定的事
[00164.42-00166.02] 是不是有一定的处分性啊
[00166.02-00167.34] 是不是有一定的外部性啊
[00167.34-00168.74] 形容机关做出的 对吧
[00168.74-00169.34] 你看
[00169.34-00171.90] 现在这排不定的要求不理性法定一路的
[00171.90-00173.34] 这些都属于可以双色的
[00173.34-00174.78] 你只要能够判断出
[00174.78-00176.98] 怕属于具体形状形为就行了
[00176.98-00179.30] 他考试的时候不会给你相机列具
[00179.30-00180.82] 甚至我们在法律当中
[00180.82-00182.34] 他也不太可能相机列具
[00182.34-00183.82] 所以在这里大家要注意一下
[00183.82-00185.54] 这是可以收理的
[00185.54-00186.82] 那不与收理的呢
