[00000.00-00005.00] 好的 那了解了前眼知道了民法怎么考怎么学之后呢
[00005.00-00007.00] 我们就正式进入到民法的学习
[00007.00-00010.00] 在整个我们要给大家讲的民法这一套内容里面呢
[00010.00-00012.00] 找了大家去设置了四个部分
[00012.00-00015.00] 第一个呢分别是民法的概数
[00015.00-00018.00] 了解民法他到底调整什么样的法律关系
[00018.00-00021.00] 那我们说了 那是不是所有的事情发生了之后
[00021.00-00023.00] 法律规制保护我们呢 其实也不是的
[00023.00-00026.00] 所以在民法干书当中要给大家去讲第一个
[00026.00-00028.00] 民事法律關係的基本原理
[00028.00-00031.00] 然後再講講代理以及訴訟史銷的問題
[00031.00-00032.00] 這是民法的概述
[00032.00-00034.00] 而在整個民法調整的範圍當中
[00034.00-00036.00] 最核心的三個部分
[00036.00-00038.00] 分別是務權和統一階
[00038.00-00039.00] 清全
[00039.00-00041.00] 接下來在講的民法概述之後
[00041.00-00042.00] 給大家講講
[00042.00-00043.00] 務權如何變動
[00043.00-00045.00] 比如說這個東西你買了
[00045.00-00047.00] 什麼時候這個東西的搜權威尼
[00047.00-00049.00] 拿到會涉到務權變動的問題
[00049.00-00052.00] 這個時候在務權當中去跟大家講解的
[00052.00-00053.00] 那你在買東西的時候
[00053.00-00055.00] 就會定力一些買外合同
[00055.00-00057.64] 在合同他什麼時候生效什麼時候定力
[00057.64-00060.36] 那這種情況也就會睡到合同想的內容
[00060.36-00062.48] 那如果說你買了一個手錶
[00062.48-00064.08] 然後在這個過程當中
[00064.08-00065.64] 目前所有的發生轉移了
[00065.64-00066.92] 合同也是有效的
[00066.92-00068.32] 之後所有的發生轉移了
[00068.32-00070.68] 就開心心地拿著你這個手錶回家了
[00070.68-00073.16] 突然有一個人就吵女徵了一塊板
[00073.16-00073.88] 板轉過來
[00073.88-00077.48] 然後傳徵板轉著過程當中的把你的手錶給你砸壞了
[00077.48-00079.28] 那這個時候你怎麼讓他陪
[00079.28-00080.84] 那這會睡到一個什麼問題呢
[00080.84-00083.76] 這會睡到一個叫做親權責任的問題
[00083.76-00085.96] 所以在民法該出之後呢會大家去講
[00086.96-00088.80] 武權和統一節清全
[00089.08-00091.12] 那今天來我們要學習的第一個部分呢
[00091.12-00093.04] 其實就是我們來看一下
[00093.04-00094.96] 民法套到底是怎麼回事
[00094.96-00096.68] 我們來看一下民法的該數
[00096.96-00098.68] 那首先我們來看一下第一張
[00098.68-00100.68] 民法該數當中的第一個內容
[00100.84-00101.92] 我們先來看一看
[00101.92-00103.16] 什麼是民法
