[00000.00-00005.00] 好,我们接着来往后来看,咱们在前面的其实是给大家去
[00005.00-00025.00] 红纵向都讲了,红纵向讲了什么呢,我们先讲了民法调整的对象叫做民事法律关系,对吧,我们在民事法律关系当中,然后去给大家去讲解了民事法律关系他的内容,包括主体,包括我们所说的,民事法律关系都知道内容,一只民事法律关系的课题,对不对。
[00025.00-00026.54] 那在迷侍法律關係中
[00026.54-00028.58] 說了到底是出現了什麼狀況
[00028.58-00030.64] 會引起迷侍法律關係的變動呢
[00030.64-00031.92] 我們在這裡面就給到了
[00031.92-00033.70] 引起迷侍法律關係變動的
[00033.70-00036.26] 叫迷侍法律事實
[00036.26-00038.06] 而在迷侍法律事實中
[00038.06-00039.86] 我們又講到了行為
[00039.86-00041.12] 還有事件
[00041.12-00043.68] 我們當然沒有對行為進行詳細的分類
[00043.68-00046.24] 在這兒我們就不需要給大家進行詳細分類了
[00046.24-00047.78] 我們知道事件的包括
[00047.78-00049.32] 自然事件和社會事件
[00049.32-00050.34] 不管是啥
[00050.34-00051.88] 他都是我控制不了的
[00051.88-00054.80] 而迷侍法律行為當中有表意行為和非表
[00054.80-00058.48] 我们只需要知道其中在表意行为当中
[00058.48-00061.48] 它有民事法律行为
[00062.48-00064.88] 民事法律行为就可以了
[00064.88-00068.16] 而在民事法律行为当中我们又讲了四种
[00068.16-00071.36] 那四种第一种叫做有效的民事法律行为
[00071.36-00074.64] 强工主义第二种叫做无效的民事法律行为
[00074.64-00077.36] 第三种就叫做我们所提到的
[00078.08-00081.72] 给到的叫做可撤销的民事法律行为
[00081.72-00082.40] 对不对
[00082.40-00086.36] 最後一個就是強調了效列帶定的明食法律行為
[00086.36-00089.20] 效率帶定的明食法律行為咱們講的集中情況
[00089.20-00090.32] 咱們講兩種情況
[00090.32-00093.32] 第一種就是現實明食行為能力量超越行能力
[00093.32-00095.68] 所實施的雙方明食法律行為
[00095.68-00099.80] 第二個就是我們所提到的叫做無權帶禮的情況
[00099.80-00103.08] 在無權帶禮當中我們就提到了一種情況
[00103.08-00104.40] 就是在禮
[00104.40-00107.36] 我們接下來就來看一下到底什麼是帶禮
[00107.36-00109.28] 到底什麼又是無權帶禮
[00109.28-00111.40] 我們就順著這個內容開始把下講
[00111.40-00114.80] 那我们首先来看一下第四节当中的到底什么叫做代理
[00114.80-00116.76] 我们先来看一下代理的概念
[00116.76-00118.04] 在代理的概念当作
[00118.04-00118.96] 他在这里面说了
[00118.96-00122.76] 他说代理是指代理人在代理全线放在内
[00122.76-00127.76] 以背代理人民意与第三人为民事法例行为
[00127.76-00131.80] 从背代理人直接发生法例效果的行为
[00131.80-00133.48] 就要做什么叫做代理
[00133.48-00135.40] 你说老师他说的有点肉
[00135.40-00136.72] 其实代理的本质就是什么
[00136.72-00138.72] 就是我委通你帮我去干一个事
[00138.72-00140.16] 那这个就其实就要什么
[00140.16-00141.20] 就叫做代理
[00141.20-00143.40] 就是我委託你幫我去買個杯子
[00143.40-00145.76] 我每拖你幫我去買個茶葉
[00145.76-00148.24] 這裡面就會涉及到代理的問題
[00148.24-00149.84] 這面就涉及到代理的問題
[00149.84-00151.12] 那代理我們說了
[00151.12-00152.28] 我委託你去做
[00152.28-00155.08] 那首先第一個我是不帶和你之前有一個委託
[00155.08-00156.72] 合同後委託行為在
[00156.72-00158.44] 然後你再去幫我去買
[00158.44-00160.68] 對不對 假設我現在委託你
[00161.36-00164.84] 叫做小A 委託小B
[00164.84-00167.60] 那首先第一個在這裡會存在一個委託
[00167.60-00169.12] 讓小B去幫他去買什麼
[00169.12-00172.52] 让小闭去帮他买杯子
[00173.12-00174.72] 那买杯子找到了谁呢
[00174.72-00175.72] 就找到了小灾
[00175.72-00177.52] 在这五个程当中你看
[00178.32-00181.12] 小闭脱小闭去小灾充买杯子
[00181.12-00183.72] 那这个小闭他其实就是我们所说的什么
