[00000.00-00003.40] 我们讲完了生物的基本支持之后
[00003.40-00004.92] 我们来开一下第二个点
[00004.92-00006.92] 就是我们来回微到人自身的员
[00006.92-00008.72] 就当状我们来开一下人体
[00008.72-00011.20] 在这里面当成第一个我们要知道人体
[00011.20-00013.12] 他自身的生命的循环
[00013.12-00016.20] 他是和身体当中的一些系统分不开的
[00016.20-00017.92] 在这里面第一个要去掌握了
[00017.92-00020.08] 就是人身体当中的九大系统
[00020.08-00023.36] 这就大系统包括消化互习运动、秘密、
[00023.36-00025.04] 尿生值、神经、内分秘面
[00025.04-00026.48] 一和循环系统等等
[00026.48-00027.36] 一共是九个
[00027.36-00031.24] 但不需要同仍把这九大系统都给它老老的记住
[00031.24-00036.52] 我们只需要在九大系统当中能够掌握出一些基本的细节就可以了
[00036.52-00039.60] 也就是说这九个我们要挑几个重点来给大家讲一下
[00039.60-00042.36] 那旋轻一个咱们来看一下就是消化系统
[00042.36-00045.40] 其实消化系统咱们在这上市的当中离不开它
[00045.40-00047.88] 吃东西是不是都会涉一到消化系统
[00047.88-00050.68] 如果消化系统不好对人身体的应该要提说
[00050.68-00053.92] 和我们所说的身体健康产生很大的影响
[00053.92-00057.08] 那这里面我们来看一下消化系统到底包括哪些
[00057.08-00059.64] 他消化系统包括两个组成部分
[00059.64-00061.68] 一个就做消化斗
[00061.68-00063.48] 还有一个就做消化线
[00063.48-00064.88] 什么就个消化斗呢?
[00064.88-00066.04] 消化斗就是你想一下
[00066.04-00067.00] 你的这个食物
[00067.00-00067.96] 同你的这个嘴里
[00067.96-00069.36] 也就一直到你的位里
[00069.36-00070.16] 等等啊
[00070.16-00071.40] 然后到最后我们所说的
[00071.40-00073.72] 排出体外的这样一个过程
[00073.72-00075.44] 他经过哪些地方
[00075.44-00077.56] 他所经历的食物所经过的这些地方
[00077.56-00078.84] 就是我们所说的什么
[00078.84-00079.72] 消化斗
[00079.72-00080.88] 这时候我们所消化斗
[00080.88-00082.16] 所以在这里大家注意一下
[00082.16-00084.08] 那还有一部分就是消化线
[00084.08-00085.96] 消化线的就是这个食物
[00085.96-00087.84] 它确认顺着你的盐毫
[00087.84-00088.94] 然后到你的时道
[00088.94-00089.98] 在到你的位里面
[00089.98-00090.82] 然后最终
[00090.82-00091.96] 然后怎么去吸收
[00091.96-00094.04] 但它这种食物被分解吸收
[00094.04-00095.08] 需要用到什么呢
[00095.08-00096.46] 需要用到消化线
[00096.46-00098.04] 它所分裏的消化业
[00098.04-00099.92] 所以在这里面整个消化系统
[00099.92-00101.00] 就包括两部分
[00101.00-00102.02] 一个叫消化道
[00102.02-00103.48] 一个叫做消化线
[00103.48-00104.72] 那消化道的比如说
[00104.72-00106.56] 我们常见的时道
[00106.56-00106.92] 对吧
[00106.92-00109.16] 我们所说的这个常味
[00109.16-00110.60] 那它都是有我们所说的
[00110.60-00111.60] 这个消化道
[00112.20-00114.12] 它的这样的一个组成部分
[00114.12-00115.00] 所以来看一下
[00115.00-00117.54] 他说消派到在这里面他给到我们的
[00117.54-00119.14] 我们标准一下圈衣
[00119.14-00121.80] 比如说我们所说的常大常和小常
[00121.80-00123.80] 大家经常在网上刷到那种端子
[00123.80-00126.20] 什么人生无常大常包的常知类的
[00126.20-00128.58] 那这里面所提到的这种大常和小常
[00128.58-00131.58] 我们需要掌握的是他们之间
[00131.58-00134.32] 或者说他们两个的具体功能是什么
[00134.32-00135.48] 人第一个大家注意一下
[00135.48-00137.72] 说小常是食物消化吸收的
[00137.72-00138.68] 最主要的常所
[00138.68-00141.50] 所以食物消化吸收者是在小常
[00141.50-00143.36] 而我们所说的大常是什么呢
[00143.36-00146.72] 它说实际在大厂当中停留的时间最长
[00146.72-00149.48] 但这里问题就在于它考察的点
[00149.48-00152.40] 就是它会考察大厂的小厂特性
[00152.40-00154.48] 小厂虽然叫小厂
[00154.48-00156.20] 但是它很长 对吧
[00156.20-00158.28] 但应该还记得身体当中那个循环系统
[00158.28-00159.92] 您就能看到这有味儿
[00159.92-00162.36] 然后你的这个厂道
[00162.36-00164.48] 就是一圈一圈的这种感觉
[00164.48-00165.40] 就花的拍项
[00165.40-00166.48] 但同样想一下
[00166.48-00168.08] 也应该是见过这个头的
[00168.08-00170.08] 那一下像它这种其实就是我们所说的
[00170.08-00171.20] 什么小厂
[00171.20-00172.32] 所以小厂呢
[00172.32-00176.04] 他虽然是食物消化的主要藏手虽然叫小藏
[00176.04-00178.36] 但是他比大藏要藏
[00178.36-00180.12] 所以在旁邊寫上就是小藏
[00181.12-00183.04] 比大藏
[00184.88-00187.12] 要藏一些小藏比大藏要藏
[00187.12-00189.24] 不能藏一行是藏很多
[00189.24-00189.96] 那就一下
[00189.96-00191.24] 這是我們所說的第一個
[00191.24-00192.84] 同學知道的是消化道
[00192.84-00193.64] 這是第一個
[00193.64-00195.12] 那第二個就是我剛才說了
[00195.12-00196.40] 食物它被分解
[00196.40-00199.52] 它需要消化現當中的夜體對吧
[00199.52-00201.08] 那這裡面它就給到第二點
[00201.08-00202.08] 就說消化現
[00202.08-00206.36] 它消化线是动物体分秘消化业的线体就消化线
[00206.36-00211.92] 包括拓野线比如拓野线当中我们会分秘出来的拓野还有拓野电粉的
[00211.92-00214.60] 是不是可以去分解或者我们所说的什么
[00214.60-00219.72] 一线它可以去分秘我们所说的相当血糖素等等这些力道
[00219.72-00221.72] 都要将血糖素和生血糖素
[00221.72-00224.20] 这是我们所说的一线还有干脏
[00224.20-00225.72] 对吧 还有我们所说的无味
[00225.72-00227.36] 对它说我会分秘为酸
[00227.36-00230.04] 但是这里面它其实分秘一些业体
[00230.04-00233.52] 但这里面的点不在于让我们去实际消化现有哪些
[00233.52-00236.64] 大家注意一下 我们要找问的是是不是所有的
[00236.64-00240.16] 我们所说的这个 消化现它都还有消化美呢
[00240.16-00241.52] 不是的 大家注意啊
[00241.52-00244.56] 出胆之外 消化叶中还有消化美
[00244.56-00246.00] 也就是除了胆之外呢
[00246.00-00248.48] 其他的这个消化叶中都还有消化美
[00248.48-00250.28] 帮助我们去分解食物
[00250.28-00252.64] 所以在整个消化性我们当中这两个点
[00252.64-00253.80] 同样要注意啊
[00253.80-00257.20] 当然同学们一定要注重自己的常味健康啊
[00257.20-00258.20] 因为常味健康
[00258.20-00260.40] 他能够极大体声人的幸福感
[00260.40-00261.72] 一般情况来说
[00261.72-00262.80] 就是一个人
[00262.80-00266.00] 他正常的身体机能的维持
[00266.00-00268.24] 他其实要靠很多的机速
[00268.24-00270.48] 比如说你想要睡一个很好的叫
[00270.48-00272.36] 这时候叫有推薦所诉
[00272.36-00274.76] 这时候才能踏实的入面
[00274.76-00276.96] 但是我们经常也会提到
[00276.96-00278.48] 就是不要代表听过一个子
[00278.48-00279.84] 这种血清素
[00281.28-00282.80] 这种血清素
[00282.80-00284.04] 血清素这个东西
[00284.04-00286.80] 他其实能够血清素的分面
[00286.80-00290.76] 他能够让人极大的处在一个评文或者平和的状态
[00290.76-00292.20] 欢迎话说如果说血清素
[00292.20-00295.00] 他的分秘的量足够的话
[00295.00-00296.68] 人是很容易得到幸福的
[00296.68-00298.64] 但血清素大也一定要知道
[00298.64-00300.52] 血清素他的这个合成和分秘
[00300.52-00302.88] 其实很小一部分是说大脑控制的
[00302.88-00305.40] 大部分血清素的合成都是在哪呢
[00305.40-00306.96] 都是在常委系统
[00306.96-00309.80] 所以常委也为称略人体的第二个大脑
[00309.80-00310.80] 也就是在这里面
[00310.80-00312.40] 血清素分秘的多少
[00312.40-00314.88] 那就说就取原因你的长道功能
[00314.88-00316.04] 如果朝到功能
[00316.04-00317.06] 相在说很健康
[00317.06-00319.12] 那你分辨的学球速度会非常地冲足
[00319.12-00322.18] 人就很容易处在一个笔合的这样一个状态
[00322.18-00324.74] 宝宝宝有没有看到过这样的一个历达
[00324.74-00326.54] 比如说你现在心情特别不好
[00326.54-00329.10] 你的整体的状态处在特别低谷的时候
[00329.10-00331.14] 然后你吃东西也容易出现消化不了
[00331.14-00333.44] 或者说吃东西也没有未恐症情况
[00333.44-00335.76] 那他其实就先入到了一个父亲很当中
[00335.76-00338.32] 所以在这里面我们要保护好常味的消耳系统
[00338.32-00339.26] 其实在这里
[00339.26-00341.84] 他就能够处理学球速度分辨
[00341.84-00343.68] 极大的提升一个人的幸福感
[00343.68-00345.68] 這是我們所說的第一個
[00345.68-00348.02] 消化系統
[00348.02-00348.80] 消化系統
[00348.80-00349.82] 這是第一個點
[00349.82-00352.38] 第二個就是我們提到的
[00352.38-00354.42] 整經系統比如說現在
[00354.42-00356.22] 你可以一個人在去玩鬧的時候
[00356.22-00357.50] 你可以跑可以跳
[00357.50-00358.70] 它在這個時候的下午
[00358.70-00359.80] 你一下你一下的
[00359.80-00360.58] 你就像一跳
[00360.58-00361.34] 然後崩了一下
[00361.34-00362.62] 你看這個
[00362.62-00365.18] 一系列的動作都是由誰輔助完成的
[00365.18-00366.98] 都是由神經系統輔助完成的
[00366.98-00369.54] 所以我們來看一下第二個就是神經系統
[00369.54-00372.86] 他說神經系統的基本結構和功能
[00372.86-00374.40] 單位是神經源
[00374.40-00376.40] 大家都知道神經源是最基本的
[00376.40-00377.74] 神經系統的構成
[00377.74-00379.72] 那系統神經系統當中
[00379.72-00381.94] 最高的就是大腦
[00381.94-00383.50] 在這裡他給到了
[00383.50-00387.02] 神經系統當中的最高中處就是大腦皮疵
[00387.02-00388.52] 所以在這裡面大家知道
[00388.52-00389.50] 一個點
[00389.50-00391.94] 這是第一個需要我們去掌握的
[00391.94-00394.50] 但這個其實不是考察的一個重點
[00394.50-00395.84] 考察重點在那呢
[00395.84-00397.38] 考察重點是要我們去區分
[00397.38-00399.72] 條件、反射和非條件、反射
[00399.72-00401.84] 什麼叫做非條件、反射呢
[00401.84-00403.34] 所以的非条件反射
[00403.34-00406.74] 它只得就是不是通过条件强化形成的
[00406.74-00407.98] 或者说它是怎么
[00407.98-00410.34] 它是你先天就有的
[00410.34-00412.44] 所以在非条件反射那个地方
[00412.44-00413.54] 旁边标注一下
[00413.54-00415.14] 所以它是先天的
[00415.14-00415.94] 那它先天的
[00415.94-00417.14] 那先是先天的
[00417.14-00418.64] 比如在这里西条反射
[00418.64-00421.04] 大家在网人经常能够看到那样的视频对吧
[00421.04-00422.44] 就是医生给了看病
[00422.44-00424.14] 它说它觉得它腿不太好事了
[00424.14-00425.34] 而医生给了看病
[00425.34-00427.14] 看病的时候拿它小纯
[00427.14-00428.34] 敲一下它的膝盖
[00428.34-00430.24] 然后它那个膝盖包那一下就谈起来
[00430.24-00432.12] 给你一声出来的评愿出去 对吧
[00432.12-00433.84] 你看他这种反射是什么
[00433.84-00435.96] 是他有意识的去控制的呢
[00435.96-00436.72] 不是的
[00436.72-00438.96] 是他先听就在了你只要挑我这个地方
[00438.96-00440.32] 我就会有洗跳反射
[00440.32-00442.48] 他是先天的只是这个 对吧
[00442.48-00444.20] 所以在这里把洗跳化出来
[00444.20-00446.00] 第二个就是扎研反射
[00446.00-00448.84] 扎研他是人体的一种自我保护的功能
[00448.84-00451.36] 咱们其实在后面回答讲到
[00451.36-00453.12] 比如说现在我拿一支笔
[00453.12-00453.96] 虽然不太礼貌
[00453.96-00455.20] 带我举一个这样的例子
[00455.20-00455.88] 比如说这个笔
[00455.88-00457.68] 我说哎呀快要我要错忘的眼睛了
[00457.68-00459.04] 当比往前身的时候
[00459.04-00460.36] 你哪怕知道我的手會挺
[00460.36-00461.36] 但是你的眼影
[00461.36-00462.84] 是不是還是不自覺的會長
[00462.84-00463.88] 那這種就是什麼
[00463.88-00464.64] 扎眼反射
[00464.64-00466.40] 那眼影在外部自己的情況之下
[00466.40-00467.36] 就會瘋狂的扎眼
[00467.36-00468.88] 或者出現必眼的情況
[00468.88-00470.64] 那這種也是你的什麼
[00470.64-00471.52] 先天就代的
[00471.52-00472.24] 他不是說
[00472.24-00473.32] 我告訴你
[00473.32-00475.40] 我讓我通過學習才會扎眼的
[00475.40-00476.40] 不會不是這樣
[00476.40-00477.60] 甚至包括我們所說的
[00477.60-00478.56] 所手反射
[00478.56-00479.52] 所有反射就體現
[00479.52-00481.40] 比如說現在我東西扎臉的手
[00481.40-00483.16] 我這個東西你感覺特別套的時候
[00483.16-00483.84] 你會怎麼樣
[00483.84-00485.28] 你會不自覺的握緊全
[00485.28-00486.96] 或者把手伸回來
[00486.96-00488.64] 那這種都是我們所說的
[00488.64-00491.92] 都是先天的 包括英尔小宝宝和南
[00491.92-00494.44] 或者是我们所说的 这种排妖的种反射
[00494.44-00496.16] 它都属于先天的
[00496.16-00498.92] 所以判断到底什么是非条件反射
[00498.92-00499.84] 你就抓住一个点
[00499.84-00502.32] 就看它是不是先天形成的
[00502.32-00505.36] 换句话说就看它是不是出自于你的本能反应
[00505.36-00507.08] 如果是 就是先天的
[00507.08-00509.60] 这是第一个叫做非条件反射
[00509.60-00511.64] 第二个叫做条件反射
[00511.64-00513.64] 同标主一下条件反射
[00514.16-00515.92] 在这里它就不是先天的了
[00515.92-00518.20] 换一下它是后天形成的
[00518.20-00521.08] 換句話說他就是要通過不斷的強化
[00521.08-00523.48] 後天學習習得而來的
[00523.48-00524.84] 最後點形的就是
[00524.84-00526.60] 巴幅落符合他的狗
[00526.60-00529.48] 大家都知道在整個心率學當中
[00529.48-00531.96] 我們當然我們是社羞的選舉
[00531.96-00533.96] 比如說靠教育資的時候
[00533.96-00535.80] 或者在考一些其他內容的時候
[00535.80-00537.32] 可能會社會教育心率學
[00537.32-00539.24] 教育心率學當中經常會提到
[00539.24-00540.04] 就是什麼
[00540.04-00541.64] 誰的什麼
[00541.64-00543.48] 司經特的毛還是誰
[00543.48-00544.36] 包幅落符的狗
[00544.36-00544.92] 還不對
[00544.92-00545.64] 不是什麼
[00545.64-00546.92] 我忘了是誰的毛了
[00546.92-00549.88] 巴幅落夫的狗和司機娜的小白鼠
[00549.88-00552.52] 反而就是通過它實驗或者一些
[00552.52-00555.24] 其中最有名的所謂所說的巴幅落夫狗
[00555.24-00558.08] 巴幅落夫的狗其實就是我們所說的
[00558.08-00560.60] 牆廟的時候後天條件反射
[00560.60-00562.28] 就是說它家的狗
[00562.28-00564.08] 它就想要去斷點它
[00564.08-00566.64] 因為它想知道條件洗得
[00566.64-00568.56] 它通過不斷的牆壞到底能
[00568.56-00571.08] 形成我們所說的後天這種條件反射
[00571.08-00573.20] 它就做了一個實驗什麼實驗
[00573.20-00574.32] 它養了一隻狗
[00574.32-00576.84] 然后它家的这支狗,它每天都给它卫时
[00576.84-00581.16] 那正常情况之下,它狗狗热了,然后它给那个瓦里头时小狗出来吃
[00581.16-00585.70] 后来它就在想,它可能会续练它,就是它卫狗之前,它都要挑这个盆
[00585.70-00587.72] 它挑这个盆之后,然后再被
[00587.72-00591.30] 然后正常情况之下,这个狗看到盆是不会流口水的
[00591.30-00596.28] 狗只看到15和6口水,但是它后来通过每次卫小狗,它都挑这个盆
[00596.28-00601.20] 每次卫小狗都挑这个盆,后来它一挑这个盆,它家小狗就开始流口水
[00601.20-00602.40] 后来他就会发现
[00602.74-00603.76] 狗流口水
[00603.76-00605.54] 他其实是对于食物的一种
[00605.54-00606.84] 鲜天的一种反应
[00606.84-00608.88] 他属于狗最开始看到食物流口水
[00608.88-00609.64] 他属于什么
[00609.64-00610.92] 非一条件反射
[00610.92-00613.22] 但是到后面通过加挑剑
[00613.22-00615.28] 通过后天的洗得
[00615.28-00617.58] 他发现他可以通过挑盘
[00617.58-00618.86] 让狗流口水
[00618.86-00621.42] 正常情况下这个狗流口水和挑盘之间
[00621.42-00622.96] 没有任何的关系
[00622.96-00624.24] 这种情况之下
[00624.24-00626.54] 他其实在后天才形成的
[00626.54-00628.34] 这种时候他就提到了说
[00628.34-00631.86] 人呢 它其实可以通过后天学习习的条件反舍的
[00631.86-00633.98] 只为在这个条件反射形成过程当中
[00633.98-00636.74] 要不断地去对它进行强化
[00636.74-00638.58] 也就是这种条件反射
[00638.58-00642.30] 它需要反复的强化反复的列习不断的重复的
[00642.30-00645.06] 如果不重复的话 这种条件反射就会剪入
[00645.06-00647.06] 因为它后面它又做了这个实验
[00647.06-00648.82] 它说它为狗的时候它就挑盘
[00648.82-00650.22] 小狗就换朋友就来了
[00650.22-00652.50] 这是留着哈拉子就来了 快可爱了 对吧
[00652.50-00656.50] 然后来它就发现它说如果我不挑盘时间长得会怎么样
[00656.50-00657.70] 后来它就会发现
[00657.70-00665.26] 他后期的时候,他就在背狗的时候,他不瞧牌,然后后来狗的身上听不到这个盆的声音了,后来这个狗啊
[00665.26-00667.62] 他對於這個很敲噴的這個聲音
[00667.62-00670.18] 就在也沒有我們所說流口水中反應了
[00670.18-00671.10] 那換句話說呢
[00671.10-00673.26] 也就是這種條件的形成
[00673.26-00675.86] 他有不斷地去強化才可以啊
[00675.86-00679.18] 那這是我們所說的這種條件反射
[00679.18-00680.78] 所以在這裡我們要知道的
[00680.78-00681.42] 兩個點
[00681.42-00683.62] 他考試也單位考試的時候考慮這個點
[00683.62-00684.74] 考問點兩個細節呢
[00684.74-00685.26] 第一個
[00685.26-00687.02] 誰是先天的誰是後天的
[00687.02-00688.06] 這個點要知道
[00688.06-00691.66] 第二個就是他當時還考慮一個判更鐵說
[00691.66-00694.90] 西跳、炸野和縮手反射屬於條件反射
[00694.90-00695.62] 那就不对了
[00695.62-00697.50] 比如说在这里面同一方面
[00697.50-00698.26] 要去掌握
[00698.26-00699.66] 谁是天天使是后天
[00699.66-00703.14] 第二个要能够通过具体的案例去进行区分
[00703.14-00705.82] 所以他在这里就考察了这两个角度
[00705.82-00707.82] 这是我们所说的神经系统
[00707.82-00710.46] 说到人的神经系统还真的是很神奇
[00710.46-00710.78] 对吧
[00710.78-00713.02] 对于神经原的研究
[00713.02-00715.18] 到目前也不知道神经原他到底是
[00716.18-00717.18] 怎么去控制的
[00717.18-00718.78] 就那么小的一个东西
[00718.78-00721.10] 他就能够实现我们所说的
[00721.10-00722.30] 这一系列的
[00722.30-00723.46] 我们所说是西号的补助
[00723.46-00725.00] 這是很神奇的一件事
[00725.24-00727.80] 這是我們所說的第二個叫做神經系統
