[00000.00-00004.90] 大家好,我是截出青年的截瑞,欢大家来进行新的本块学习。
[00004.90-00021.90] 今天我们要学习的内容是科技厂时的内容,咱们也知道整个科技厂时,他无论是在世界单位考试3G服劝内文指档中的公共科目社区社工,还是我们所设计到的国神考,以及选掉生的项考试,都会设计到相应的科技知识。
[00021.90-00028.50] 而整个科技知识,我们其实可以分成三个大部分学习,第一个部分就叫做科技发展史。
[00028.50-00031.40] 科技发展使用主要的博具发展
[00031.40-00035.10] 我们也把它称着为叫做科技发展的昨天
[00035.10-00037.10] 在科技发展的过去当中
[00037.10-00041.80] 我们要重点给大家讲解的是科技发展历史当中的进程
[00041.80-00045.80] 尤其是我们所说的第一第二和第三次科技革命
[00045.80-00048.50] 那这是我们所说的科技发展的昨天
[00048.50-00052.00] 那了解完科技发展的昨天要放演科技的今天
[00052.00-00055.30] 看一看现在科技它在发展过程当中
[00055.30-00057.44] 它所需要的一些基础科学
[00057.44-00059.94] 在这里面我们就会提到第二个大的部分
[00059.94-00061.22] 叫做基础科学
[00061.22-00062.34] 基础科学呢
[00062.34-00065.32] 五非就是生活当中常见的一些现象
[00065.32-00068.62] 我们要把这些现象和我们所说的生活当中的
[00068.62-00071.68] 常见的一些事情和它的基本原理相对应
[00071.68-00073.18] 在整个基础科学当中
[00073.18-00075.54] 它希望就会考现象原理的对应
[00075.54-00078.66] 或者就这个原理的细节进行相的考察
[00078.66-00080.52] 这是科技发展的今天
[00080.52-00082.78] 但无论科技如何发展
[00082.78-00084.66] 它都要对未来有一个展望
[00084.66-00091.46] 于是我们会在最后一个张截给大家去讲到科技发展的明天我们就叫做高薰技术
[00091.46-00096.58] 高薰技术他讲的内容的往往都是要和实政结合再块靠查的
[00096.58-00099.78] 所以对于高薰技术的掌握同学要从两个点来看
[00099.78-00101.78] 第一个点就是我们所说的
[00101.78-00105.78] 我们所提到的高薰技术有哪些掌握高薰技术的基本原理
[00105.78-00111.46] 第二个部分就是在高薰技术这些地方要把它和实政经济结合再块
[00111.46-00112.70] 所以在高興技術當中
[00112.70-00115.14] 我們會大家講生物心裁料心能源
[00115.14-00117.86] 這些都是考試當中的一些熱點
[00117.86-00119.30] 當然還有不可避免
[00119.30-00121.34] 會大家說的就是空間技術
[00121.34-00124.58] 會大家詳細採出清楚中國的好空航天
[00124.58-00125.86] 以及在信息技術當中
[00125.86-00128.38] 會大家講到什麼武器去快樂等等
[00128.38-00129.98] 所以大家能看到這些東西
[00129.98-00132.62] 它的實效性會相對來說強一點
[00132.62-00134.50] 所以對高興技術的掌握
[00134.50-00136.10] 同時們既要知道原理
[00136.10-00138.38] 要知道它和科技的結合
[00138.38-00139.42] 那具体的内容呢
[00139.42-00141.86] 我们会在后面每一个张结当中
[00141.86-00143.74] 主义去给大家产出清楚
[00143.74-00146.42] 那我们今天需要学习的是第一个部分
[00147.22-00149.50] 就叫做科技发展式
[00149.70-00151.30] 科技发展式大家注意一下
[00151.30-00153.58] 科技发展式整体在考察上
[00153.58-00156.74] 它其实只有两个基本的考察维度
[00157.02-00158.86] 它这两个基本的考察维度
[00158.86-00162.10] 第一个就是我们所说的考察的是对应
[00162.10-00164.14] 在整个科技发展式当中
[00164.14-00167.06] 考察的具体的时间无非就是
[00167.06-00173.42] 第3次,前三次科技革命,之前以及3次科技革命当中发生的事
[00173.42-00176.58] 所以他在考虑用的时候往往会考察这么几个对应
[00176.58-00180.98] 第1个他会考察17云成就的对应
[00180.98-00186.18] 这个17呢,同时我们就大概要记得他发生在第几次工业革命期间
[00186.18-00189.58] 他的时间几点,大概是从几几年到今年
[00189.58-00194.30] 在这里面就是第1个考察方式就是考察17云人物的对应
[00194.30-00198.78] 比如说他说以下属于19世纪的美大发明成就的是
[00198.78-00202.34] 那就知道这些事情哪些大概是发生在19世纪
[00202.34-00207.02] 对吧 那发生在实际有非就是我们所说的第一次工业
[00207.02-00209.02] 革命大部分的内容 对吧
[00209.02-00211.46] 以及我们所说第二次工业革命出期
[00211.46-00214.30] 所以在这里他考十七的时候你要大概知道
[00214.30-00216.66] 他的一个时间和他成就距离什么样
[00216.66-00218.78] 第二一个他考十七和成就对应的
[00218.78-00219.82] 他不会问说
[00219.82-00221.50] 19世纪18世纪
[00221.50-00226.50] 而是在這個裡面,它會考察一個說,以下屬於第一次公約革命的是
[00226.50-00233.50] 或者它會問說,如果你處在第二次公約革命時期,你可能看到的現象有那些
[00233.50-00238.50] 或者說你的生活能體驗到那些,那這個時候,它其實考察的也是什麼?
[00238.50-00244.50] 時期和成就的對應,所以這是第一種對應考察方式,考察時期成就
[00244.50-00251.00] 第二種考察方式,考察人物與成就,考察人物與成就,就是在這裡面,比如說大家都知道
[00251.00-00254.28] 提到大人,我们就说他叫做竞话论
[00254.28-00257.48] 提到倫琴,我们就知道X的涉嫌
[00257.48-00260.92] 这里面他就会考察特定人物与成就的
[00260.92-00261.36] 对应
[00261.36-00264.44] 但特定人物与成就对应如果考的相对来说
[00264.44-00266.36] 难度大一点
[00266.36-00268.92] 他会把这个成就不直接给你
[00268.92-00270.72] 就不直接对应说大人
[00270.72-00275.48] 什么晚上老会认识让这个生物竞话论的落定成爱
[00275.48-00276.24] 他不会这样
[00276.24-00279.48] 他会把这个成就变成一句具体的描述
[00281.00-00283.92] 这个具体的描述其实也是在描述它的成就
[00283.92-00284.72] 只不过呢
[00284.72-00286.88] 它相对来说就比较围万
[00286.88-00289.36] 比如说在之前的国口当中考过
[00289.36-00292.88] 以下人物和它的木质名对应的是
[00292.88-00294.12] 而对应正确的是
[00294.12-00295.72] 那考人物和木质名对应
[00295.72-00298.12] 其实本身上就是在考人物和什么的对应
[00298.12-00299.64] 人物和成就的对应
[00299.64-00301.84] 所以在整个科技发展时当中
[00301.84-00305.32] 最常见的一种考察方式就是对应考察
[00305.32-00306.76] 这个点大家一定要注意
[00306.76-00308.84] 那第二种考察就是在这里面
[00308.84-00311.12] 需要大家去掌握的时候拍续考察
[00311.12-00313.88] 这个拍续考察它其实是哪一个点的眼神
[00313.88-00318.36] 它其实是我们所说的时期与成就的对应眼神
[00318.36-00320.16] 因为在考排续的时候呢
[00320.16-00321.76] 它往往难度就会偏大一点
[00321.76-00324.20] 就会给你圈一圈二
[00324.20-00325.16] 圈三
[00325.16-00326.60] 以及圈四
[00326.60-00327.80] 甚至圈五等的
[00327.80-00329.20] 让我们给这些圈排续
[00329.20-00332.80] 那排续其实就是从它的时间线上来走
[00332.80-00336.20] 只不过它的这个考察的难度和综合性更强
[00336.20-00338.68] 所以在这里面我们基础掌握
[00338.68-00341.20] 科技发展史最为核心的一个点
[00341.20-00343.52] 其实就是把他的对用搞清楚
[00343.52-00345.72] 所以这是我们在科技发展史当中
[00345.72-00348.72] 他的一个好查的具体的方向
[00348.72-00349.28] 那当然了
[00349.28-00350.88] 我们在讲科技发展史的时候
[00350.88-00351.88] 在讲科技史
[00351.88-00353.80] 我们要讲讲世界的科技史
[00353.80-00355.92] 只要讲讲科技方面
[00355.92-00357.04] 前科技方面是一些
[00357.04-00358.40] 以及三次科技方面
[00358.40-00361.84] 当然我们也要回顾中国的科技发展情况
[00361.84-00363.40] 中国的科技发展情况
[00363.40-00365.52] 他就在考试过程当中
[00365.52-00368.70] 就会考第一个中国科技发展的基本情况
[00368.70-00370.64] 我们大概成就有那些
[00370.64-00372.78] 第二个就是在科技发展当中
[00372.78-00375.58] 如果在这些基本成就会基本情况当中
[00375.58-00377.40] 有些实际的特别强的
[00377.40-00380.32] 那他这个时候一会结合实际上来考察
