[00000.00-00005.00] 大家好,欢迎来学习经济学的最后一个板块儿,就是附陆的内容。
[00005.00-00009.00] 在附陆呢,我们要给大家去讲解经济学民词,经学校应。
[00009.00-00015.00] 这个部分呢,它主要是从两个角度来考察的,第一个呢是了解民词和校应背后的原理。
[00015.00-00019.00] 它会出一些案例让我们去分析,也是考察它的理解应用。
[00019.00-00024.00] 那第二个部分呢,就是在这里面,它会结合一些实正的热点,考一些经济学的热刺。
[00024.00-00026.24] 我们在之前讲解课程内容的时候
[00026.24-00027.48] 其实也给大家说到
[00027.48-00029.32] 像这种实装热词和话呢
[00029.32-00032.36] 我们会在后面装给大家出一个板块去排一盘
[00032.36-00034.72] 咱们的实装热词到底有哪些
[00034.72-00036.68] 我们今天这些课呢是要把
[00036.68-00039.88] 盘点之前的这个内容去给它搞定
[00039.88-00042.44] 就是把现有的考察频率很高的这些内容
[00042.44-00044.96] 拿出来咱们反复去理解一下
[00044.96-00047.36] 我们来看一下首先在精绪校圆当中
[00047.36-00048.56] 它所给到的内容
[00048.56-00050.56] 它最织里面给到的校圆第一个呢
[00050.56-00052.00] 叫做口红校圆
[00052.00-00054.52] 孔校人是什么呢在这里他说到了
[00054.52-00058.16] 说实际经济销条而导致孔热脉说商品
[00058.16-00060.56] 连嫁的商品在收入第一时
[00060.56-00064.16] 需求量反而会增加那这种就要做孔校人
[00064.16-00065.44] 这所谓的孔校人
[00065.44-00068.96] 他其实在每国1929年到1933年经济危机的时候
[00068.96-00070.08] 就提出来了
[00070.08-00072.16] 那个时候他有这样的理念
[00072.16-00073.28] 这个理念是啥呢
[00073.28-00075.44] 说在那种大危机的情况之下
[00075.44-00077.60] 大家都知道国家经济发展一直不正
[00077.60-00080.32] 老百姓生活也相当来说非常的困难
[00080.32-00084.00] 但在這種情況之下,他發現當地新開了一家訂閱
[00084.00-00086.64] 幾乎是每個星期訂閱都會爆滿的
[00086.64-00089.28] 當時的進學就很奇怪,說明明
[00089.28-00092.16] 你都已經生活很困難了,都怪吃不上喝不上了
[00092.16-00095.68] 你還拿出來錢去看電影,他說的這個原因到底在哪呢?
[00095.68-00101.92] 他就提到了說當經濟比較小調的時候,人們對於清說產品或者是我們所說的這種
[00101.92-00105.40] 精神娛樂產品的訴求反而會相對來說,偏高一些
[00105.40-00110.08] 從而導致了我們所說的,收入降低,但是某一部分需求增加的情況
[00110.08-00112.38] 而真正的孔校人再一次被提到
[00112.38-00114.88] 就是08年全球经济危机的时候
[00114.88-00116.88] 当时的一个品牌大家都知道
[00116.88-00120.48] 就是我们所说的欧兰雅亚这个品牌当年
[00120.48-00123.28] 在全国的修不能在全国
[00123.28-00124.88] 在全球的这个修令
[00124.88-00126.58] 是比网年发了好几发的
[00126.58-00127.88] 当时大家就很奇怪
[00127.88-00129.54] 因为在08年经济危机
[00129.54-00130.18] 冲击之后
[00130.18-00131.08] 几乎每个国家
[00131.08-00132.78] 它其实都受到了很多的影响
[00132.78-00135.08] 在这种经济受到这么闯之下
[00135.08-00137.48] 我们所说的欧兰雅这个品牌的修量
[00137.48-00138.78] 居然发了这么多法
[00138.78-00141.14] 大家就在去分析說到底原因是什麼呢
[00141.14-00143.14] 是為他的產品質量上來了
[00143.14-00145.90] 其實去進行他的品調的時候發現
[00145.90-00147.98] 也沒有太大的這樣一個變化
[00147.98-00150.18] 後來的時候進行其他就提出來說
[00150.18-00153.34] 可能是和之前產生的相同的這個現象
[00153.34-00154.98] 於是在這裡面就又提出了
[00154.98-00156.38] 叫什麼扣紅燒眼
[00156.38-00157.98] 所以扣紅燒眼本質上是誰呢
[00157.98-00160.02] 說經濟小條是扣紅熱麥
[00160.02-00161.82] 它其實不單單只能是扣紅了
[00161.82-00163.22] 它是一扣紅維代表
[00163.22-00164.70] 它其實強調的是什麼呢
[00164.70-00166.42] 是經濟比較小條的時候
[00166.42-00169.12] 人們對於放鬆精神娛樂的
[00169.12-00172.02] 或者是要清說的這樣那種文化產品
[00172.02-00174.02] 會產生極大的需求量
[00174.02-00176.92] 那原因就是在於一方面生活已經很苦了
[00176.92-00177.42] 對吧
[00177.42-00180.92] 這種情況之下我就要找一些其他的這樣那種
[00180.92-00183.82] 方法來宣寫一下自己的內心的一個什麼
[00183.82-00185.12] 內心的一個苦論
[00185.12-00187.62] 你就說經濟已經讓我們很拿了
[00187.62-00190.32] 那我們不再自己想發生的設法而自己快樂一點
[00190.32-00192.42] 所以在這裡面就會有空效應
[00192.42-00194.12] 所以孔效應你看他說了
[00194.12-00196.12] 是经济消毒导致口红热脉
[00196.12-00197.76] 这个口红只是轻车产品
[00197.76-00199.80] 或经济文化产品当中的一个
[00199.80-00202.36] 它是出于某种心理上的一种因素
[00202.36-00205.12] 来环节自己低收入张的一个痛苦
[00205.12-00206.44] 所以这个叫口红效应
[00206.44-00207.80] 口红效应在考试的时候
[00207.80-00208.84] 就两从考点
[00208.84-00209.48] 第一个
[00209.48-00211.40] 它如果给你断相的描述
[00211.40-00213.12] 你要知道它就是口红效应
[00213.12-00214.28] 只是经济消掉
[00214.28-00215.96] 但是某些需求量
[00215.96-00218.44] 尤其是偏经济文化需求的这些东西
[00218.44-00220.36] 反而会上升它问
[00220.36-00221.48] 是什么现象
[00221.48-00223.40] 因为它就会考名此解释
[00223.40-00225.64] 所以在这里你要知道是恐效应
[00225.64-00226.40] 第二个呢
[00226.40-00227.76] 就是在恐效的当状
[00227.76-00229.16] 考察为一个细节点
[00229.16-00229.88] 在哪呢
[00229.88-00232.24] 就是恐效应为什么会产生
[00232.24-00233.64] 恐效的产生
[00233.64-00236.32] 他和影响需求的哪一个因素有关
[00236.32-00237.32] 大家注意一下
[00237.32-00239.60] 恐效的产生和影响需求当中的
[00239.60-00241.00] 哪个因素有关呢
[00241.00-00243.20] 通把这个子圈出来收入
[00243.20-00245.48] 你看它是在收入偏第一使
[00245.48-00247.48] 需求量反而增加
[00247.48-00249.48] 是不是收入影响到了需求
[00249.48-00250.48] 说老师那不对
[00250.48-00252.48] 咱们该讲影响需求因素的时候
[00252.48-00254.68] 咱们提到了说消费者的收入水平
[00254.68-00255.48] 一般情况之下
[00255.48-00260.48] 咱们提到了是叫做收入越高需求量法而越多
[00260.48-00260.98] 对吧
[00260.98-00263.48] 咱们当时讲的是他会存在一些特殊情况
[00263.48-00265.98] 我们说了叫做低党品或者是列党品
[00265.98-00269.68] 但是恐怖效应也是我们所说的收入因素所导致的
